Title: Nd2

Phase Volumes:
Pressure Temperature mass V liquid_0 olivine_0 orthopyroxene_0 clinopyroxene_0 feldspar_0 feldspar_1 quartz spinel_0 rhm-oxide_0 water 
500.00 1523.15 100.093345 40.640731 40.640731 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1513.15 100.093895 40.592901 40.592901 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1503.15 100.094479 40.545153 40.545153 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1493.15 100.095098 40.497487 40.497487 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1483.15 100.095753 40.449907 40.449907 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1473.15 100.096445 40.402413 40.402413 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1463.15 100.097175 40.355009 40.355009 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1453.15 100.097945 40.307695 40.307695 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1443.15 100.098755 40.260475 40.260475 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1433.15 100.099607 40.213350 40.213350 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1423.15 100.100503 40.166322 40.166322 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1413.15 100.101383 40.118927 40.112657 0.006270 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1403.15 100.080322 40.049063 39.819017 0.230046 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1393.15 99.318572 39.756411 39.534547 0.221864 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1383.15 98.582710 39.414680 38.884231 0.144221 0.000000 0.386228 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1373.15 96.853262 38.655340 37.519695 0.000000 0.000000 1.125706 0.000000 0.000000 0.000000 0.009938 0.000000 0.000000 
500.00 1363.15 93.151417 37.308240 36.250218 0.000000 0.000000 1.031722 0.000000 0.000000 0.000000 0.026300 0.000000 0.000000 
500.00 1353.15 89.675949 36.432676 34.904062 0.000000 0.000000 1.031117 0.000000 0.000000 0.000000 0.047463 0.000000 0.450034 
500.00 1343.15 86.119498 35.799041 33.202570 0.000000 0.000000 1.035740 0.159330 0.000000 0.000000 0.201799 0.000000 1.199602 
500.00 1333.15 81.420083 35.643688 30.265995 0.027075 0.000000 0.839252 1.320532 0.000000 0.000000 0.315089 0.000000 2.875744 
500.00 1323.15 73.623995 34.236548 27.781638 0.138301 0.000000 0.452392 1.313439 0.000000 0.000000 0.226661 0.000000 4.324118 
500.00 1313.15 67.137737 33.135273 25.457056 0.000000 0.268425 0.233234 1.298818 0.000000 0.000000 0.181860 0.000000 5.695880 
500.00 1303.15 61.196602 32.071292 23.398527 0.000000 0.309523 0.065440 1.242132 0.000000 0.000000 0.139605 0.000000 6.916065 
500.00 1293.15 56.014959 31.063793 21.689502 0.000000 0.246670 0.032863 1.068204 0.000000 0.000000 0.109131 0.000000 7.917424 
500.00 1283.15 51.752896 30.227107 20.238803 0.000000 0.199754 0.014213 0.934125 0.000000 0.000000 0.087152 0.000000 8.753062 
500.00 1273.15 48.167186 29.509975 18.986388 0.000000 0.163538 0.003984 0.826869 0.000000 0.000000 0.070743 0.000000 9.458453 
500.00 1263.15 45.097771 28.879229 17.891800 0.000000 0.134237 0.000000 0.737318 0.000000 0.000000 0.058149 0.000000 10.057724 
500.00 1253.15 42.435433 28.313117 16.926434 0.000000 0.109820 0.000000 0.660395 0.000000 0.000000 0.048278 0.000000 10.568191 
500.00 1243.15 40.105539 27.799045 16.067276 0.000000 0.090887 0.000000 0.596164 0.000000 0.000000 0.040414 0.000000 11.004303 
500.00 1233.15 38.046676 27.325351 15.297152 0.000000 0.075887 0.000000 0.541311 0.000000 0.000000 0.034062 0.000000 11.376938 
500.00 1223.15 36.213675 26.883882 14.602822 0.000000 0.063858 0.000000 0.493749 0.000000 0.000000 0.028871 0.000000 11.694582 
500.00 1213.15 34.571734 26.468558 13.973837 0.000000 0.054109 0.000000 0.452005 0.000000 0.000000 0.024588 0.000000 11.964018 
500.00 1203.15 33.093440 26.074749 13.401775 0.000000 0.046137 0.000000 0.415022 0.000000 0.000000 0.021025 0.000000 12.190789 
500.00 1193.15 31.756752 25.698857 12.879699 0.000000 0.039565 0.000000 0.382029 0.000000 0.000000 0.018043 0.000000 12.379521 
500.00 1183.15 30.543720 25.332901 12.409937 0.000000 0.025487 0.014692 0.338563 0.000000 0.000000 0.015751 0.000000 12.528471 
500.00 1173.15 29.456012 24.990659 11.974332 0.000000 0.023642 0.010395 0.318371 0.000000 0.000000 0.013608 0.000000 12.650311 
500.00 1163.15 28.452501 24.655082 11.572411 0.000000 0.018941 0.011872 0.294726 0.000000 0.000000 0.011872 0.000000 12.745260 
500.00 1153.15 27.530755 24.328726 11.199618 0.000000 0.014930 0.013184 0.274208 0.000000 0.000000 0.010406 0.000000 12.816380 
500.00 1143.15 26.679510 24.009980 10.851458 0.000000 0.011476 0.014382 0.256898 0.000000 0.000000 0.009168 0.000000 12.866599 
500.00 1133.15 25.887858 23.717026 10.459347 0.000000 0.006681 0.019438 0.214845 0.082695 0.000000 0.008252 0.000000 12.925768 
500.00 1123.15 25.002739 23.421552 9.904260 0.000000 0.000000 0.031067 0.108721 0.330934 0.000000 0.004689 0.003222 13.038659 
500.00 1113.15 23.754138 22.944692 9.414732 0.000000 0.000000 0.028184 0.094772 0.291819 0.000000 0.000555 0.006896 13.107735 
500.00 1103.15 22.652308 22.494149 8.989911 0.000000 0.000000 0.024783 0.084744 0.250330 0.000000 0.000645 0.005804 13.137931 
500.00 1093.15 21.696475 22.074860 8.617158 0.000000 0.000000 0.021970 0.076497 0.217239 0.000000 0.000689 0.004941 13.136367 
500.00 1083.15 20.858161 21.679923 8.287007 0.000000 0.000000 0.019611 0.069595 0.190403 0.000000 0.000700 0.004248 13.108358 
500.00 1073.15 20.116039 21.304222 7.992220 0.000000 0.000000 0.017610 0.063731 0.168329 0.000000 0.000689 0.003684 13.057959 
500.00 1063.15 19.453789 20.943869 7.727151 0.000000 0.000000 0.015898 0.058685 0.149947 0.000000 0.000661 0.003220 12.988307 
500.00 1053.15 18.858683 20.595841 7.487326 0.000000 0.000000 0.014421 0.054292 0.134475 0.000000 0.000622 0.002834 12.901871 
500.00 1043.15 18.320382 20.261268 7.265960 0.003805 0.000000 0.010215 0.055391 0.118618 0.000000 0.000000 0.002435 12.804844 
500.00 1033.15 17.822778 19.932864 7.063360 0.004713 0.000000 0.008241 0.052905 0.106458 0.000000 0.000000 0.001995 12.695191 
500.00 1023.15 17.366676 19.901957 5.901470 0.008049 0.000000 0.023373 0.127134 0.366672 0.461663 0.000000 0.003570 13.010027 
