Title: Nd2

Phase Masses:
Pressure Temperature mass liquid_0 olivine_0 orthopyroxene_0 clinopyroxene_0 feldspar_0 feldspar_1 quartz spinel_0 rhm-oxide_0 water 
500.00 1113.15 23.754138 21.280759 0.000000 0.000000 0.093582 0.244802 0.733555 0.000000 0.002695 0.032059 1.366686 
500.00 1103.15 22.652308 20.303643 0.000000 0.000000 0.082401 0.218838 0.629312 0.000000 0.003140 0.027024 1.387951 
500.00 1093.15 21.696475 19.446717 0.000000 0.000000 0.073150 0.197494 0.546166 0.000000 0.003359 0.023039 1.406550 
500.00 1083.15 20.858161 18.688170 0.000000 0.000000 0.065393 0.179640 0.478735 0.000000 0.003422 0.019834 1.422967 
500.00 1073.15 20.116039 18.011310 0.000000 0.000000 0.058816 0.164479 0.423268 0.000000 0.003373 0.017222 1.437570 
500.00 1063.15 19.453789 17.403122 0.000000 0.000000 0.053190 0.151436 0.377078 0.000000 0.003245 0.015068 1.450650 
500.00 1053.15 18.858683 16.853287 0.000000 0.000000 0.048341 0.140087 0.338200 0.000000 0.003060 0.013274 1.462435 
500.00 1043.15 18.320382 16.344525 0.015280 0.000000 0.034292 0.142923 0.298346 0.000000 0.000000 0.011417 1.473598 
500.00 1033.15 17.822778 15.878529 0.018997 0.000000 0.027696 0.136517 0.267790 0.000000 0.000000 0.009358 1.483891 
500.00 1023.15 17.366676 13.271518 0.032654 0.000000 0.078814 0.328152 0.922433 1.171132 0.000000 0.016760 1.545211 
