Title: Hr

Phase Masses:
Pressure Temperature mass liquid_0 orthopyroxene_0 feldspar_0 
500.00 1523.15 98.097002 98.097002 0.000000 0.000000 
500.00 1513.15 98.097654 98.097654 0.000000 0.000000 
500.00 1503.15 98.098345 98.098345 0.000000 0.000000 
500.00 1493.15 98.099078 98.099078 0.000000 0.000000 
500.00 1483.15 98.099854 98.099854 0.000000 0.000000 
500.00 1473.15 98.100516 97.591050 0.000000 0.509467 
500.00 1463.15 97.591738 93.995136 0.000000 3.596602 
500.00 1453.15 93.995313 89.786966 0.454074 3.754273 
