Title: Nd1

Phase Masses:
Pressure Temperature mass liquid_0 olivine_0 orthopyroxene_0 clinopyroxene_0 biotite_0 feldspar_0 feldspar_1 spinel_0 rhm-oxide_0 apatite water 
500.00 1523.15 100.083849 99.163169 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.920679 
500.00 1513.15 100.084357 99.168503 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.915854 
500.00 1503.15 100.084897 99.173961 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.910937 
500.00 1493.15 100.085470 99.179544 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.905925 
500.00 1483.15 100.086076 99.185258 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.900817 
500.00 1473.15 100.086716 99.191106 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.895610 
500.00 1463.15 100.087392 99.197091 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.890301 
500.00 1453.15 100.088104 99.203217 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.884887 
500.00 1443.15 100.088855 99.209488 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.879366 
500.00 1433.15 100.089644 99.215909 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.873735 
500.00 1423.15 100.089625 98.911971 0.307741 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.869913 
500.00 1413.15 100.088301 98.160724 1.058828 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.868749 
500.00 1403.15 100.086886 97.427154 1.792368 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.867364 
500.00 1393.15 100.085371 96.709701 2.509896 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.865774 
500.00 1383.15 100.086201 93.646918 2.752049 0.000000 2.765969 0.000000 0.000000 0.000000 0.018361 0.000000 0.000000 0.902905 
