Title: Hr

Phase Volumes:
Pressure Temperature mass V liquid_0 olivine_0 orthopyroxene_0 clinopyroxene_0 clinopyroxene_1 feldspar_0 spinel_0 rhm-oxide_0 apatite water 
500.00 1523.15 98.149319 37.825284 37.825284 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1513.15 98.149963 37.789202 37.789202 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1503.15 98.150645 37.753180 37.753180 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1493.15 98.151369 37.717221 37.717221 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1483.15 98.152135 37.681325 37.681325 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1473.15 98.152944 37.645494 37.645494 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1463.15 98.153798 37.609730 37.609730 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1453.15 98.154698 37.574034 37.574034 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1443.15 98.155645 37.538408 37.538408 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1433.15 98.156643 37.502854 37.502854 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1423.15 98.157691 37.467373 37.467373 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1413.15 98.158668 37.377689 37.049848 0.000000 0.000000 0.327841 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1403.15 98.159687 37.115943 35.416690 0.000000 0.000000 1.699253 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1393.15 98.158617 36.864260 33.196724 0.141775 0.000000 2.762749 0.000000 0.763012 0.000000 0.000000 0.000000 0.000000 
500.00 1383.15 98.156271 36.638042 30.957636 0.353055 0.000000 3.591177 0.000000 1.736173 0.000000 0.000000 0.000000 0.000000 
500.00 1373.15 98.153965 36.434019 28.964687 0.546750 0.000000 4.322651 0.000000 2.599932 0.000000 0.000000 0.000000 0.000000 
500.00 1363.15 98.151670 36.248081 27.171118 0.729306 0.000000 4.974092 0.000000 3.373565 0.000000 0.000000 0.000000 0.000000 
500.00 1353.15 98.149337 36.077253 25.541675 0.907031 0.000000 5.556594 0.000000 4.071953 0.000000 0.000000 0.000000 0.000000 
500.00 1343.15 98.303512 35.732888 21.544273 0.000000 0.627441 6.476056 0.870117 5.169279 1.045721 0.000000 0.000000 0.000000 
500.00 1333.15 98.328938 35.601094 20.015934 0.000000 1.523783 6.894924 0.000000 5.933008 1.233445 0.000000 0.000000 0.000000 
500.00 1323.15 98.344214 35.482364 18.691759 0.000000 1.762677 7.055979 0.000000 6.610730 1.361219 0.000000 0.000000 0.000000 
500.00 1313.15 98.354338 35.762403 17.144568 0.000000 2.043680 7.154951 0.000000 7.486471 1.464481 0.000000 0.000000 0.468251 
500.00 1303.15 98.357885 36.771349 15.017949 0.000000 2.413496 7.198952 0.000000 8.784835 1.546217 0.000000 0.000000 1.809899 
500.00 1293.15 98.356871 37.609570 13.236119 0.000000 2.724769 7.220836 0.000000 9.896668 1.597106 0.000000 0.000000 2.934073 
500.00 1283.15 98.352632 38.300178 11.738490 0.000000 2.991622 7.229729 0.000000 10.843489 1.625580 0.000000 0.000000 3.871267 
500.00 1273.15 98.346127 38.863109 10.478591 0.000000 3.224683 7.229830 0.000000 11.645294 1.637652 0.000000 0.000000 4.647058 
500.00 1263.15 98.338062 39.316836 9.417529 0.000000 3.431873 7.223195 0.000000 12.321670 1.637764 0.000000 0.000000 5.284804 
500.00 1253.15 98.328964 39.678546 8.521582 0.000000 3.619020 7.211075 0.000000 12.891524 1.629226 0.000000 0.000000 5.806119 
500.00 1243.15 98.319216 39.963681 7.761744 0.000000 3.790366 7.194463 0.000000 13.372223 1.614483 0.000000 0.000000 6.230402 
500.00 1233.15 98.309093 40.185590 7.113571 0.000000 3.949005 7.174260 0.000000 13.778992 1.595316 0.000000 0.000000 6.574446 
500.00 1223.15 98.298787 40.355466 6.556863 0.000000 4.097219 7.151301 0.000000 14.124717 1.572999 0.000000 0.000000 6.852366 
500.00 1213.15 98.288280 40.483733 6.068591 0.000000 4.238312 7.125867 0.000000 14.421787 1.548068 0.000000 0.003125 7.077983 
500.00 1203.15 98.277546 40.578139 5.632148 0.000000 4.374647 7.098222 0.000000 14.679391 1.520832 0.000000 0.011365 7.261534 
500.00 1193.15 98.266945 40.642150 5.250164 0.000000 4.504143 7.069881 0.000000 14.900957 1.492437 0.000000 0.018392 7.406176 
500.00 1183.15 98.256508 40.680870 4.913186 0.000000 4.627831 7.041324 0.000000 15.092467 1.463158 0.000000 0.024422 7.518482 
500.00 1173.15 98.246248 40.698366 4.613634 0.000000 4.746601 7.012953 0.000000 15.258686 1.433151 0.000000 0.029621 7.603721 
500.00 1163.15 98.236165 40.697892 4.345393 0.000000 4.861254 6.985105 0.000000 15.403407 1.402478 0.000000 0.034120 7.666133 
500.00 1153.15 98.222172 40.728524 3.974249 0.000000 5.028686 6.958183 0.000000 15.594808 1.297688 0.051990 0.040702 7.782219 
