Title: Hr

Phase Masses:
Pressure Temperature mass liquid_0 olivine_0 orthopyroxene_0 clinopyroxene_0 clinopyroxene_1 feldspar_0 spinel_0 rhm-oxide_0 apatite water 
500.00 1523.15 98.149319 98.149319 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1513.15 98.149963 98.149963 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1503.15 98.150645 98.150645 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1493.15 98.151369 98.151369 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1483.15 98.152135 98.152135 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1473.15 98.152944 98.152944 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1463.15 98.153798 98.153798 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1453.15 98.154698 98.154698 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1443.15 98.155645 98.155645 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1433.15 98.156643 98.156643 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1423.15 98.157691 98.157691 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1413.15 98.158668 97.095685 0.000000 0.000000 1.062983 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1403.15 98.159687 92.635732 0.000000 0.000000 5.523954 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1393.15 98.158617 86.638176 0.474669 0.000000 9.003417 0.000000 2.042355 0.000000 0.000000 0.000000 0.000000 
500.00 1383.15 98.156271 80.589874 1.188748 0.000000 11.732742 0.000000 4.644906 0.000000 0.000000 0.000000 0.000000 
500.00 1373.15 98.153965 75.190414 1.851728 0.000000 14.159444 0.000000 6.952380 0.000000 0.000000 0.000000 0.000000 
500.00 1363.15 98.151670 70.312600 2.485001 0.000000 16.337293 0.000000 9.016776 0.000000 0.000000 0.000000 0.000000 
500.00 1353.15 98.149337 65.859877 3.109969 0.000000 18.301262 0.000000 10.878228 0.000000 0.000000 0.000000 0.000000 
500.00 1343.15 98.303512 53.475615 0.000000 2.070826 21.249693 2.878057 13.800389 4.828932 0.000000 0.000000 0.000000 
500.00 1333.15 98.328938 49.106059 0.000000 5.037049 22.637584 0.000000 15.831335 5.716912 0.000000 0.000000 0.000000 
500.00 1323.15 98.344214 45.372193 0.000000 5.834638 23.177851 0.000000 17.631364 6.328170 0.000000 0.000000 0.000000 
500.00 1313.15 98.354338 41.239852 0.000000 6.776038 23.517593 0.000000 19.950705 6.830884 0.000000 0.000000 0.039265 
500.00 1303.15 98.357885 35.882229 0.000000 8.021364 23.684412 0.000000 23.375271 7.241416 0.000000 0.000000 0.153193 
500.00 1293.15 98.356871 31.446135 0.000000 9.077090 23.777861 0.000000 26.299100 7.505976 0.000000 0.000000 0.250709 
500.00 1283.15 98.352632 27.755198 0.000000 9.988892 23.827958 0.000000 28.783461 7.663142 0.000000 0.000000 0.333983 
500.00 1273.15 98.346127 24.676738 0.000000 10.791184 23.848474 0.000000 30.884162 7.740731 0.000000 0.000000 0.404838 
500.00 1263.15 98.338062 22.102959 0.000000 11.509630 23.846125 0.000000 32.654829 7.759548 0.000000 0.000000 0.464971 
500.00 1253.15 98.328964 19.943182 0.000000 12.163115 23.824980 0.000000 34.146422 7.735274 0.000000 0.000000 0.515990 
500.00 1243.15 98.319216 18.121323 0.000000 12.765394 23.788282 0.000000 35.405225 7.679625 0.000000 0.000000 0.559367 
500.00 1233.15 98.309093 16.574485 0.000000 13.326496 23.739011 0.000000 36.471488 7.601219 0.000000 0.000000 0.596395 
500.00 1223.15 98.298787 15.251446 0.000000 13.853836 23.679955 0.000000 37.379074 7.506300 0.000000 0.000000 0.628176 
500.00 1213.15 98.288280 14.094066 0.000000 14.358561 23.612264 0.000000 38.160396 7.397594 0.000000 0.009570 0.655829 
500.00 1203.15 98.277546 13.060717 0.000000 14.848712 23.537008 0.000000 38.839429 7.276688 0.000000 0.034806 0.680185 
500.00 1193.15 98.266945 12.159244 0.000000 15.316756 23.458942 0.000000 39.425045 7.149192 0.000000 0.056326 0.701441 
500.00 1183.15 98.256508 11.366392 0.000000 15.766107 23.379769 0.000000 39.932769 7.016553 0.000000 0.074790 0.720128 
500.00 1173.15 98.246248 10.663621 0.000000 16.199738 23.300938 0.000000 40.374940 6.879624 0.000000 0.090712 0.736675 
500.00 1163.15 98.236165 10.036036 0.000000 16.620345 23.223695 0.000000 40.761370 6.738799 0.000000 0.104492 0.751428 
500.00 1153.15 98.222172 9.172158 0.000000 17.238127 23.151666 0.000000 41.272849 6.249591 0.241213 0.124650 0.771918 
