Title: Hr

Phase Masses:
Pressure Temperature mass liquid_0 olivine_0 clinopyroxene_0 clinopyroxene_1 feldspar_0 rhm-oxide_0 
500.00 1523.15 98.044077 98.044077 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1513.15 98.044737 98.044737 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1503.15 98.045437 98.045437 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1493.15 98.046179 98.046179 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1483.15 98.046964 98.046964 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1473.15 98.047232 95.982188 0.000000 0.000000 0.000000 2.065045 0.000000 
500.00 1463.15 95.982977 92.307122 0.000000 0.000000 0.000000 3.675855 0.000000 
500.00 1453.15 92.303762 82.484803 0.869253 3.666393 0.000000 5.283312 0.000000 
500.00 1443.15 82.482827 70.922350 0.147584 4.332073 1.775858 5.304962 0.000000 
500.00 1433.15 70.921239 61.065300 0.000000 2.178647 2.942655 4.734636 0.000000 
500.00 1423.15 61.063960 53.519430 0.000000 1.581803 2.263480 3.699246 0.000000 
500.00 1413.15 53.518607 47.526405 0.000000 1.187286 1.800244 3.004672 0.000000 
500.00 1403.15 47.525924 42.621576 0.000000 0.914169 1.469261 2.520918 0.000000 
500.00 1393.15 42.621304 38.501242 0.000000 0.717643 1.225005 2.177414 0.000000 
500.00 1383.15 38.501059 34.953379 0.000000 0.571395 1.040643 1.935643 0.000000 
500.00 1373.15 34.953148 31.814530 0.000000 0.459108 0.900157 1.779353 0.000000 
500.00 1363.15 31.814029 28.925852 0.000000 0.369988 0.795793 1.722397 0.000000 
500.00 1353.15 28.924354 25.969086 0.000000 0.296307 0.738807 1.920154 0.000000 
500.00 1343.15 25.961609 21.353792 0.000000 0.449062 0.749921 3.408834 0.000000 
500.00 1333.15 21.352307 19.506581 0.000000 0.499690 0.312892 1.033144 0.000000 
500.00 1323.15 19.507044 18.395086 0.000000 0.418456 0.216025 0.477476 0.000000 
500.00 1313.15 18.408531 14.919470 0.000000 1.761386 0.156536 0.474719 1.096420 
500.00 1303.15 14.926038 13.484788 0.000000 0.685369 0.214928 0.216807 0.324145 
500.00 1293.15 13.491174 12.281234 0.000000 0.567127 0.232294 0.147764 0.262755 
