Title: Hr

Phase Volumes:
Pressure Temperature mass V liquid_0 olivine_0 clinopyroxene_0 clinopyroxene_1 feldspar_0 rhm-oxide_0 
500.00 1523.15 98.044077 36.121613 36.121613 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1513.15 98.044737 36.097932 36.097932 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1503.15 98.045437 36.074284 36.074284 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1493.15 98.046179 36.050670 36.050670 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1483.15 98.046964 36.027090 36.027090 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1473.15 98.047232 35.968700 35.193698 0.000000 0.000000 0.000000 0.775001 0.000000 
500.00 1463.15 95.982977 35.108231 33.727260 0.000000 0.000000 0.000000 1.380971 0.000000 
500.00 1453.15 92.303762 33.404062 30.018768 0.263321 1.133768 0.000000 1.988205 0.000000 
500.00 1443.15 82.482827 29.593002 25.667101 0.044410 1.335521 0.545491 2.000479 0.000000 
500.00 1433.15 70.921239 25.310125 21.951023 0.000000 0.669628 0.900398 1.789075 0.000000 
500.00 1423.15 61.063960 21.677286 19.101838 0.000000 0.484745 0.689942 1.400760 0.000000 
500.00 1413.15 53.518607 18.884352 16.834705 0.000000 0.362784 0.546663 1.140200 0.000000 
500.00 1403.15 47.525924 16.656760 14.975002 0.000000 0.278525 0.444472 0.958760 0.000000 
500.00 1393.15 42.621304 14.825687 13.408420 0.000000 0.218026 0.369181 0.830059 0.000000 
500.00 1383.15 38.501059 13.280151 12.054854 0.000000 0.173110 0.312433 0.739753 0.000000 
500.00 1373.15 34.953148 11.941865 10.851974 0.000000 0.138715 0.269229 0.681946 0.000000 
500.00 1363.15 31.814029 10.748877 9.737872 0.000000 0.111502 0.237109 0.662393 0.000000 
500.00 1353.15 28.924354 9.634670 8.583926 0.000000 0.089097 0.219289 0.742358 0.000000 
500.00 1343.15 25.961609 8.428259 6.737357 0.000000 0.134750 0.221518 1.334634 0.000000 
500.00 1333.15 21.352307 6.663989 6.016632 0.000000 0.149435 0.091949 0.405973 0.000000 
500.00 1323.15 19.507044 5.967726 5.592141 0.000000 0.124698 0.063168 0.187718 0.000000 
500.00 1313.15 18.408531 5.481736 4.493569 0.000000 0.520737 0.045232 0.187500 0.234699 
500.00 1303.15 14.926038 4.442012 4.024366 0.000000 0.201393 0.061586 0.085496 0.069170 
500.00 1293.15 13.491174 3.980761 3.634963 0.000000 0.165608 0.066008 0.058267 0.055915 
