Title: Nd2

Phase Masses:
Pressure Temperature mass liquid_0 olivine_0 orthopyroxene_0 clinopyroxene_0 feldspar_0 spinel_0 
500.00 1523.15 98.230426 98.230426 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1513.15 98.230973 98.230973 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1503.15 98.231553 98.231553 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1493.15 98.232167 98.232167 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1483.15 98.232818 98.232818 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1473.15 98.233505 98.233505 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1463.15 98.234230 98.234230 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1453.15 98.234994 98.234994 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1443.15 98.235799 98.235799 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1433.15 98.236645 98.236645 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1423.15 98.237421 98.199582 0.037839 0.000000 0.000000 0.000000 0.000000 
500.00 1413.15 98.235954 97.436474 0.799480 0.000000 0.000000 0.000000 0.000000 
500.00 1403.15 98.236863 93.556283 0.834200 0.000000 3.846380 0.000000 0.000000 
500.00 1393.15 98.239369 89.675208 0.819289 0.000000 7.714210 0.000000 0.030662 
500.00 1383.15 98.240800 83.974439 1.396349 0.000000 10.450209 2.302998 0.116805 
500.00 1373.15 98.245616 78.292408 2.016781 0.000000 12.757241 4.855836 0.323350 
500.00 1363.15 98.265333 72.484824 2.446912 0.000000 15.060453 7.291944 0.981200 
500.00 1353.15 98.297751 66.684901 2.635679 0.000000 17.263050 9.671684 2.042438 
500.00 1343.15 98.327218 61.459259 2.409358 0.553260 18.967890 11.923913 3.013538 
500.00 1333.15 98.359297 56.119293 0.557044 3.855438 19.788988 14.093627 3.944908 
500.00 1323.15 98.377533 52.088338 0.000000 5.351294 20.263103 16.109877 4.564920 
500.00 1313.15 98.388254 48.806094 0.000000 6.038735 20.552310 17.984562 5.006552 
500.00 1303.15 98.396126 45.930663 0.000000 6.652628 20.750403 19.700987 5.361445 
