Title: Hr

Phase Masses:
Pressure Temperature mass liquid_0 olivine_0 orthopyroxene_0 clinopyroxene_0 clinopyroxene_1 feldspar_0 feldspar_1 spinel_0 rhm-oxide_0 apatite water 
500.00 1083.15 100.112757 0.000000 1.170769 21.944011 20.979335 0.000000 47.862308 0.478789 4.133670 1.327071 0.361159 1.855645 
500.00 1073.15 100.115119 0.353569 1.133757 21.919132 21.023075 0.000000 47.760480 0.564567 4.162028 1.337357 0.000000 1.861154 
500.00 1063.15 100.115597 0.353066 1.133210 21.970784 20.967230 0.000000 47.672965 0.646976 4.149680 1.360516 0.000000 1.861171 
500.00 1053.15 100.116059 0.352592 1.132144 22.020529 20.914646 0.000000 47.588333 0.725925 4.137890 1.382812 0.000000 1.861187 
500.00 1043.15 100.114432 0.352115 1.139160 22.180084 20.672900 0.279721 47.398629 0.801902 4.088764 1.339953 0.000000 1.861203 
500.00 1033.15 100.096589 0.351423 1.212762 23.194179 18.988791 2.686593 46.376399 0.877333 3.749297 0.798597 0.000000 1.861217 
500.00 1023.15 100.077133 0.350747 1.291843 24.266103 17.262587 5.202984 45.286205 0.949619 3.390389 0.215424 0.000000 1.861231 
500.00 1013.15 100.069292 0.350231 1.325976 24.717022 16.549963 6.247371 44.779016 1.017100 3.221367 0.000000 0.000000 1.861247 
500.00 1003.15 100.068386 0.349824 1.332436 24.803121 16.417385 6.433607 44.622004 1.080708 3.168037 0.000000 0.000000 1.861263 
500.00 993.15 100.067511 0.349448 1.337290 24.883277 16.298984 6.601454 44.473835 1.141478 3.120465 0.000000 0.000000 1.861279 
500.00 983.15 100.066672 0.349102 1.340543 24.958431 16.192933 6.753161 44.333714 1.199508 3.077985 0.000000 0.000000 1.861294 
500.00 973.15 100.065872 0.348782 1.342210 25.029382 16.097695 6.890626 44.200951 1.254892 3.040026 0.000000 0.000000 1.861309 
500.00 963.15 100.065114 0.348488 1.342314 25.096805 16.011964 7.015455 44.074946 1.307718 3.006100 0.000000 0.000000 1.861324 
500.00 953.15 100.064399 0.348218 1.340886 25.161275 15.934626 7.129013 43.955180 1.358075 2.975788 0.000000 0.000000 1.861338 
