Title: Nd3

Phase Volumes:
Pressure Temperature mass V liquid_0 olivine_0 clinopyroxene_0 clinopyroxene_1 feldspar_0 feldspar_1 spinel_0 rhm-oxide_0 whitlockite 
500.00 1523.15 97.822266 36.536190 36.536190 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1513.15 97.822845 36.513448 36.513448 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1503.15 97.823461 36.490736 36.490736 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1493.15 97.824113 36.468052 36.468052 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1483.15 97.824436 36.412129 35.652348 0.000000 0.000000 0.000000 0.759780 0.000000 0.000000 0.000000 0.000000 
500.00 1473.15 97.824455 36.330550 34.239134 0.000000 0.000000 0.000000 2.091416 0.000000 0.000000 0.000000 0.000000 
500.00 1463.15 97.824468 36.251518 32.904836 0.000000 0.000000 0.000000 3.346682 0.000000 0.000000 0.000000 0.000000 
500.00 1453.15 97.823215 35.927025 29.609160 0.000000 1.364386 0.000000 4.953480 0.000000 0.000000 0.000000 0.000000 
500.00 1443.15 97.820148 35.527694 25.700880 0.000000 3.145024 0.000000 6.681790 0.000000 0.000000 0.000000 0.000000 
500.00 1433.15 97.818015 35.146918 21.823317 0.000000 3.955187 0.859675 8.493141 0.000000 0.015598 0.000000 0.000000 
500.00 1423.15 97.817670 34.828154 18.602169 0.000000 4.512461 1.679648 9.997511 0.000000 0.036366 0.000000 0.000000 
500.00 1413.15 97.823472 34.548295 15.782334 0.000000 5.018979 2.386610 11.268356 0.000000 0.092015 0.000000 0.000000 
500.00 1403.15 97.861723 34.264391 12.724779 0.000000 5.787475 2.933802 12.457335 0.000000 0.361000 0.000000 0.000000 
500.00 1393.15 97.906955 34.025504 9.958060 0.000000 6.518027 3.269527 13.576124 0.000000 0.703767 0.000000 0.000000 
500.00 1383.15 97.922660 33.868558 8.197729 0.000000 6.861260 3.530511 14.414050 0.000000 0.865008 0.000000 0.000000 
500.00 1373.15 97.925625 33.755538 6.994133 0.000000 7.030065 3.748754 15.039838 0.000000 0.942747 0.000000 0.000000 
500.00 1363.15 97.923014 33.668366 6.116003 0.000000 7.114068 3.936187 15.520946 0.000000 0.981161 0.000000 0.000000 
500.00 1353.15 97.917794 33.597927 5.445477 0.000000 7.152123 4.099892 15.901320 0.000000 0.999115 0.000000 0.000000 
500.00 1343.15 97.911343 33.539014 4.915529 0.000000 7.163562 4.244637 16.209587 0.000000 1.005698 0.000000 0.000000 
500.00 1333.15 97.904351 33.488399 4.485051 0.000000 7.158932 4.373885 16.464856 0.000000 1.005675 0.000000 0.000000 
500.00 1323.15 97.897035 33.443165 4.119714 0.000000 7.144858 4.491705 16.682163 0.000000 1.001512 0.000000 0.003211 
500.00 1313.15 97.889561 33.401854 3.801608 0.000000 7.124812 4.600209 16.870629 0.000000 0.994630 0.000000 0.009966 
500.00 1303.15 97.882244 33.364585 3.529206 0.000000 7.100459 4.698985 17.034103 0.000000 0.986243 0.000000 0.015590 
500.00 1293.15 97.869393 33.327691 3.237162 0.070632 7.072295 4.744649 17.217402 0.000000 0.960882 0.000000 0.024668 
500.00 1283.15 97.859713 33.294272 3.002885 0.099427 7.040277 4.815820 17.362171 0.000000 0.942929 0.000000 0.030762 
500.00 1273.15 97.850469 33.262797 2.793893 0.123193 7.006353 4.886780 17.491404 0.000000 0.925059 0.000000 0.036115 
500.00 1263.15 97.841632 33.232951 2.605653 0.142920 6.971460 4.956990 17.607724 0.000000 0.907345 0.000000 0.040858 
500.00 1253.15 97.833171 33.204464 2.434632 0.159371 6.936242 5.026179 17.713151 0.000000 0.889798 0.000000 0.045091 
500.00 1243.15 97.825053 33.177113 2.278044 0.173134 6.901144 5.094247 17.809264 0.000000 0.872389 0.000000 0.048892 
500.00 1233.15 97.817247 33.150713 2.133660 0.184675 6.866480 5.161206 17.897302 0.000000 0.855064 0.000000 0.052326 
500.00 1223.15 97.803725 33.101843 1.830541 0.196077 6.815418 5.327540 18.065040 0.000000 0.750119 0.056847 0.060260 
500.00 1213.15 97.787529 33.047277 1.479078 0.205068 6.755058 5.523456 18.199496 0.066652 0.632212 0.116938 0.069318 
500.00 1203.15 97.761109 32.968856 0.926893 0.211482 6.660790 5.841057 18.212580 0.379323 0.453078 0.200095 0.083557 
500.00 1193.15 97.737003 32.900739 0.476591 0.214916 6.578666 6.115523 18.222984 0.628111 0.302381 0.266473 0.095094 
500.00 1183.15 97.717762 32.847966 0.150433 0.215135 6.512921 6.319594 18.229344 0.810210 0.194167 0.312700 0.103462 
500.00 1173.15 97.707850 32.818661 0.000000 0.215137 6.477616 6.407928 18.217884 0.911990 0.147921 0.332830 0.107355 
500.00 1163.15 97.706929 32.809255 0.000000 0.219194 6.474968 6.392681 18.179829 0.951101 0.151433 0.332695 0.107355 
500.00 1153.15 97.706039 32.799915 0.000000 0.223199 6.471934 6.377600 18.143754 0.988508 0.154946 0.332619 0.107355 
500.00 1143.15 97.705179 32.790639 0.000000 0.227150 6.468527 6.362687 18.109583 1.024281 0.158457 0.332600 0.107355 
500.00 1133.15 97.704350 32.781428 0.000000 0.231041 6.464760 6.347941 18.077244 1.058486 0.161963 0.332638 0.107355 
500.00 1123.15 97.703553 32.772280 0.000000 0.234869 6.460646 6.333364 18.046667 1.091185 0.165464 0.332731 0.107355 
