Title: Hr

Phase Masses:
Pressure Temperature mass liquid_0 olivine_0 clinopyroxene_0 clinopyroxene_1 feldspar_0 
500.00 1523.15 98.098244 98.098244 0.000000 0.000000 0.000000 0.000000 
500.00 1513.15 98.098914 98.098914 0.000000 0.000000 0.000000 0.000000 
500.00 1503.15 98.099624 98.099624 0.000000 0.000000 0.000000 0.000000 
500.00 1493.15 98.100377 98.100377 0.000000 0.000000 0.000000 0.000000 
500.00 1483.15 98.100553 95.984888 0.000000 0.000000 0.000000 2.115666 
500.00 1473.15 95.985520 92.186333 0.000000 0.000000 0.000000 3.799187 
500.00 1463.15 92.186983 88.660715 0.000000 0.000000 0.000000 3.526268 
500.00 1453.15 88.659485 82.390736 0.344083 1.836430 0.000000 4.088236 
500.00 1443.15 82.388423 70.839346 0.154394 4.342118 1.799602 5.252963 
500.00 1433.15 70.837879 60.939324 0.000000 2.162492 3.020697 4.715366 
500.00 1423.15 60.937620 53.350600 0.000000 1.564335 2.330723 3.691962 
500.00 1413.15 53.349394 47.311382 0.000000 1.168782 1.859774 3.009455 
500.00 1403.15 47.310487 42.353149 0.000000 0.894933 1.523187 2.539218 
500.00 1393.15 42.352412 38.166617 0.000000 0.698146 1.274927 2.212723 
500.00 1383.15 38.165881 34.529327 0.000000 0.552523 1.088104 1.995928 
500.00 1373.15 34.528372 31.251335 0.000000 0.442785 0.947668 1.886583 
500.00 1363.15 31.249602 28.060075 0.000000 0.362455 0.852929 1.974143 
