Title: Hr

Phase Volumes:
Pressure Temperature mass V liquid_0 olivine_0 clinopyroxene_0 clinopyroxene_1 feldspar_0 
500.00 1523.15 98.098244 36.066456 36.066456 0.000000 0.000000 0.000000 0.000000 
500.00 1513.15 98.098914 36.042808 36.042808 0.000000 0.000000 0.000000 0.000000 
500.00 1503.15 98.099624 36.019194 36.019194 0.000000 0.000000 0.000000 0.000000 
500.00 1493.15 98.100377 35.995613 35.995613 0.000000 0.000000 0.000000 0.000000 
500.00 1483.15 98.100553 35.936859 35.143948 0.000000 0.000000 0.000000 0.792911 
500.00 1473.15 95.985520 35.057336 33.632088 0.000000 0.000000 0.000000 1.425249 
500.00 1463.15 92.186983 33.550138 32.225894 0.000000 0.000000 0.000000 1.324243 
500.00 1453.15 88.659485 32.031263 29.822010 0.104154 0.567685 0.000000 1.537414 
500.00 1443.15 82.388423 29.395987 25.479465 0.046424 1.338147 0.552523 1.979428 
500.00 1433.15 70.837879 25.120420 21.751650 0.000000 0.664443 0.923851 1.780476 
500.00 1423.15 60.937620 21.476017 18.889652 0.000000 0.479250 0.710123 1.396992 
500.00 1413.15 53.349394 18.670301 16.607506 0.000000 0.357041 0.564505 1.141249 
500.00 1403.15 47.310487 16.427581 14.729189 0.000000 0.272615 0.460611 0.965167 
500.00 1393.15 42.352412 14.577581 13.138226 0.000000 0.212084 0.384098 0.843173 
500.00 1383.15 38.165881 13.007003 11.750327 0.000000 0.167397 0.326591 0.762688 
500.00 1373.15 34.528372 11.632872 10.492376 0.000000 0.133807 0.283376 0.723313 
500.00 1363.15 31.249602 10.379753 9.255925 0.000000 0.109274 0.254084 0.760469 
