Title: Hr

Phase Masses:
Pressure Temperature mass liquid_0 olivine_0 feldspar_0 
500.00 1523.15 98.074491 98.074491 0.000000 0.000000 
500.00 1513.15 98.075154 98.075154 0.000000 0.000000 
500.00 1503.15 98.075858 98.075858 0.000000 0.000000 
500.00 1493.15 98.076604 98.076604 0.000000 0.000000 
500.00 1483.15 98.076993 96.872844 0.000000 1.204149 
500.00 1473.15 96.873298 93.006093 0.000000 3.867205 
500.00 1463.15 93.006563 89.412935 0.000000 3.593627 
500.00 1453.15 89.407239 82.027416 1.932742 5.447082 
