Title: Mr2

Phase Masses:
Pressure Temperature mass liquid_0 olivine_0 clinopyroxene_0 clinopyroxene_1 feldspar_0 spinel_0 rhm-oxide_0 whitlockite 
500.00 1523.15 98.109474 98.109474 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1513.15 98.110082 98.110082 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1503.15 98.110728 98.110728 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1493.15 98.111412 98.111412 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1483.15 98.111158 94.291080 0.000000 0.000000 0.000000 3.820078 0.000000 0.000000 0.000000 
500.00 1473.15 94.291838 90.715319 0.000000 0.000000 0.000000 3.576519 0.000000 0.000000 0.000000 
500.00 1463.15 90.715780 87.171280 0.110508 0.000000 0.000000 3.433992 0.000000 0.000000 0.000000 
500.00 1453.15 87.167546 73.544851 0.000000 3.990614 3.286689 6.345393 0.000000 0.000000 0.000000 
500.00 1443.15 73.542035 62.035400 0.000000 2.665057 3.530725 5.310852 0.000000 0.000000 0.000000 
500.00 1433.15 62.033711 53.632905 0.000000 1.857708 2.615558 3.927540 0.000000 0.000000 0.000000 
500.00 1423.15 53.631974 47.207566 0.000000 1.356210 2.023280 3.044919 0.000000 0.000000 0.000000 
500.00 1413.15 47.219368 41.423925 0.000000 1.474987 1.545188 2.399443 0.375825 0.000000 0.000000 
500.00 1403.15 41.430743 37.072342 0.000000 0.998823 1.245596 1.942291 0.171691 0.000000 0.000000 
500.00 1393.15 37.173933 28.332353 0.000000 4.317705 0.000000 1.489962 3.033914 0.000000 0.000000 
500.00 1383.15 28.380197 23.464267 0.000000 1.826573 0.246685 1.386111 1.456562 0.000000 0.000000 
500.00 1373.15 23.491034 20.555062 0.000000 1.001480 0.122026 1.044747 0.767719 0.000000 0.000000 
500.00 1363.15 20.573082 18.514832 0.000000 0.646471 0.083937 0.838358 0.489484 0.000000 0.000000 
500.00 1353.15 18.528369 16.973394 0.000000 0.464255 0.054282 0.692847 0.343591 0.000000 0.000000 
500.00 1343.15 16.984286 15.754577 0.000000 0.356418 0.032470 0.585197 0.255624 0.000000 0.000000 
500.00 1333.15 15.763771 14.760298 0.000000 0.286552 0.016510 0.502556 0.197855 0.000000 0.000000 
500.00 1323.15 14.768333 13.930338 0.000000 0.238266 0.004785 0.437302 0.157642 0.000000 0.000000 
500.00 1313.15 13.937529 13.224120 0.000000 0.199624 0.000000 0.385785 0.128001 0.000000 0.000000 
500.00 1303.15 13.229663 12.613638 0.000000 0.166269 0.000000 0.344543 0.105214 0.000000 0.000000 
500.00 1293.15 12.618695 12.080303 0.000000 0.141247 0.000000 0.309432 0.087713 0.000000 0.000000 
500.00 1283.15 12.084494 11.587847 0.034713 0.097567 0.000000 0.298798 0.065569 0.000000 0.000000 
500.00 1273.15 11.592423 11.137577 0.055273 0.069756 0.000000 0.281195 0.048621 0.000000 0.000000 
500.00 1263.15 11.141958 10.738598 0.049541 0.061543 0.000000 0.252362 0.039914 0.000000 0.000000 
500.00 1253.15 10.742831 10.382981 0.044572 0.054789 0.000000 0.227587 0.032902 0.000000 0.000000 
500.00 1243.15 10.387092 10.060457 0.040624 0.049460 0.000000 0.206439 0.027157 0.000000 0.002955 
500.00 1233.15 10.065480 9.768770 0.036958 0.044699 0.000000 0.187762 0.022441 0.000000 0.004851 
500.00 1223.15 9.773730 9.506231 0.033549 0.040426 0.000000 0.171220 0.018566 0.000000 0.003737 
500.00 1213.15 9.511047 9.264947 0.032495 0.037267 0.000000 0.158164 0.010888 0.004141 0.003144 
500.00 1203.15 9.270589 9.029697 0.029738 0.036305 0.000000 0.150425 0.000000 0.020746 0.003678 
500.00 1193.15 9.034388 8.818684 0.025700 0.032584 0.000000 0.137159 0.000000 0.017841 0.002419 
500.00 1183.15 8.823399 8.628538 0.022722 0.029368 0.000000 0.125676 0.000000 0.015805 0.001289 
500.00 1173.15 8.633274 8.456803 0.020124 0.026527 0.000000 0.115552 0.000000 0.014072 0.000196 
500.00 1163.15 8.460752 8.299454 0.017940 0.024073 0.000000 0.106662 0.000000 0.012625 0.000000 
