Title: Hr

Phase Volumes:
Pressure Temperature mass V liquid_0 olivine_0 feldspar_0 
500.00 1523.15 98.254690 36.194526 36.194526 0.000000 0.000000 
500.00 1513.15 98.255347 36.171003 36.171003 0.000000 0.000000 
500.00 1503.15 98.256045 36.147511 36.147511 0.000000 0.000000 
500.00 1493.15 98.256784 36.124054 36.124054 0.000000 0.000000 
500.00 1483.15 98.257567 36.100631 36.100631 0.000000 0.000000 
500.00 1473.15 98.257235 36.017822 34.697235 0.000000 1.320587 
500.00 1463.15 94.738374 34.612796 33.245931 0.000000 1.366865 
500.00 1453.15 91.094627 33.094721 30.617907 0.510781 1.966033 
