Title: Hr

Phase Masses:
Pressure Temperature mass liquid_0 olivine_0 feldspar_0 
500.00 1523.15 98.254690 98.254690 0.000000 0.000000 
500.00 1513.15 98.255347 98.255347 0.000000 0.000000 
500.00 1503.15 98.256045 98.256045 0.000000 0.000000 
500.00 1493.15 98.256784 98.256784 0.000000 0.000000 
500.00 1483.15 98.257567 98.257567 0.000000 0.000000 
500.00 1473.15 98.257235 94.737815 0.000000 3.519420 
500.00 1463.15 94.738374 91.099387 0.000000 3.638987 
500.00 1453.15 91.094627 84.178758 1.687944 5.227925 
