Title: Hr

Phase Masses:
Pressure Temperature mass liquid_0 orthopyroxene_0 feldspar_0 
500.00 1523.15 98.101379 98.101379 0.000000 0.000000 
500.00 1513.15 98.102030 98.102030 0.000000 0.000000 
500.00 1503.15 98.102721 98.102721 0.000000 0.000000 
500.00 1493.15 98.103454 98.103454 0.000000 0.000000 
500.00 1483.15 98.104229 98.104229 0.000000 0.000000 
500.00 1473.15 98.104362 96.039684 0.000000 2.064678 
500.00 1463.15 98.103896 92.372307 0.000000 5.731589 
500.00 1453.15 98.102080 86.694182 1.128536 10.279361 
