Title: Hr

Phase Masses:
Pressure Temperature mass liquid_0 olivine_0 clinopyroxene_0 clinopyroxene_1 feldspar_0 rhm-oxide_0 
500.00 1523.15 98.020346 98.020346 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1513.15 98.021007 98.021007 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1503.15 98.021710 98.021710 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1493.15 98.022455 98.022455 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1483.15 98.022430 95.210484 0.000000 0.000000 0.000000 2.811946 0.000000 
500.00 1473.15 95.211093 91.344054 0.000000 0.000000 0.000000 3.867039 0.000000 
500.00 1463.15 91.344673 87.746386 0.000000 0.000000 0.000000 3.598287 0.000000 
500.00 1453.15 87.741521 79.686698 1.673772 0.971141 0.000000 5.409909 0.000000 
500.00 1443.15 79.684165 69.482591 0.915005 4.478886 0.000000 4.807684 0.000000 
500.00 1433.15 69.481101 60.433049 0.000000 2.784410 1.999100 4.264542 0.000000 
500.00 1423.15 60.431459 52.816452 0.000000 1.568463 2.292679 3.753865 0.000000 
500.00 1413.15 52.815302 46.742939 0.000000 1.168725 1.825478 3.078160 0.000000 
500.00 1403.15 46.742033 41.739010 0.000000 0.891679 1.491500 2.619844 0.000000 
500.00 1393.15 41.738173 37.487047 0.000000 0.692788 1.244874 2.313464 0.000000 
500.00 1383.15 37.486069 33.746367 0.000000 0.547039 1.058809 2.133854 0.000000 
500.00 1373.15 33.744859 30.268429 0.000000 0.442986 0.918856 2.114588 0.000000 
500.00 1363.15 30.264430 26.281528 0.000000 0.422935 0.832309 2.727658 0.000000 
500.00 1353.15 26.275812 22.546641 0.000000 0.725186 0.417743 2.586241 0.000000 
500.00 1343.15 22.546282 21.073715 0.000000 0.568196 0.153142 0.751229 0.000000 
500.00 1333.15 21.074707 20.096553 0.000000 0.469923 0.113283 0.394948 0.000000 
500.00 1323.15 20.110782 16.479916 0.000000 1.906214 0.000000 0.613173 1.111479 
500.00 1313.15 16.486618 15.009238 0.000000 0.862504 0.000000 0.241999 0.372877 
