Title: Hr

Phase Masses:
Pressure Temperature mass liquid_0 olivine_0 clinopyroxene_0 water 
500.00 1523.15 100.111287 99.908185 0.000000 0.000000 0.203102 
500.00 1513.15 100.111922 99.913123 0.000000 0.000000 0.198800 
500.00 1503.15 100.112597 99.918180 0.000000 0.000000 0.194417 
500.00 1493.15 100.113312 99.923361 0.000000 0.000000 0.189951 
500.00 1483.15 100.114069 99.928668 0.000000 0.000000 0.185401 
500.00 1473.15 100.114869 99.934106 0.000000 0.000000 0.180763 
500.00 1463.15 100.115713 99.939676 0.000000 0.000000 0.176037 
500.00 1453.15 100.116603 99.945384 0.000000 0.000000 0.171219 
500.00 1443.15 100.117541 99.951233 0.000000 0.000000 0.166308 
500.00 1433.15 100.118527 99.957227 0.000000 0.000000 0.161300 
500.00 1423.15 100.119564 99.963370 0.000000 0.000000 0.156193 
500.00 1413.15 100.120653 99.969667 0.000000 0.000000 0.150986 
500.00 1403.15 100.120832 99.627919 0.345611 0.000000 0.147302 
500.00 1393.15 100.119835 98.588897 1.111251 0.270436 0.149251 
