Title: Hr

Phase Volumes:
Pressure Temperature mass V liquid_0 olivine_0 orthopyroxene_0 clinopyroxene_0 feldspar_0 feldspar_1 quartz spinel_0 rhm-oxide_0 apatite water 
500.00 1163.15 100.204818 51.069770 4.389343 0.000000 4.910380 7.055619 15.558977 0.000000 0.000000 1.416651 0.000000 0.034448 17.704351 
500.00 1153.15 100.190685 50.983120 4.014498 0.000000 5.079481 7.028425 15.752288 0.000000 0.000000 1.310831 0.052495 0.041096 17.704007 
500.00 1143.15 100.172990 50.902375 3.624141 0.021911 5.249486 6.997439 15.948371 0.000000 0.000000 1.188978 0.108864 0.048734 17.714453 
500.00 1133.15 100.152695 50.816297 3.237879 0.056886 5.419572 6.963950 16.136436 0.000000 0.000000 1.061699 0.162610 0.056649 17.720616 
500.00 1123.15 100.131957 50.711078 2.875896 0.086790 5.592661 6.931031 16.306492 0.000000 0.000000 0.938033 0.212028 0.063838 17.704310 
500.00 1113.15 100.110862 50.588540 2.534997 0.112441 5.767458 6.898803 16.461305 0.000000 0.000000 0.818026 0.257428 0.070414 17.667667 
500.00 1103.15 100.089507 50.450197 2.212549 0.134496 5.942756 6.867349 16.603267 0.000000 0.000000 0.701819 0.299058 0.076474 17.612430 
500.00 1093.15 100.068004 50.297327 1.906343 0.153487 6.117418 6.836725 16.734484 0.000000 0.000000 0.589609 0.337121 0.082102 17.540037 
500.00 1083.15 100.046463 50.131032 1.614463 0.169856 6.290398 6.806961 16.856856 0.000000 0.000000 0.481621 0.371795 0.087376 17.451706 
500.00 1073.15 100.024995 49.952282 1.335153 0.183970 6.460780 6.778065 16.972137 0.000000 0.000000 0.378050 0.403250 0.092366 17.348512 
500.00 1063.15 100.003691 49.761966 1.066680 0.196145 6.627843 6.750035 17.081981 0.000000 0.000000 0.279016 0.431662 0.097142 17.231463 
500.00 1053.15 99.982617 49.560909 0.807224 0.206655 6.791129 6.722851 17.187981 0.000000 0.000000 0.184512 0.457225 0.101776 17.101555 
500.00 1043.15 99.942268 49.408712 0.294759 0.221280 7.100937 6.686648 17.241845 0.171701 0.000000 0.003388 0.503180 0.111288 17.073686 
500.00 1033.15 99.937510 49.153447 0.227250 0.213382 7.139560 6.650559 17.243014 0.223046 0.000000 0.000000 0.504699 0.112471 16.839466 
500.00 1023.15 99.933685 48.890751 0.174449 0.205710 7.170492 6.616353 17.242482 0.267588 0.000000 0.000000 0.505294 0.113408 16.594975 
500.00 1013.15 99.930422 48.659579 0.000000 0.205480 7.194732 6.581122 17.249832 0.343231 0.063586 0.000000 0.505798 0.116865 16.398934 
500.00 1003.15 99.928414 48.371498 0.000000 0.205520 7.208767 6.566169 17.219914 0.368612 0.057798 0.000000 0.504583 0.116865 16.123270 
