Title: Hr

Phase Volumes:
Pressure Temperature mass V liquid_0 olivine_0 orthopyroxene_0 clinopyroxene_0 feldspar_0 spinel_0 apatite water 
500.00 1523.15 98.115128 37.754775 37.754775 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1513.15 98.115771 37.718600 37.718600 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1503.15 98.116454 37.682486 37.682486 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1493.15 98.117177 37.646434 37.646434 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1483.15 98.117943 37.610446 37.610446 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1473.15 98.118752 37.574523 37.574523 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1463.15 98.119606 37.538667 37.538667 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1453.15 98.120505 37.502879 37.502879 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1443.15 98.121453 37.467161 37.467161 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1433.15 98.122450 37.431514 37.431514 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1423.15 98.123498 37.395941 37.395941 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1413.15 98.123751 37.293562 36.848731 0.074514 0.000000 0.370316 0.000000 0.000000 0.000000 0.000000 
500.00 1403.15 98.124709 37.031514 35.206425 0.088522 0.000000 1.736567 0.000000 0.000000 0.000000 0.000000 
500.00 1393.15 98.122637 36.780208 32.794080 0.303592 0.000000 2.713850 0.968685 0.000000 0.000000 0.000000 
500.00 1383.15 98.120217 36.555031 30.570866 0.519841 0.000000 3.538033 1.926291 0.000000 0.000000 0.000000 
500.00 1373.15 98.117837 36.352031 28.593001 0.719419 0.000000 4.264973 2.774638 0.000000 0.000000 0.000000 
500.00 1363.15 98.115463 36.167114 26.813876 0.908829 0.000000 4.911472 3.532938 0.000000 0.000000 0.000000 
500.00 1353.15 98.113050 35.997305 25.198238 1.094344 0.000000 5.488653 4.216069 0.000000 0.000000 0.000000 
500.00 1343.15 98.277107 35.633452 21.156481 0.000000 1.424516 6.691299 5.265671 1.095484 0.000000 0.000000 
500.00 1333.15 98.298243 35.497326 19.611181 0.000000 1.690504 6.930306 6.002683 1.262651 0.000000 0.000000 
500.00 1323.15 98.312976 35.379864 18.307989 0.000000 1.930622 7.087479 6.666767 1.387007 0.000000 0.000000 
500.00 1313.15 98.321548 36.179802 16.227881 0.000000 2.303120 7.171051 7.883677 1.494457 0.000000 1.099617 
500.00 1303.15 98.323750 37.149359 14.172264 0.000000 2.667067 7.208953 9.140504 1.568482 0.000000 2.392089 
500.00 1293.15 98.321635 37.949247 12.457551 0.000000 2.973921 7.225288 10.211083 1.613022 0.000000 3.468383 
500.00 1283.15 98.316509 38.603098 11.023128 0.000000 3.237584 7.228705 11.117826 1.636296 0.000000 4.359558 
500.00 1273.15 98.309305 39.131573 9.821864 0.000000 3.468415 7.223294 11.881764 1.644166 0.000000 5.092070 
500.00 1263.15 98.300711 39.553736 8.814215 0.000000 3.674054 7.211197 12.523307 1.640939 0.000000 5.690024 
500.00 1253.15 98.291227 39.887080 7.966143 0.000000 3.860080 7.193806 13.061814 1.629793 0.000000 6.175445 
500.00 1243.15 98.281215 40.147072 7.248701 0.000000 4.030544 7.172239 13.514748 1.613045 0.000000 6.567795 
500.00 1233.15 98.270928 40.346883 6.637787 0.000000 4.188406 7.147482 13.897174 1.592360 0.000000 6.883675 
500.00 1223.15 98.260367 40.498973 6.105930 0.000000 4.337705 7.119881 14.223859 1.568510 0.003533 7.139556 
