Title: Hr

Phase Masses:
Pressure Temperature mass liquid_0 olivine_0 clinopyroxene_0 clinopyroxene_1 feldspar_0 
500.00 1523.15 98.073529 98.073529 0.000000 0.000000 0.000000 0.000000 
500.00 1513.15 98.074172 98.074172 0.000000 0.000000 0.000000 0.000000 
500.00 1503.15 98.074855 98.074855 0.000000 0.000000 0.000000 0.000000 
500.00 1493.15 98.075578 98.075578 0.000000 0.000000 0.000000 0.000000 
500.00 1483.15 98.075833 96.134382 0.000000 0.000000 0.000000 1.941452 
500.00 1473.15 98.075533 92.292234 0.000000 0.000000 0.000000 5.783299 
500.00 1463.15 98.075192 88.642190 0.000000 0.000000 0.000000 9.433003 
500.00 1453.15 98.071617 80.200319 0.584981 2.935003 0.000000 14.351314 
500.00 1443.15 98.066557 66.954784 0.000000 7.035008 3.609543 20.467222 
500.00 1433.15 98.060559 56.060437 0.000000 9.435291 6.755894 25.808937 
500.00 1423.15 98.054706 47.061279 0.000000 11.293086 9.372198 30.328142 
500.00 1413.15 98.048392 39.262951 0.000000 12.771869 11.637029 34.376543 
500.00 1403.15 98.040507 32.109863 0.000000 13.966120 13.687848 38.276676 
500.00 1393.15 98.030700 25.599314 0.000000 14.983345 15.564529 41.883512 
500.00 1383.15 98.024765 21.216754 0.000000 15.939805 16.992261 43.875945 
500.00 1373.15 98.023706 18.426317 0.000000 16.822018 18.083301 44.692070 
500.00 1363.15 98.025501 16.279800 0.000000 17.646564 19.077514 45.021623 
500.00 1353.15 98.029279 14.380661 0.000000 18.440651 20.101819 45.106148 
500.00 1343.15 98.034684 12.538261 0.000000 19.225569 21.234644 45.036210 
