Title: Hr

Phase Volumes:
Pressure Temperature mass V liquid_0 olivine_0 clinopyroxene_0 clinopyroxene_1 feldspar_0 
500.00 1523.15 98.073529 36.181591 36.181591 0.000000 0.000000 0.000000 0.000000 
500.00 1513.15 98.074172 36.158077 36.158077 0.000000 0.000000 0.000000 0.000000 
500.00 1503.15 98.074855 36.134596 36.134596 0.000000 0.000000 0.000000 0.000000 
500.00 1493.15 98.075578 36.111147 36.111147 0.000000 0.000000 0.000000 0.000000 
500.00 1483.15 98.075833 36.055366 35.327565 0.000000 0.000000 0.000000 0.727801 
500.00 1473.15 98.075533 35.966941 33.796856 0.000000 0.000000 0.000000 2.170085 
500.00 1463.15 98.075192 35.880400 32.337346 0.000000 0.000000 0.000000 3.543053 
500.00 1453.15 98.071617 35.604406 29.121804 0.177149 0.907437 0.000000 5.398015 
500.00 1443.15 98.066557 35.095865 24.106553 0.000000 2.168362 1.108496 7.712455 
500.00 1433.15 98.060559 34.695717 19.988047 0.000000 2.899299 2.066597 9.741775 
500.00 1423.15 98.054706 34.362552 16.580621 0.000000 3.459840 2.855900 11.466190 
500.00 1413.15 98.048392 34.072691 13.620886 0.000000 3.901661 3.532701 13.017443 
500.00 1403.15 98.040507 33.807736 10.895623 0.000000 4.254903 4.139933 14.517277 
500.00 1393.15 98.030700 33.565384 8.415923 0.000000 4.552857 4.690173 15.906431 
500.00 1383.15 98.024765 33.389370 6.785092 0.000000 4.830141 5.102276 16.671861 
500.00 1373.15 98.023706 33.264393 5.785689 0.000000 5.082735 5.412164 16.983806 
500.00 1363.15 98.025501 33.160605 5.044217 0.000000 5.315344 5.691935 17.109110 
500.00 1353.15 98.029279 33.064808 4.409156 0.000000 5.535434 5.979108 17.141110 
500.00 1343.15 98.034684 32.970399 3.810531 0.000000 5.748494 6.296517 17.114857 
