Title: Hr

Phase Masses:
Pressure Temperature mass liquid_0 olivine_0 clinopyroxene_0 clinopyroxene_1 feldspar_0 rhm-oxide_0 
500.00 1523.15 98.192143 98.192143 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1513.15 98.192784 98.192784 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1503.15 98.193464 98.193464 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1493.15 98.194184 98.194184 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1483.15 98.194912 98.064838 0.000000 0.000000 0.000000 0.130074 0.000000 
500.00 1473.15 98.065570 94.236559 0.000000 0.000000 0.000000 3.829011 0.000000 
500.00 1463.15 94.237312 90.688823 0.000000 0.000000 0.000000 3.548489 0.000000 
500.00 1453.15 90.686633 82.757199 0.476615 2.850860 0.000000 4.601960 0.000000 
500.00 1443.15 82.753980 69.800433 0.000000 3.780702 3.131812 6.041033 0.000000 
500.00 1433.15 69.798336 60.256337 0.000000 2.890786 2.122945 4.528269 0.000000 
500.00 1423.15 60.255061 52.958147 0.000000 2.229041 1.549384 3.518489 0.000000 
500.00 1413.15 52.957444 47.174719 0.000000 1.775946 1.171233 2.835546 0.000000 
500.00 1403.15 47.174427 42.459052 0.000000 1.452017 0.910233 2.353125 0.000000 
500.00 1393.15 42.459054 38.521777 0.000000 1.212773 0.723237 2.001267 0.000000 
500.00 1383.15 38.521986 35.166143 0.000000 1.031764 0.584918 1.739161 0.000000 
500.00 1373.15 35.166482 32.251745 0.000000 0.892576 0.479586 1.542575 0.000000 
500.00 1363.15 32.252140 29.672057 0.000000 0.784880 0.396961 1.398243 0.000000 
500.00 1353.15 29.672411 27.336688 0.000000 0.702717 0.329671 1.303334 0.000000 
500.00 1343.15 27.336826 25.144388 0.000000 0.645360 0.270951 1.276127 0.000000 
500.00 1333.15 25.143659 22.840365 0.000000 0.634081 0.207138 1.462076 0.000000 
500.00 1323.15 22.835592 19.449864 0.000000 0.751763 0.211912 2.422052 0.000000 
500.00 1313.15 19.448629 17.665077 0.000000 0.472571 0.335057 0.975923 0.000000 
500.00 1303.15 17.681520 14.478853 0.000000 0.069222 1.781228 0.240947 1.111269 
500.00 1293.15 14.483737 14.104168 0.000000 0.000000 0.000000 0.296835 0.082735 
500.00 1283.15 14.109555 11.468281 0.000000 0.707107 1.229909 0.253988 0.450271 
500.00 1273.15 11.473247 11.252470 0.000000 0.000000 0.000000 0.160914 0.059864 
