Title: Hr

Phase Masses:
Pressure Temperature mass liquid_0 olivine_0 clinopyroxene_0 feldspar_0 
500.00 1523.15 98.106980 98.106980 0.000000 0.000000 0.000000 
500.00 1513.15 98.107636 98.107636 0.000000 0.000000 0.000000 
500.00 1503.15 98.108333 98.108333 0.000000 0.000000 0.000000 
500.00 1493.15 98.109071 98.109071 0.000000 0.000000 0.000000 
500.00 1483.15 98.109785 97.878509 0.000000 0.000000 0.231275 
500.00 1473.15 97.879138 94.004222 0.000000 0.000000 3.874917 
500.00 1463.15 94.004868 90.408988 0.000000 0.000000 3.595880 
500.00 1453.15 90.406428 83.870414 0.851858 1.123578 4.560578 
