Title: Mk

Phase Masses:
Pressure Temperature mass liquid_0 olivine_0 orthopyroxene_0 clinopyroxene_0 biotite_0 feldspar_0 feldspar_1 spinel_0 rhm-oxide_0 apatite water 
500.00 1143.15 100.146446 3.513582 0.879834 17.622928 23.759859 0.000000 46.392084 0.000000 5.529252 0.354702 0.234438 1.859765 
500.00 1133.15 100.131553 2.845657 0.940564 18.173656 23.622303 0.000000 46.795845 0.000000 5.068268 0.557454 0.251975 1.875829 
500.00 1123.15 100.116921 2.227407 0.989391 18.711037 23.488639 0.000000 47.167307 0.000000 4.634964 0.739802 0.267844 1.890530 
500.00 1113.15 100.102595 1.650562 1.028436 19.232923 23.358973 0.000000 47.513288 0.000000 4.228256 0.903723 0.282375 1.904059 
500.00 1103.15 100.088598 1.107617 1.059431 19.738197 23.233331 0.000000 47.839774 0.000000 3.846716 1.051072 0.295866 1.916593 
500.00 1093.15 100.074930 0.591626 1.083798 20.226749 23.111670 0.000000 48.152069 0.000000 3.488512 1.183617 0.308593 1.928295 
500.00 1083.15 100.058893 0.000000 1.105707 20.780183 22.988500 0.000000 48.310038 0.201573 3.086194 1.322068 0.323195 1.941436 
500.00 1073.15 100.058992 0.000000 1.106249 20.845477 22.915844 0.000000 48.221895 0.285287 3.082445 1.337164 0.323195 1.941436 
500.00 1063.15 100.059086 0.000000 1.106341 20.907903 22.847140 0.000000 48.136711 0.365597 3.079011 1.351753 0.323195 1.941436 
500.00 1053.15 100.059175 0.000000 1.105972 20.967820 22.782140 0.000000 48.054303 0.442628 3.075870 1.365813 0.323195 1.941436 
500.00 1043.15 100.041314 0.000000 1.076343 21.028458 22.731923 0.671894 48.142386 0.000000 2.664905 1.487777 0.323195 1.914433 
500.00 1033.15 100.033755 0.000000 1.064967 21.087519 22.680027 0.954578 47.985809 0.000000 2.492828 1.541548 0.323195 1.903285 
