Title: Nd2

Phase Masses:
Pressure Temperature mass liquid_0 olivine_0 orthopyroxene_0 clinopyroxene_0 clinopyroxene_1 feldspar_0 feldspar_1 quartz spinel_0 rhm-oxide_0 water 
500.00 1143.15 25.171158 23.962472 0.000000 0.037875 0.046772 0.000000 0.654790 0.000000 0.000000 0.042817 0.000000 0.426432 
500.00 1133.15 24.393339 22.936149 0.000000 0.019111 0.073466 0.000000 0.486340 0.388268 0.000000 0.032603 0.006811 0.450590 
500.00 1123.15 23.392481 21.660098 0.000000 0.008564 0.096465 0.000000 0.275579 0.835169 0.000000 0.000360 0.037727 0.478519 
500.00 1113.15 22.143793 20.569953 0.000000 0.003774 0.087808 0.000000 0.239339 0.708019 0.000000 0.001392 0.031201 0.502308 
500.00 1103.15 21.078136 19.625875 0.000000 0.000000 0.080672 0.000000 0.210603 0.608770 0.000000 0.003240 0.026131 0.522845 
500.00 1093.15 20.153604 18.797558 0.000000 0.000000 0.070737 0.000000 0.190926 0.527979 0.000000 0.003261 0.022325 0.540819 
500.00 1083.15 19.343274 18.064342 0.000000 0.000000 0.063241 0.000000 0.173664 0.462796 0.000000 0.003323 0.019224 0.556683 
500.00 1073.15 18.625930 17.410090 0.000000 0.000000 0.056886 0.000000 0.159006 0.409179 0.000000 0.003278 0.016697 0.570795 
500.00 1063.15 17.985797 16.822220 0.000000 0.000000 0.051448 0.000000 0.146396 0.364530 0.000000 0.003156 0.014612 0.583434 
500.00 1053.15 17.410568 16.290756 0.000000 0.000000 0.046763 0.000000 0.135425 0.326948 0.000000 0.002977 0.012877 0.594822 
500.00 1043.15 16.890234 15.798289 0.015950 0.000000 0.032323 0.000000 0.139287 0.287765 0.000000 0.000000 0.010971 0.605649 
500.00 1033.15 16.408604 15.347934 0.018394 0.000000 0.026771 0.000000 0.131943 0.258882 0.000000 0.000000 0.009085 0.615594 
500.00 1023.15 15.967824 12.903098 0.031099 0.000000 0.074202 0.000000 0.310616 0.868151 1.091626 0.000000 0.015957 0.673074 
