Title: Nd2

Phase Volumes:
Pressure Temperature mass V liquid_0 olivine_0 orthopyroxene_0 clinopyroxene_0 clinopyroxene_1 feldspar_0 feldspar_1 quartz spinel_0 rhm-oxide_0 water 
500.00 1523.15 98.230426 38.644049 38.644049 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1513.15 98.230973 38.608290 38.608290 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1503.15 98.231553 38.572587 38.572587 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1493.15 98.232167 38.536941 38.536941 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1483.15 98.232818 38.501354 38.501354 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1473.15 98.233505 38.465826 38.465826 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1463.15 98.234230 38.430360 38.430360 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1453.15 98.234994 38.394956 38.394956 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1443.15 98.235799 38.359617 38.359617 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1433.15 98.236645 38.324344 38.324344 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1423.15 98.237421 38.288275 38.276827 0.011449 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1413.15 98.199121 38.224729 37.994782 0.229947 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1403.15 97.439063 37.765025 36.577080 0.006523 0.000000 1.181423 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1393.15 93.586175 36.355150 35.200227 0.000000 0.000000 1.147904 0.000000 0.000000 0.000000 0.000000 0.007020 0.000000 0.000000 
500.00 1383.15 89.821641 34.989441 33.166278 0.149769 0.000000 0.805556 0.000000 0.851002 0.000000 0.000000 0.016835 0.000000 0.000000 
500.00 1373.15 84.344450 32.982270 31.232582 0.175738 0.000000 0.629071 0.000000 0.919249 0.000000 0.000000 0.025630 0.000000 0.000000 
500.00 1363.15 79.141586 31.060449 29.312685 0.129111 0.000000 0.633894 0.000000 0.857440 0.000000 0.000000 0.127319 0.000000 0.000000 
500.00 1353.15 73.797624 29.148782 27.280421 0.059188 0.000000 0.679264 0.000000 0.842048 0.000000 0.000000 0.287861 0.000000 0.000000 
500.00 1343.15 67.829984 27.134508 25.495588 0.000000 0.000000 0.400941 0.199206 0.818042 0.000000 0.000000 0.220731 0.000000 0.000000 
500.00 1333.15 62.682288 25.373987 23.982546 0.000000 0.169330 0.278785 0.000000 0.771975 0.000000 0.000000 0.171350 0.000000 0.000000 
500.00 1323.15 58.379493 23.879001 22.694530 0.000000 0.153739 0.196804 0.000000 0.698988 0.000000 0.000000 0.134940 0.000000 0.000000 
500.00 1313.15 54.755826 22.604874 21.586322 0.000000 0.131259 0.148447 0.000000 0.629918 0.000000 0.000000 0.108928 0.000000 0.000000 
