Title: Nd2

Phase Volumes:
Pressure Temperature mass V liquid_0 olivine_0 orthopyroxene_0 clinopyroxene_0 clinopyroxene_1 feldspar_0 feldspar_1 quartz spinel_0 rhm-oxide_0 water 
500.00 1303.15 51.666881 21.507306 20.618010 0.000000 0.113020 0.114000 0.000000 0.572735 0.000000 0.000000 0.089540 0.000000 0.000000 
500.00 1293.15 48.991724 20.547342 19.761097 0.000000 0.098005 0.088894 0.000000 0.524660 0.000000 0.000000 0.074686 0.000000 0.000000 
500.00 1283.15 46.644472 19.697108 18.994602 0.000000 0.085496 0.070245 0.000000 0.483721 0.000000 0.000000 0.063044 0.000000 0.000000 
500.00 1273.15 44.562195 18.936048 18.302679 0.000000 0.074971 0.056169 0.000000 0.448486 0.000000 0.000000 0.053745 0.000000 0.000000 
500.00 1263.15 42.697838 18.512194 17.473001 0.000000 0.095283 0.023596 0.000000 0.557081 0.000000 0.000000 0.050596 0.000000 0.312637 
500.00 1253.15 40.600955 18.237446 16.527432 0.000000 0.107117 0.000000 0.000000 0.648012 0.000000 0.000000 0.046901 0.000000 0.907985 
500.00 1243.15 38.319721 17.829383 15.685960 0.000000 0.088492 0.000000 0.000000 0.584752 0.000000 0.000000 0.039250 0.000000 1.430930 
500.00 1233.15 36.304860 17.461817 14.931580 0.000000 0.073876 0.000000 0.000000 0.531005 0.000000 0.000000 0.033071 0.000000 1.892285 
500.00 1223.15 34.510787 17.126289 14.251339 0.000000 0.062155 0.000000 0.000000 0.484407 0.000000 0.000000 0.028022 0.000000 2.300367 
500.00 1213.15 32.903483 16.816871 13.635018 0.000000 0.052658 0.000000 0.000000 0.443514 0.000000 0.000000 0.023856 0.000000 2.661826 
500.00 1203.15 31.456148 16.529052 13.074375 0.000000 0.044892 0.000000 0.000000 0.407289 0.000000 0.000000 0.020393 0.000000 2.982104 
500.00 1193.15 30.147232 16.259333 12.562619 0.000000 0.038490 0.000000 0.000000 0.374981 0.000000 0.000000 0.017493 0.000000 3.265750 
500.00 1183.15 28.959165 16.000170 12.101618 0.000000 0.025282 0.013510 0.000000 0.333160 0.000000 0.000000 0.015249 0.000000 3.511351 
500.00 1173.15 27.892827 15.764144 11.674487 0.000000 0.023019 0.010112 0.000000 0.312622 0.000000 0.000000 0.013179 0.000000 3.730725 
500.00 1163.15 26.909659 15.535734 11.280205 0.000000 0.018424 0.011590 0.000000 0.289533 0.000000 0.000000 0.011494 0.000000 3.924489 
500.00 1153.15 26.006183 15.317010 10.914212 0.000000 0.014500 0.012909 0.000000 0.269594 0.000000 0.000000 0.010073 0.000000 4.095722 
500.00 1143.15 25.171158 15.106412 10.571905 0.000000 0.011115 0.014130 0.000000 0.252967 0.000000 0.000000 0.008873 0.000000 4.247422 
500.00 1133.15 24.393339 14.939164 10.127553 0.000000 0.005596 0.022181 0.000000 0.188144 0.154483 0.000000 0.006749 0.001470 4.432988 
500.00 1123.15 23.392481 14.700635 9.573102 0.000000 0.002498 0.029088 0.000000 0.106648 0.332268 0.000000 0.000074 0.008129 4.648828 
500.00 1113.15 22.143793 14.325742 9.099312 0.000000 0.001097 0.026444 0.000000 0.092654 0.281660 0.000000 0.000287 0.006711 4.817578 
500.00 1103.15 21.078136 13.992225 8.688878 0.000000 0.000000 0.024263 0.000000 0.081553 0.242159 0.000000 0.000666 0.005612 4.949094 
500.00 1093.15 20.153604 13.690170 8.328575 0.000000 0.000000 0.021245 0.000000 0.073951 0.210006 0.000000 0.000668 0.004788 5.050937 
500.00 1083.15 19.343274 13.412723 8.009457 0.000000 0.000000 0.018965 0.000000 0.067278 0.184064 0.000000 0.000680 0.004118 5.128162 
500.00 1073.15 18.625930 13.154864 7.724522 0.000000 0.000000 0.017031 0.000000 0.061609 0.162726 0.000000 0.000669 0.003572 5.184734 
500.00 1063.15 17.985797 12.912886 7.468313 0.000000 0.000000 0.015377 0.000000 0.056730 0.144958 0.000000 0.000643 0.003123 5.223743 
500.00 1053.15 17.410568 12.683924 7.236507 0.000000 0.000000 0.013950 0.000000 0.052483 0.130001 0.000000 0.000605 0.002749 5.247627 
500.00 1043.15 16.890234 12.469431 7.022309 0.003972 0.000000 0.009629 0.000000 0.053979 0.114411 0.000000 0.000000 0.002340 5.262790 
500.00 1033.15 16.408604 12.261640 6.826513 0.004563 0.000000 0.007966 0.000000 0.051131 0.102917 0.000000 0.000000 0.001937 5.266613 
500.00 1023.15 15.967824 12.332882 5.737058 0.007666 0.000000 0.022008 0.000000 0.120336 0.345095 0.430321 0.000000 0.003399 5.666998 
