Title: Hr

Phase Volumes:
Pressure Temperature mass V liquid_0 olivine_0 clinopyroxene_0 feldspar_0 water 
500.00 1523.15 100.115421 40.029664 39.566863 0.000000 0.000000 0.000000 0.462800 
500.00 1513.15 100.116071 39.926609 39.526469 0.000000 0.000000 0.000000 0.400140 
500.00 1503.15 100.116762 39.823441 39.486189 0.000000 0.000000 0.000000 0.337252 
500.00 1493.15 100.117495 39.720163 39.446027 0.000000 0.000000 0.000000 0.274137 
500.00 1483.15 100.118270 39.616779 39.405984 0.000000 0.000000 0.000000 0.210795 
500.00 1473.15 100.119089 39.513292 39.366065 0.000000 0.000000 0.000000 0.147228 
500.00 1463.15 100.119953 39.409707 39.326271 0.000000 0.000000 0.000000 0.083435 
500.00 1453.15 100.120865 39.306027 39.286607 0.000000 0.000000 0.000000 0.019420 
500.00 1443.15 100.121828 39.241236 39.241236 0.000000 0.000000 0.000000 0.000000 
500.00 1433.15 100.122842 39.193437 39.193437 0.000000 0.000000 0.000000 0.000000 
500.00 1423.15 100.123907 39.145741 39.145741 0.000000 0.000000 0.000000 0.000000 
500.00 1413.15 100.123960 39.089457 38.971387 0.118070 0.000000 0.000000 0.000000 
500.00 1403.15 99.734609 38.906011 38.656217 0.249794 0.000000 0.000000 0.000000 
500.00 1393.15 98.908885 38.591870 38.350326 0.241543 0.000000 0.000000 0.000000 
500.00 1383.15 98.110035 38.296409 37.283852 0.125864 0.744239 0.000000 0.142454 
500.00 1373.15 95.272108 37.799394 35.468328 0.020201 1.418422 0.000000 0.892443 
500.00 1363.15 90.572273 37.099465 33.136201 0.142660 1.140952 0.632728 2.046924 
