Title: Hr

Phase Masses:
Pressure Temperature mass liquid_0 olivine_0 orthopyroxene_0 clinopyroxene_0 feldspar_0 spinel_0 water 
500.00 1523.15 98.091659 98.091659 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1513.15 98.092293 98.092293 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1503.15 98.092967 98.092967 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1493.15 98.093681 98.093681 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1483.15 98.094437 98.094437 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1473.15 98.095235 98.095235 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1463.15 98.096077 98.096077 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1453.15 98.096965 98.096965 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1443.15 98.097900 98.097900 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1433.15 98.098884 98.098884 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1423.15 98.099918 98.099918 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1413.15 98.101409 94.666323 0.000000 0.000000 2.871531 0.563555 0.000000 0.000000 
500.00 1403.15 94.666655 87.196919 0.840665 0.000000 3.464959 3.164113 0.000000 0.000000 
500.00 1393.15 87.198095 80.801995 0.809722 0.000000 2.823587 2.762790 0.000000 0.000000 
500.00 1383.15 80.803329 75.323155 0.713305 0.000000 2.385271 2.381598 0.000000 0.000000 
500.00 1373.15 75.324633 70.572493 0.638426 0.000000 2.035808 2.077906 0.000000 0.000000 
500.00 1363.15 70.574105 66.408825 0.580266 0.000000 1.753005 1.832009 0.000000 0.000000 
500.00 1353.15 66.410561 62.723592 0.535552 0.000000 1.521680 1.629737 0.000000 0.000000 
500.00 1343.15 62.893956 50.760611 0.000000 0.000000 4.351981 2.513895 5.267470 0.000000 
500.00 1333.15 50.788844 47.219765 0.000000 0.000000 1.456082 1.297071 0.815926 0.000000 
500.00 1323.15 47.241475 44.070227 0.000000 0.277902 0.885155 1.377877 0.630313 0.000000 
500.00 1313.15 44.089885 40.320755 0.000000 0.640482 0.439456 2.072818 0.569176 0.047197 
500.00 1303.15 40.384819 36.555029 0.000000 0.680397 0.232706 2.300561 0.493804 0.122323 
500.00 1293.15 36.691141 33.478569 0.000000 0.535593 0.150812 1.953538 0.387272 0.185357 
500.00 1283.15 33.675538 30.911189 0.000000 0.428011 0.102224 1.684671 0.310226 0.239216 
500.00 1273.15 31.160428 28.733343 0.000000 0.345635 0.073532 1.469395 0.252657 0.285866 
500.00 1263.15 29.028042 26.862392 0.000000 0.281066 0.056989 1.292405 0.208507 0.326684 
500.00 1253.15 27.197000 25.238777 0.000000 0.229616 0.047847 1.144127 0.173951 0.362682 
500.00 1243.15 25.608677 23.818090 0.000000 0.188129 0.043163 1.018203 0.146461 0.394630 
500.00 1233.15 24.219383 22.566266 0.000000 0.154383 0.041099 0.910202 0.124301 0.423132 
500.00 1223.15 22.995618 21.456562 0.000000 0.126749 0.040505 0.816888 0.106240 0.448673 
