Title: Hr

Phase Masses:
Pressure Temperature mass liquid_0 olivine_0 clinopyroxene_0 clinopyroxene_1 feldspar_0 
500.00 1523.15 98.074491 98.074491 0.000000 0.000000 0.000000 0.000000 
500.00 1513.15 98.075154 98.075154 0.000000 0.000000 0.000000 0.000000 
500.00 1503.15 98.075858 98.075858 0.000000 0.000000 0.000000 0.000000 
500.00 1493.15 98.076604 98.076604 0.000000 0.000000 0.000000 0.000000 
500.00 1483.15 98.076993 96.872844 0.000000 0.000000 0.000000 1.204149 
500.00 1473.15 98.076429 92.979192 0.000000 0.000000 0.000000 5.097237 
500.00 1463.15 98.075813 89.271904 0.000000 0.000000 0.000000 8.803909 
500.00 1453.15 98.068908 81.664042 1.943666 0.000000 0.000000 14.461201 
500.00 1443.15 98.064317 66.953373 0.000000 8.041957 1.721976 21.347011 
500.00 1433.15 98.057370 55.965423 0.000000 11.214931 4.162374 26.714642 
500.00 1423.15 98.050479 46.852717 0.000000 13.825333 6.079097 31.293331 
500.00 1413.15 98.042902 38.882941 0.000000 16.069265 7.629610 35.461086 
500.00 1403.15 98.033543 31.544400 0.000000 18.081637 8.923530 39.483976 
500.00 1393.15 98.024477 25.577315 0.000000 19.710948 10.122067 42.614146 
500.00 1383.15 98.020639 21.915034 0.000000 20.769958 11.268272 44.067376 
500.00 1373.15 98.020647 19.434082 0.000000 21.573820 12.330081 44.682664 
500.00 1363.15 98.023045 17.428267 0.000000 22.337166 13.329169 44.928444 
500.00 1353.15 98.027313 15.590232 0.000000 23.175911 14.292948 44.968223 
500.00 1343.15 98.030284 13.352985 0.481722 23.873899 15.296160 45.025518 
