Title: Nd1

Phase Masses:
Pressure Temperature mass liquid_0 olivine_0 orthopyroxene_0 clinopyroxene_0 clinopyroxene_1 feldspar_0 feldspar_1 spinel_0 rhm-oxide_0 whitlockite 
500.00 1523.15 97.234093 97.234093 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1513.15 97.234610 97.234610 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1503.15 97.235160 97.235160 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1493.15 97.235742 97.235742 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1483.15 97.236359 97.236359 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1473.15 97.237010 97.237010 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1463.15 97.237697 97.237697 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1453.15 97.236774 93.258747 0.411380 0.000000 1.053820 0.000000 2.512826 0.000000 0.000000 0.000000 0.000000 
500.00 1443.15 97.233172 81.759387 1.355922 0.000000 6.052093 0.000000 8.043646 0.000000 0.022125 0.000000 0.000000 
500.00 1433.15 97.230459 71.805719 1.877405 0.000000 10.620633 0.000000 12.857303 0.000000 0.069400 0.000000 0.000000 
500.00 1423.15 97.233284 60.776413 0.044991 0.000000 11.262844 7.238841 17.749044 0.000000 0.161150 0.000000 0.000000 
500.00 1413.15 97.237445 52.440525 0.000000 0.000000 12.923869 9.718083 21.791765 0.000000 0.363204 0.000000 0.000000 
500.00 1403.15 97.257753 43.983250 0.000000 0.000000 14.803110 11.605245 25.784148 0.000000 1.082000 0.000000 0.000000 
500.00 1393.15 97.290036 35.643144 0.000000 0.000000 16.733400 12.768505 29.878864 0.000000 2.266122 0.000000 0.000000 
500.00 1383.15 97.308246 29.357795 0.000000 0.000000 18.045846 13.522080 33.311784 0.000000 3.070741 0.000000 0.000000 
500.00 1373.15 97.315375 24.723481 0.000000 0.000000 18.905309 14.085266 36.058298 0.000000 3.543022 0.000000 0.000000 
500.00 1363.15 97.316167 21.220894 0.000000 0.000000 19.475848 14.548459 38.256646 0.000000 3.814319 0.000000 0.000000 
500.00 1353.15 97.313368 18.510582 0.000000 0.000000 19.852765 14.954638 40.030825 0.000000 3.964558 0.000000 0.000000 
500.00 1343.15 97.308540 16.366987 0.000000 0.000000 20.095966 15.324580 41.480281 0.000000 4.040727 0.000000 0.000000 
500.00 1333.15 97.302586 14.635735 0.000000 0.000000 20.245633 15.668413 42.681920 0.000000 4.070885 0.000000 0.000000 
500.00 1323.15 97.296034 13.209412 0.000000 0.000000 20.329497 15.991358 43.693751 0.000000 4.072016 0.000000 0.000000 
500.00 1313.15 97.285756 11.945445 0.226286 0.000000 20.391501 16.084574 44.631737 0.000000 4.006212 0.000000 0.000000 
500.00 1303.15 97.276785 10.881179 0.336580 0.000000 20.398925 16.292339 45.420075 0.000000 3.947688 0.000000 0.000000 
500.00 1293.15 97.267946 9.955309 0.427086 0.000000 20.376700 16.514601 46.111667 0.000000 3.882583 0.000000 0.000000 
500.00 1283.15 97.256935 8.858363 0.497927 0.000000 20.287950 16.853927 46.314928 0.661137 3.782702 0.000000 0.000000 
500.00 1273.15 97.264560 8.376103 0.491896 13.532780 23.102076 0.000000 46.388670 1.310059 4.062977 0.000000 0.000000 
500.00 1263.15 97.252153 7.375166 0.544747 14.064489 22.862353 0.000000 46.296645 2.172733 3.922464 0.000000 0.013555 
500.00 1253.15 97.239962 6.487524 0.592037 14.577810 22.635358 0.000000 46.206493 2.921611 3.778732 0.000000 0.040397 
500.00 1243.15 97.228483 5.732557 0.630692 15.065774 22.421377 0.000000 46.119266 3.557542 3.637961 0.000000 0.063315 
500.00 1233.15 97.214503 4.840220 0.666524 15.648297 22.244407 0.000000 46.059177 4.230951 3.318419 0.114508 0.092000 
500.00 1223.15 97.191871 3.442274 0.703898 16.543340 22.132761 0.000000 46.073299 5.117797 2.527142 0.512021 0.139340 
500.00 1213.15 97.169938 2.263539 0.728832 17.396526 22.012300 0.000000 46.088629 5.840785 1.814259 0.846307 0.178759 
500.00 1203.15 97.150296 1.325167 0.740817 18.154282 21.879011 0.000000 46.101359 6.406821 1.224933 1.107954 0.209953 
500.00 1193.15 97.134737 0.652304 0.739438 18.759374 21.729315 0.000000 46.108657 6.819861 0.805336 1.288110 0.232342 
500.00 1183.15 97.123500 0.208617 0.727698 19.208017 21.567466 0.000000 46.110298 7.109628 0.545946 1.398589 0.247242 
500.00 1173.15 97.117513 0.000000 0.719947 19.478852 21.418303 0.000000 46.077567 7.286117 0.437139 1.445228 0.254362 
500.00 1163.15 97.116675 0.000000 0.729885 19.581909 21.307266 0.000000 45.986147 7.371221 0.444058 1.441827 0.254362 
500.00 1153.15 97.115845 0.000000 0.739490 19.676688 21.204615 0.000000 45.899496 7.451526 0.451162 1.438505 0.254362 
500.00 1143.15 97.115024 0.000000 0.748744 19.764214 21.109364 0.000000 45.817378 7.527264 0.458450 1.435247 0.254362 
500.00 1133.15 97.114213 0.000000 0.757624 19.845359 21.020687 0.000000 45.739569 7.598650 0.465918 1.432043 0.254362 
