Title: Hr

Phase Volumes:
Pressure Temperature mass V liquid_0 olivine_0 clinopyroxene_0 clinopyroxene_1 clinopyroxene_2 clinopyroxene_3 clinopyroxene_4 clinopyroxene_5 clinopyroxene_6 feldspar_0 spinel_0 rhm-oxide_0 whitlockite 
500.00 1523.15 98.192143 36.279179 36.279179 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1513.15 98.192784 36.255837 36.255837 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1503.15 98.193464 36.232527 36.232527 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1493.15 98.194184 36.209250 36.209250 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1483.15 98.194912 36.183838 36.135078 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.048760 0.000000 0.000000 0.000000 
500.00 1473.15 98.194642 36.096118 34.609948 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.486170 0.000000 0.000000 0.000000 
500.00 1463.15 98.194341 36.010462 33.158943 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 2.851519 0.000000 0.000000 0.000000 
500.00 1453.15 98.190975 35.736945 29.999700 0.138103 0.927893 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 4.671249 0.000000 0.000000 0.000000 
500.00 1443.15 98.184850 35.206622 24.652693 0.000000 1.901037 1.479333 0.000000 0.000000 0.000000 0.000000 0.000000 7.173559 0.000000 0.000000 0.000000 
500.00 1433.15 98.178819 34.808575 20.576268 0.000000 2.633589 2.446944 0.000000 0.000000 0.000000 0.000000 0.000000 9.151774 0.000000 0.000000 0.000000 
500.00 1423.15 98.173156 34.478698 17.233201 0.000000 3.199369 3.245606 0.000000 0.000000 0.000000 0.000000 0.000000 10.800523 0.000000 0.000000 0.000000 
500.00 1413.15 98.167520 34.195164 14.386102 0.000000 3.649889 3.929972 0.000000 0.000000 0.000000 0.000000 0.000000 12.229200 0.000000 0.000000 0.000000 
500.00 1403.15 98.161387 33.943322 11.869785 0.000000 4.012899 4.538501 0.000000 0.000000 0.000000 0.000000 0.000000 13.522137 0.000000 0.000000 0.000000 
500.00 1393.15 98.153819 33.712116 9.554148 0.000000 4.301149 5.103153 0.000000 0.000000 0.000000 0.000000 0.000000 14.753666 0.000000 0.000000 0.000000 
500.00 1383.15 98.144359 33.500036 7.443477 0.000000 4.531188 5.639164 0.000000 0.000000 0.000000 0.000000 0.000000 15.886207 0.000000 0.000000 0.000000 
500.00 1373.15 98.137194 33.332651 5.903460 0.000000 4.752198 6.082614 0.000000 0.000000 0.000000 0.000000 0.000000 16.594378 0.000000 0.000000 0.000000 
500.00 1363.15 98.134628 33.208747 4.905286 0.000000 4.977098 6.418771 0.000000 0.000000 0.000000 0.000000 0.000000 16.907591 0.000000 0.000000 0.000000 
500.00 1353.15 98.135136 33.106844 4.172519 0.000000 5.196017 6.705625 0.000000 0.000000 0.000000 0.000000 0.000000 17.032684 0.000000 0.000000 0.000000 
500.00 1343.15 98.137594 33.014630 3.560310 0.000000 5.406293 6.984536 0.000000 0.000000 0.000000 0.000000 0.000000 17.063491 0.000000 0.000000 0.000000 
500.00 1333.15 98.141310 32.925945 3.000519 0.000000 5.607307 7.279262 0.000000 0.000000 0.000000 0.000000 0.000000 17.038856 0.000000 0.000000 0.000000 
500.00 1323.15 98.157936 32.788577 1.658790 0.000000 6.171015 7.409238 0.000000 0.000000 0.000000 0.000000 0.000000 17.256968 0.000000 0.292567 0.000000 
500.00 1313.15 98.173302 32.631827 0.254237 0.255852 7.052861 7.252720 0.000000 0.000000 0.000000 0.000000 0.000000 17.306864 0.000454 0.508839 0.000000 
500.00 1303.15 98.173313 32.621159 0.253021 0.255743 7.049975 7.249761 0.000000 0.000000 0.000000 0.000000 0.000000 17.302578 0.000454 0.508670 0.000957 
500.00 1293.15 98.173352 32.610646 0.252883 0.255635 7.047099 7.246813 0.000000 0.000000 0.000000 0.000000 0.000000 17.298304 0.000454 0.508500 0.000957 
