Title: Hr

Phase Masses:
Pressure Temperature mass liquid_0 olivine_0 clinopyroxene_0 clinopyroxene_1 clinopyroxene_2 clinopyroxene_3 clinopyroxene_4 clinopyroxene_5 clinopyroxene_6 feldspar_0 spinel_0 rhm-oxide_0 whitlockite 
500.00 1523.15 98.192143 98.192143 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1513.15 98.192784 98.192784 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1503.15 98.193464 98.193464 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1493.15 98.194184 98.194184 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1483.15 98.194912 98.064838 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.130074 0.000000 0.000000 0.000000 
500.00 1473.15 98.194642 94.233834 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 3.960808 0.000000 0.000000 0.000000 
500.00 1463.15 98.194341 90.602036 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 7.592305 0.000000 0.000000 0.000000 
500.00 1453.15 98.190975 82.312815 0.456215 3.001542 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 12.420404 0.000000 0.000000 0.000000 
500.00 1443.15 98.184850 68.155853 0.000000 6.168975 4.819540 0.000000 0.000000 0.000000 0.000000 0.000000 19.040483 0.000000 0.000000 0.000000 
500.00 1433.15 98.178819 57.349530 0.000000 8.572983 8.004393 0.000000 0.000000 0.000000 0.000000 0.000000 24.251912 0.000000 0.000000 0.000000 
500.00 1423.15 98.173156 48.489184 0.000000 10.446876 10.659569 0.000000 0.000000 0.000000 0.000000 0.000000 28.577527 0.000000 0.000000 0.000000 
500.00 1413.15 98.167520 40.943872 0.000000 11.954003 12.958436 0.000000 0.000000 0.000000 0.000000 0.000000 32.311209 0.000000 0.000000 0.000000 
500.00 1403.15 98.161387 34.278024 0.000000 13.181422 15.023536 0.000000 0.000000 0.000000 0.000000 0.000000 35.678405 0.000000 0.000000 0.000000 
500.00 1393.15 98.153819 28.151305 0.000000 14.167419 16.957765 0.000000 0.000000 0.000000 0.000000 0.000000 38.877330 0.000000 0.000000 0.000000 
500.00 1383.15 98.144359 22.551864 0.000000 14.964133 18.810411 0.000000 0.000000 0.000000 0.000000 0.000000 41.817951 0.000000 0.000000 0.000000 
500.00 1373.15 98.137194 18.374543 0.000000 15.735755 20.364136 0.000000 0.000000 0.000000 0.000000 0.000000 43.662760 0.000000 0.000000 0.000000 
500.00 1363.15 98.134628 15.562857 0.000000 16.526221 21.561961 0.000000 0.000000 0.000000 0.000000 0.000000 44.483589 0.000000 0.000000 0.000000 
500.00 1353.15 98.135136 13.420986 0.000000 17.303941 22.596267 0.000000 0.000000 0.000000 0.000000 0.000000 44.813942 0.000000 0.000000 0.000000 
500.00 1343.15 98.137594 11.571692 0.000000 18.062189 23.606925 0.000000 0.000000 0.000000 0.000000 0.000000 44.896788 0.000000 0.000000 0.000000 
500.00 1333.15 98.141310 9.832241 0.000000 18.801088 24.675055 0.000000 0.000000 0.000000 0.000000 0.000000 44.832927 0.000000 0.000000 0.000000 
500.00 1323.15 98.157936 5.500075 0.000000 20.687044 25.192390 0.000000 0.000000 0.000000 0.000000 0.000000 45.420578 0.000000 1.357849 0.000000 
500.00 1313.15 98.173302 0.813233 0.947876 23.709844 24.760621 0.000000 0.000000 0.000000 0.000000 0.000000 45.556396 0.002106 2.383227 0.000000 
500.00 1303.15 98.173313 0.810201 0.947876 23.709844 24.760621 0.000000 0.000000 0.000000 0.000000 0.000000 45.556396 0.002106 2.383227 0.003042 
500.00 1293.15 98.173352 0.810240 0.947876 23.709844 24.760621 0.000000 0.000000 0.000000 0.000000 0.000000 45.556396 0.002106 2.383227 0.003042 
