Title: Hr

Phase Masses:
Pressure Temperature mass liquid_0 olivine_0 orthopyroxene_0 clinopyroxene_0 clinopyroxene_1 feldspar_0 feldspar_1 spinel_0 rhm-oxide_0 apatite water 
500.00 1523.15 100.113279 99.933458 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.179821 
500.00 1513.15 100.113924 99.938249 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.175675 
500.00 1503.15 100.114609 99.943157 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.171452 
500.00 1493.15 100.115335 99.948185 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.167150 
500.00 1483.15 100.116103 99.953336 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.162767 
500.00 1473.15 100.116915 99.958614 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.158300 
500.00 1463.15 100.117772 99.964022 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.153749 
500.00 1453.15 100.118675 99.969564 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.149111 
500.00 1443.15 100.119626 99.975243 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.144383 
500.00 1433.15 100.120627 99.981064 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.139564 
500.00 1423.15 100.121680 99.987030 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.134650 
500.00 1413.15 100.122785 99.993145 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.129640 
500.00 1403.15 100.121824 99.261090 0.732521 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.128213 
500.00 1393.15 100.120489 98.444843 1.548558 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.127088 
500.00 1383.15 100.119037 97.641100 2.352148 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.125789 
500.00 1373.15 100.121880 91.699149 2.256721 0.000000 5.962197 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.203813 
500.00 1363.15 100.124690 87.161506 2.392646 0.000000 10.310063 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.260475 
