Title: Hr

Phase Volumes:
Pressure Temperature mass V liquid_0 olivine_0 orthopyroxene_0 clinopyroxene_0 clinopyroxene_1 feldspar_0 feldspar_1 spinel_0 rhm-oxide_0 apatite water 
500.00 1523.15 100.113279 42.146039 39.598221 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 2.547818 
500.00 1513.15 100.113924 42.028818 39.557988 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 2.470829 
500.00 1503.15 100.114609 41.911453 39.517868 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 2.393585 
500.00 1493.15 100.115335 41.793948 39.477865 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 2.316083 
500.00 1483.15 100.116103 41.676304 39.437980 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 2.238324 
500.00 1473.15 100.116915 41.558526 39.398218 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 2.160308 
500.00 1463.15 100.117772 41.440614 39.358580 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 2.082035 
500.00 1453.15 100.118675 41.322574 39.319070 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 2.003504 
500.00 1443.15 100.119626 41.204409 39.279690 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.924718 
500.00 1433.15 100.120627 41.086123 39.240445 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.845678 
500.00 1423.15 100.121680 40.967722 39.201337 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.766385 
500.00 1413.15 100.122785 40.849210 39.162369 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.686841 
500.00 1403.15 100.121824 40.755570 38.879588 0.221428 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.654553 
500.00 1393.15 100.120489 40.663932 38.570747 0.466783 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.626402 
500.00 1383.15 100.119037 40.571088 38.267894 0.706950 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.596244 
500.00 1373.15 100.121880 41.066611 36.001799 0.674575 0.000000 1.825907 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 2.564331 
500.00 1363.15 100.124690 41.394953 34.287188 0.711467 0.000000 3.147282 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 3.249017 
500.00 1353.15 100.121568 42.617918 31.154839 1.029605 0.000000 4.040989 0.000000 1.423647 0.000000 0.000000 0.000000 0.000000 4.968838 
500.00 1343.15 100.254064 44.733166 25.615087 1.031779 0.000000 5.679755 0.000000 3.635888 0.000000 0.955921 0.000000 0.000000 7.814736 
500.00 1333.15 100.296576 46.351391 21.693901 0.701561 0.705691 6.424628 0.000000 5.499243 0.000000 1.282521 0.000000 0.000000 10.043847 
500.00 1323.15 100.329920 48.038551 17.676328 0.000000 2.267442 6.651243 0.000000 7.513882 0.000000 1.531895 0.000000 0.000000 12.397761 
500.00 1313.15 100.336848 49.104980 15.188539 0.000000 2.701276 6.722743 0.000000 9.006846 0.000000 1.638637 0.000000 0.000000 13.846939 
500.00 1303.15 100.337826 49.963375 13.137075 0.000000 3.057496 6.758579 0.000000 10.275855 0.000000 1.705110 0.000000 0.000000 15.029259 
500.00 1293.15 100.334712 50.644615 11.435643 0.000000 3.355901 6.774814 0.000000 11.348863 0.000000 1.743165 0.000000 0.000000 15.986229 
500.00 1283.15 100.328779 51.172562 10.024037 0.000000 3.610989 6.778697 0.000000 12.248972 0.000000 1.760839 0.000000 0.000000 16.749027 
500.00 1273.15 100.320946 51.569273 8.853377 0.000000 3.833476 6.773591 0.000000 12.999132 0.000000 1.763944 0.000000 0.000000 17.345753 
500.00 1263.15 100.311892 51.855665 7.881425 0.000000 4.031150 6.761381 0.000000 13.622142 0.000000 1.756766 0.000000 0.000000 17.802801 
500.00 1253.15 100.302109 52.050980 7.071478 0.000000 4.209600 6.743481 0.000000 14.139579 0.000000 1.742446 0.000000 0.000000 18.144397 
500.00 1243.15 100.291940 52.172035 6.392475 0.000000 4.372824 6.721137 0.000000 14.570630 0.000000 1.723236 0.000000 0.000000 18.391733 
500.00 1233.15 100.281201 52.237250 5.798987 0.000000 4.528328 6.694213 0.000000 14.937665 0.000000 1.699771 0.000000 0.008434 18.569852 
500.00 1223.15 100.270351 52.253420 5.288453 0.000000 4.674508 6.664524 0.000000 15.247740 0.000000 1.673722 0.000000 0.018516 18.685957 
500.00 1213.15 100.259666 52.228257 4.851774 0.000000 4.811202 6.633465 0.000000 15.509467 0.000000 1.646250 0.000000 0.026938 18.749161 
500.00 1203.15 100.249199 52.169496 4.474578 0.000000 4.939898 6.601753 0.000000 15.731977 0.000000 1.617852 0.000000 0.034039 18.769399 
500.00 1193.15 100.238979 52.083153 4.145651 0.000000 5.061804 6.569962 0.000000 15.922396 0.000000 1.588832 0.000000 0.040076 18.754433 
500.00 1183.15 100.229015 51.973911 3.856200 0.000000 5.177942 6.538550 0.000000 16.086287 0.000000 1.559353 0.000000 0.045241 18.710337 
500.00 1173.15 100.219304 51.845432 3.599281 0.000000 5.289208 6.507885 0.000000 16.228002 0.000000 1.529477 0.000000 0.049684 18.641895 
500.00 1163.15 100.201036 51.783484 3.210195 0.064294 5.412360 6.465585 0.000000 16.440108 0.000000 1.427043 0.038052 0.059044 18.666802 
500.00 1153.15 100.183383 51.704719 2.814949 0.099557 5.571939 6.426861 0.000000 16.647281 0.000000 1.300686 0.097645 0.067541 18.678262 
