Title: Hr

Phase Volumes:
Pressure Temperature mass V liquid_0 olivine_0 clinopyroxene_0 clinopyroxene_1 feldspar_0 feldspar_1 quartz spinel_0 rhm-oxide_0 whitlockite 
500.00 1523.15 98.131533 36.345441 36.345441 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1513.15 98.132185 36.322567 36.322567 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1503.15 98.132876 36.299725 36.299725 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1493.15 98.133609 36.276917 36.276917 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1483.15 98.134385 36.254143 36.254143 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1473.15 98.135163 36.229081 36.177586 0.000000 0.000000 0.000000 0.051495 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1463.15 98.134868 36.144491 34.733600 0.000000 0.000000 0.000000 1.410892 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1453.15 98.133957 36.029472 33.026160 0.000000 0.164118 0.000000 2.839195 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1443.15 98.126560 35.522618 27.738608 0.000000 1.525175 0.886328 5.372508 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1433.15 98.120006 35.113872 23.567914 0.000000 2.531401 1.660599 7.353957 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1423.15 98.114039 34.776250 20.174531 0.000000 3.362260 2.269641 8.969818 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1413.15 98.108519 34.487965 17.326932 0.000000 4.073135 2.769388 10.318511 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1403.15 98.103351 34.235395 14.879945 0.000000 4.700667 3.193488 11.461295 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1393.15 98.098462 34.009821 12.740069 0.000000 5.269771 3.562682 12.437299 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1383.15 98.093794 33.805819 10.848220 0.000000 5.796862 3.889768 13.270970 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1373.15 98.089301 33.620435 9.170919 0.000000 6.291134 4.182484 13.975897 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1363.15 98.084981 33.452644 7.694665 0.000000 6.755045 4.445656 14.557278 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1353.15 98.212640 33.409829 6.031493 0.000000 5.686477 5.914392 14.666067 0.000000 0.000000 1.111399 0.000000 0.000000 
500.00 1343.15 98.205439 33.341131 5.422681 0.000000 5.809374 6.006407 14.974106 0.000000 0.000000 1.128563 0.000000 0.000000 
