Title: Nd2

Phase Masses:
Pressure Temperature mass liquid_0 olivine_0 orthopyroxene_0 clinopyroxene_0 feldspar_0 feldspar_1 quartz spinel_0 rhm-oxide_0 apatite water 
500.00 1143.15 100.179358 13.987864 0.000000 14.618964 20.665517 43.394074 0.266666 0.000000 5.676089 0.000000 0.000000 1.570185 
500.00 1133.15 100.165529 12.744591 0.000000 15.128527 20.553022 43.556368 1.111077 0.000000 5.475700 0.000000 0.000000 1.596245 
500.00 1123.15 100.149805 11.479759 0.000000 15.716451 20.434290 43.727803 1.921231 0.000000 5.144630 0.086844 0.016339 1.622458 
500.00 1113.15 100.122506 9.767895 0.191552 16.494243 20.266668 44.053943 2.845124 0.000000 4.392470 0.389302 0.061282 1.660025 
500.00 1103.15 100.095896 8.276546 0.295328 17.321914 20.123518 44.312695 3.634972 0.000000 3.679729 0.660692 0.098144 1.692358 
500.00 1093.15 100.068104 6.912275 0.385659 18.177234 19.993813 44.538939 4.327894 0.000000 2.967697 0.911042 0.131431 1.722119 
500.00 1083.15 100.039418 5.660053 0.463898 19.049890 19.876084 44.737417 4.937382 0.000000 2.262458 1.140964 0.161673 1.749600 
500.00 1073.15 100.010768 4.528797 0.529364 19.911936 19.768214 44.909701 5.466647 0.000000 1.585971 1.346776 0.188800 1.774562 
500.00 1063.15 99.984589 3.571796 0.577823 20.693201 19.666428 45.052671 5.903014 0.000000 0.995907 1.516373 0.211608 1.795768 
500.00 1053.15 99.964806 2.877221 0.602886 21.282841 19.565344 45.160342 6.223757 0.000000 0.581555 1.631742 0.227937 1.811181 
500.00 1043.15 99.952385 2.439444 0.606969 21.656621 19.463004 45.236779 6.440550 0.000000 0.354860 1.695408 0.237877 1.820873 
500.00 1033.15 99.944478 2.153653 0.600194 21.898737 19.361876 45.294843 6.596007 0.000000 0.238125 1.729863 0.244004 1.827176 
500.00 1023.15 99.938794 1.944705 0.589159 22.075933 19.263942 45.343096 6.718668 0.000000 0.172670 1.750666 0.248182 1.831773 
500.00 1013.15 99.934586 0.000000 0.692968 22.176656 19.046299 45.630724 7.352426 0.944094 0.141228 1.773445 0.300563 1.876184 
500.00 1003.15 99.932869 0.000000 0.692814 22.241282 19.001213 45.598446 7.384834 0.929504 0.136076 1.771953 0.300563 1.876184 
