Title: Nd2

Phase Volumes:
Pressure Temperature mass V liquid_0 olivine_0 orthopyroxene_0 clinopyroxene_0 feldspar_0 feldspar_1 quartz spinel_0 rhm-oxide_0 apatite water 
500.00 1323.15 100.215893 42.711753 27.102052 0.773040 0.000000 6.122158 3.149050 0.000000 0.000000 0.787403 0.000000 0.000000 4.778052 
500.00 1313.15 100.244060 44.077125 23.995979 0.352463 0.868957 6.427029 4.789733 0.000000 0.000000 0.990248 0.000000 0.000000 6.652716 
500.00 1303.15 100.262237 45.326970 21.181234 0.000000 1.787531 6.453933 6.407074 0.000000 0.000000 1.133076 0.000000 0.000000 8.364122 
500.00 1293.15 100.267961 46.294895 19.051091 0.000000 2.131436 6.442052 7.793400 0.000000 0.000000 1.213120 0.000000 0.000000 9.663797 
500.00 1283.15 100.270124 47.129076 17.178278 0.000000 2.418888 6.427566 9.039109 0.000000 0.000000 1.269740 0.000000 0.000000 10.795496 
500.00 1273.15 100.269561 47.840216 15.530365 0.000000 2.661211 6.415353 10.151667 0.000000 0.000000 1.308034 0.000000 0.000000 11.773586 
500.00 1263.15 100.266897 48.436195 14.085222 0.000000 2.867840 6.406354 11.136743 0.000000 0.000000 1.331835 0.000000 0.000000 12.608201 
500.00 1253.15 100.262622 48.925088 12.824048 0.000000 3.046647 6.399613 12.001235 0.000000 0.000000 1.344205 0.000000 0.000000 13.309342 
500.00 1243.15 100.257137 49.316203 11.728338 0.000000 3.204035 6.393581 12.754199 0.000000 0.000000 1.347654 0.000000 0.000000 13.888397 
500.00 1233.15 100.250768 49.619973 10.779159 0.000000 3.345042 6.386842 13.406542 0.000000 0.000000 1.344245 0.000000 0.000000 14.358143 
500.00 1223.15 100.243776 49.847309 9.957584 0.000000 3.473505 6.378410 13.970155 0.000000 0.000000 1.335638 0.000000 0.000000 14.732016 
500.00 1213.15 100.236363 50.008877 9.245486 0.000000 3.592281 6.367773 14.456979 0.000000 0.000000 1.323135 0.000000 0.000000 15.023222 
500.00 1203.15 100.228682 50.114539 8.626224 0.000000 3.703475 6.354800 14.878269 0.000000 0.000000 1.307729 0.000000 0.000000 15.244043 
500.00 1193.15 100.220843 50.173031 8.085045 0.000000 3.808642 6.339622 15.244150 0.000000 0.000000 1.290153 0.000000 0.000000 15.405420 
500.00 1183.15 100.212921 50.191854 7.609213 0.000000 3.908956 6.322523 15.563434 0.000000 0.000000 1.270932 0.000000 0.000000 15.516797 
500.00 1173.15 100.204967 50.177314 7.187929 0.000000 4.005330 6.303856 15.843615 0.000000 0.000000 1.250426 0.000000 0.000000 15.586157 
500.00 1163.15 100.197009 50.134634 6.812142 0.000000 4.098507 6.283996 16.090971 0.000000 0.000000 1.228867 0.000000 0.000000 15.620151 
500.00 1153.15 100.189062 50.068102 6.474305 0.000000 4.189118 6.263305 16.310706 0.000000 0.000000 1.206390 0.000000 0.000000 15.624278 
500.00 1143.15 100.179358 50.007057 6.081409 0.000000 4.293528 6.236259 16.472435 0.106156 0.000000 1.177641 0.000000 0.000000 15.639628 
500.00 1133.15 100.165529 49.977492 5.539697 0.000000 4.432931 6.196312 16.527157 0.442243 0.000000 1.135011 0.000000 0.000000 15.704141 
500.00 1123.15 100.149805 49.937672 4.989851 0.000000 4.592818 6.154428 16.584824 0.764597 0.000000 1.064878 0.018716 0.005335 15.762224 
500.00 1113.15 100.122506 49.962704 4.252751 0.049873 4.800604 6.096350 16.699311 1.132103 0.000000 0.906811 0.083773 0.020011 15.921118 
500.00 1103.15 100.095896 49.937995 3.607674 0.076371 5.021882 6.045997 16.788719 1.446153 0.000000 0.757820 0.141969 0.032047 16.019362 
500.00 1093.15 100.068104 49.884307 3.016444 0.099109 5.249622 5.999700 16.866073 1.721533 0.000000 0.609795 0.195514 0.042917 16.083601 
500.00 1083.15 100.039418 49.804795 2.472711 0.118534 5.481037 5.957151 16.933172 1.963624 0.000000 0.463894 0.244577 0.052792 16.117303 
500.00 1073.15 100.010768 49.699790 1.980577 0.134564 5.708684 5.918038 16.990645 2.173716 0.000000 0.324534 0.288408 0.061649 16.118976 
500.00 1063.15 99.984589 49.565207 1.563584 0.146228 5.913944 5.881998 17.037408 2.346784 0.000000 0.203400 0.324461 0.069097 16.078302 
500.00 1053.15 99.964806 49.394387 1.260645 0.152031 6.067511 5.848558 17.071334 2.473816 0.000000 0.118555 0.348939 0.074429 15.978569 
500.00 1043.15 99.952385 49.190950 1.069676 0.152647 6.163223 5.817212 17.093935 2.559475 0.000000 0.072211 0.362407 0.077675 15.822488 
500.00 1033.15 99.944478 48.967347 0.945021 0.150608 6.223672 5.787631 17.109889 2.620717 0.000000 0.048371 0.369658 0.079676 15.632104 
500.00 1023.15 99.938794 48.731739 0.853870 0.147548 6.266682 5.759627 17.122301 2.668891 0.000000 0.035015 0.374001 0.081040 15.422764 
500.00 1013.15 99.934586 48.718562 0.000000 0.173300 6.290233 5.696702 17.221839 2.919983 0.372164 0.028598 0.378775 0.098144 15.538824 
500.00 1003.15 99.932869 48.445048 0.000000 0.173040 6.302813 5.684372 17.204595 2.932208 0.366413 0.027522 0.378323 0.098144 15.277619 
