Title: Mk

Phase Volumes:
Pressure Temperature mass V liquid_0 olivine_0 clinopyroxene_0 clinopyroxene_1 feldspar_0 spinel_0 rhm-oxide_0 whitlockite 
500.00 1523.15 98.152314 36.251277 36.251277 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1513.15 98.152945 36.228005 36.228005 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1503.15 98.153614 36.204765 36.204765 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1493.15 98.154324 36.181558 36.181558 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1483.15 98.154212 36.103785 34.869646 0.000000 0.000000 0.000000 1.234139 0.000000 0.000000 0.000000 
500.00 1473.15 94.861488 34.786089 33.409386 0.000000 0.000000 0.000000 1.376703 0.000000 0.000000 0.000000 
500.00 1463.15 91.191703 33.330505 32.054263 0.000000 0.000000 0.000000 1.276242 0.000000 0.000000 0.000000 
500.00 1453.15 87.789437 31.704367 28.333923 0.099430 1.363667 0.065851 1.841497 0.000000 0.000000 0.000000 
500.00 1443.15 77.935971 27.887091 23.698227 0.000000 0.877896 1.145413 2.165555 0.000000 0.000000 0.000000 
500.00 1433.15 65.604198 23.371037 20.310145 0.000000 0.608787 0.843126 1.608978 0.000000 0.000000 0.000000 
500.00 1423.15 56.600023 20.059318 17.714813 0.000000 0.441809 0.648529 1.254166 0.000000 0.000000 0.000000 
500.00 1413.15 49.710259 17.515547 15.653587 0.000000 0.331968 0.515467 1.014524 0.000000 0.000000 0.000000 
500.00 1403.15 44.293486 15.439631 13.263700 0.000000 0.800916 0.306790 0.750352 0.317872 0.000000 0.000000 
500.00 1393.15 37.278712 13.061360 10.741161 0.000000 1.075843 0.090177 0.613326 0.540853 0.000000 0.000000 
500.00 1383.15 29.349324 10.616410 9.081430 0.000000 0.618417 0.040336 0.540518 0.335710 0.000000 0.000000 
500.00 1373.15 24.208304 9.005545 8.057779 0.000000 0.319431 0.035148 0.420062 0.173125 0.000000 0.000000 
500.00 1363.15 21.138028 8.004210 7.328191 0.000000 0.204919 0.024303 0.337106 0.109691 0.000000 0.000000 
500.00 1353.15 18.992623 7.287513 6.770295 0.000000 0.146504 0.015589 0.278471 0.076654 0.000000 0.000000 
500.00 1343.15 17.375856 6.737988 6.324908 0.000000 0.112069 0.009133 0.235055 0.056823 0.000000 0.000000 
500.00 1333.15 16.100165 6.298449 5.958657 0.000000 0.089825 0.004408 0.201713 0.043846 0.000000 0.000000 
500.00 1323.15 15.061432 5.936493 5.650837 0.000000 0.074488 0.000947 0.175382 0.034839 0.000000 0.000000 
500.00 1313.15 14.195835 5.631900 5.387112 0.000000 0.061878 0.000000 0.154723 0.028187 0.000000 0.000000 
500.00 1303.15 13.459149 5.370390 5.157840 0.000000 0.051461 0.000000 0.137968 0.023120 0.000000 0.000000 
500.00 1293.15 12.824376 5.143152 4.956545 0.000000 0.043652 0.000000 0.123718 0.019237 0.000000 0.000000 
500.00 1283.15 12.270243 4.943224 4.769079 0.010612 0.029281 0.000000 0.120071 0.014181 0.000000 0.000000 
500.00 1273.15 11.757634 4.756736 4.592801 0.014909 0.022449 0.000000 0.112073 0.010798 0.000000 0.003706 
500.00 1263.15 11.277080 4.582227 4.437645 0.013153 0.019574 0.000000 0.100118 0.008839 0.000000 0.002899 
500.00 1253.15 10.855375 4.428236 4.299555 0.011708 0.017300 0.000000 0.089987 0.007278 0.000000 0.002409 
500.00 1243.15 10.481779 4.291151 4.176024 0.010470 0.015413 0.000000 0.081247 0.006016 0.000000 0.001981 
500.00 1233.15 10.149052 4.168493 4.065025 0.009407 0.013824 0.000000 0.073654 0.004986 0.000000 0.001598 
500.00 1223.15 9.851358 4.058257 3.964896 0.008491 0.012471 0.000000 0.067013 0.004136 0.000000 0.001250 
500.00 1213.15 9.583942 3.958801 3.874267 0.007700 0.011307 0.000000 0.061171 0.003429 0.000000 0.000926 
500.00 1203.15 9.342608 3.868205 3.786474 0.008073 0.010955 0.000000 0.058118 0.000000 0.003450 0.001135 
500.00 1193.15 9.108539 3.781105 3.706579 0.006701 0.009994 0.000000 0.053288 0.000000 0.003713 0.000831 
500.00 1183.15 8.895252 3.701819 3.634427 0.005916 0.009014 0.000000 0.048693 0.000000 0.003283 0.000485 
500.00 1173.15 8.703268 3.630208 3.569121 0.005233 0.008153 0.000000 0.044633 0.000000 0.002918 0.000151 
500.00 1163.15 8.529578 3.565182 3.509469 0.004650 0.007402 0.000000 0.041050 0.000000 0.002610 0.000000 
