Title: Mk

Phase Masses:
Pressure Temperature mass liquid_0 olivine_0 clinopyroxene_0 clinopyroxene_1 feldspar_0 spinel_0 rhm-oxide_0 whitlockite 
500.00 1523.15 98.152314 98.152314 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1513.15 98.152945 98.152945 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1503.15 98.153614 98.153614 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1493.15 98.154324 98.154324 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1483.15 98.154212 94.860750 0.000000 0.000000 0.000000 3.293463 0.000000 0.000000 0.000000 
500.00 1473.15 94.861488 91.190942 0.000000 0.000000 0.000000 3.670547 0.000000 0.000000 0.000000 
500.00 1463.15 91.191703 87.792319 0.000000 0.000000 0.000000 3.399385 0.000000 0.000000 0.000000 
500.00 1453.15 87.789437 77.938200 0.328649 4.412001 0.213726 4.896861 0.000000 0.000000 0.000000 
500.00 1443.15 77.935971 65.606261 0.000000 2.849287 3.732841 5.747582 0.000000 0.000000 0.000000 
500.00 1433.15 65.604198 56.601309 0.000000 1.981970 2.758798 4.262120 0.000000 0.000000 0.000000 
500.00 1423.15 56.600023 49.711007 0.000000 1.442742 2.130563 3.315711 0.000000 0.000000 0.000000 
500.00 1413.15 49.710259 44.245924 0.000000 1.087334 1.700224 2.676778 0.000000 0.000000 0.000000 
500.00 1403.15 44.293486 37.195683 0.000000 2.631845 1.016469 1.976151 1.473337 0.000000 0.000000 
500.00 1393.15 37.278712 29.297373 0.000000 3.545327 0.300083 1.612294 2.523635 0.000000 0.000000 
500.00 1383.15 29.349324 24.180414 0.000000 2.041646 0.134657 1.417996 1.574612 0.000000 0.000000 
500.00 1373.15 24.208304 21.119327 0.000000 1.056149 0.117660 1.099918 0.815250 0.000000 0.000000 
500.00 1363.15 21.138028 18.978618 0.000000 0.678426 0.081559 0.881189 0.518237 0.000000 0.000000 
500.00 1353.15 18.992623 17.364617 0.000000 0.485608 0.052440 0.726783 0.363175 0.000000 0.000000 
500.00 1343.15 17.375856 16.090704 0.000000 0.371877 0.030793 0.612593 0.269890 0.000000 0.000000 
500.00 1333.15 16.100165 15.053182 0.000000 0.298370 0.014894 0.525004 0.208715 0.000000 0.000000 
500.00 1323.15 15.061432 14.188477 0.000000 0.247665 0.003206 0.455912 0.166172 0.000000 0.000000 
500.00 1313.15 14.195835 13.453466 0.000000 0.205923 0.000000 0.401751 0.134694 0.000000 0.000000 
500.00 1303.15 13.459149 12.819203 0.000000 0.171403 0.000000 0.357870 0.110673 0.000000 0.000000 
500.00 1293.15 12.824376 12.266038 0.000000 0.145513 0.000000 0.320595 0.092231 0.000000 0.000000 
500.00 1283.15 12.270243 11.753025 0.040529 0.097693 0.000000 0.310898 0.068098 0.000000 0.000000 
500.00 1273.15 11.757634 11.271668 0.057293 0.074981 0.000000 0.289990 0.051927 0.000000 0.011775 
500.00 1263.15 11.277080 10.850116 0.050842 0.065462 0.000000 0.258890 0.042561 0.000000 0.009210 
500.00 1253.15 10.855375 10.476637 0.045507 0.057938 0.000000 0.232553 0.035085 0.000000 0.007655 
500.00 1243.15 10.481779 10.143999 0.040908 0.051699 0.000000 0.209846 0.029035 0.000000 0.006293 
500.00 1233.15 10.149052 9.846372 0.036937 0.046451 0.000000 0.190129 0.024086 0.000000 0.005077 
500.00 1223.15 9.851358 9.579009 0.033498 0.041983 0.000000 0.172897 0.020000 0.000000 0.003970 
500.00 1213.15 9.583942 9.337999 0.030511 0.038147 0.000000 0.157745 0.016596 0.000000 0.002944 
500.00 1203.15 9.342608 9.103867 0.032146 0.037056 0.000000 0.149803 0.000000 0.016131 0.003605 
500.00 1193.15 9.108539 8.890556 0.026795 0.033886 0.000000 0.137291 0.000000 0.017370 0.002640 
500.00 1183.15 8.895252 8.698549 0.023752 0.030644 0.000000 0.125395 0.000000 0.015371 0.001540 
500.00 1173.15 8.703268 8.525361 0.021084 0.027787 0.000000 0.114886 0.000000 0.013669 0.000480 
500.00 1163.15 8.529578 8.367632 0.018798 0.025299 0.000000 0.105614 0.000000 0.012236 0.000000 
