Title: Mr1

Phase Volumes:
Pressure Temperature mass V liquid_0 olivine_0 orthopyroxene_0 clinopyroxene_0 feldspar_0 quartz spinel_0 rhm-oxide_0 apatite water 
500.00 1143.15 19.459427 26.322181 7.542811 0.000000 0.007612 0.012976 0.154491 0.000000 0.008079 0.000000 0.000000 18.596212 
500.00 1133.15 18.953431 25.991640 7.341574 0.000000 0.005914 0.012878 0.142937 0.000000 0.007206 0.000000 0.000000 18.481131 
500.00 1123.15 18.488044 25.664615 7.155349 0.000000 0.004475 0.012748 0.132533 0.000000 0.006451 0.000000 0.000000 18.353059 
500.00 1113.15 18.058897 25.340399 6.982614 0.000000 0.003254 0.012589 0.123141 0.000000 0.005795 0.000000 0.000000 18.213006 
500.00 1103.15 17.662208 25.018363 6.822040 0.000000 0.002217 0.012405 0.114640 0.000000 0.005224 0.000000 0.000000 18.061838 
500.00 1093.15 17.294688 24.697951 6.672464 0.000000 0.001335 0.012200 0.106923 0.000000 0.004724 0.000000 0.000000 17.900304 
500.00 1083.15 16.952503 24.388877 6.519361 0.011059 0.000000 0.005765 0.109662 0.000000 0.000000 0.001121 0.000000 17.741910 
500.00 1073.15 16.603643 24.068409 6.375864 0.009626 0.000000 0.005279 0.102756 0.000000 0.000000 0.002062 0.000000 17.572822 
500.00 1063.15 16.275573 23.746785 6.243216 0.008469 0.000000 0.005245 0.094991 0.000000 0.000000 0.001857 0.000000 17.393007 
500.00 1053.15 15.973295 23.425776 6.120387 0.007459 0.000000 0.005155 0.087988 0.000000 0.000000 0.001680 0.000000 17.203108 
500.00 1043.15 15.694326 23.104911 6.006464 0.006577 0.000000 0.005019 0.081654 0.000000 0.000000 0.001525 0.000000 17.003672 
500.00 1033.15 15.436463 22.790682 5.879682 0.006016 0.000000 0.005144 0.080736 0.012169 0.000000 0.001425 0.000000 16.805510 
500.00 1023.15 15.153042 22.646227 5.168487 0.010971 0.000000 0.012717 0.204600 0.355058 0.000000 0.002201 0.009889 16.882305 
