Title: Mr1

Phase Volumes:
Pressure Temperature mass V liquid_0 olivine_0 orthopyroxene_0 clinopyroxene_0 biotite_0 feldspar_0 feldspar_1 spinel_0 rhm-oxide_0 apatite water 
500.00 1173.15 100.180074 55.170833 3.099332 0.102193 4.435410 7.741156 0.000000 16.465288 0.000000 1.236790 0.000000 0.037357 22.053306 
500.00 1163.15 100.168145 55.002511 2.855188 0.128182 4.541810 7.692471 0.000000 16.599839 0.000000 1.199148 0.000000 0.042554 21.943320 
500.00 1153.15 100.156554 54.818443 2.633455 0.150086 4.648901 7.645774 0.000000 16.717279 0.000000 1.161377 0.000000 0.047191 21.814379 
500.00 1143.15 100.142988 54.644635 2.365511 0.171713 4.777641 7.599903 0.000000 16.857450 0.000000 1.089697 0.024432 0.052747 21.705542 
500.00 1133.15 100.127220 54.477992 2.055369 0.192413 4.926935 7.554069 0.000000 17.019184 0.000000 0.988390 0.069750 0.059056 21.612827 
500.00 1123.15 100.111517 54.294755 1.766991 0.209394 5.074414 7.509464 0.000000 17.166685 0.000000 0.892395 0.110713 0.064755 21.499944 
500.00 1113.15 100.095943 54.096657 1.497254 0.223298 5.219188 7.466172 0.000000 17.302545 0.000000 0.801571 0.147712 0.069949 21.368968 
500.00 1103.15 100.080554 53.885173 1.243442 0.234642 5.360572 7.424237 0.000000 17.429001 0.000000 0.715776 0.181092 0.074729 21.221682 
500.00 1093.15 100.065399 53.661568 1.003162 0.243840 5.498068 7.383675 0.000000 17.547999 0.000000 0.634855 0.211169 0.079178 21.059623 
500.00 1083.15 100.050513 53.426921 0.774298 0.251224 5.631350 7.344471 0.000000 17.661225 0.000000 0.558632 0.238231 0.083369 20.884123 
500.00 1073.15 100.020737 53.244973 0.313169 0.260544 5.881454 7.291186 0.000000 17.716744 0.187058 0.412831 0.284626 0.091876 20.805487 
500.00 1063.15 99.998876 53.015232 0.000000 0.265613 6.064968 7.248132 0.000000 17.738895 0.322339 0.311024 0.315578 0.097691 20.650991 
500.00 1053.15 99.998360 52.701276 0.000000 0.266094 6.078870 7.227101 0.000000 17.703511 0.351558 0.312264 0.315938 0.097691 20.348249 
500.00 1043.15 99.997855 52.384015 0.000000 0.266436 6.091929 7.207247 0.000000 17.669165 0.379538 0.313499 0.316271 0.097691 20.042239 
500.00 1033.15 99.997361 52.063255 0.000000 0.266639 6.104242 7.188497 0.000000 17.635791 0.406322 0.314724 0.316575 0.097691 19.732774 
500.00 1023.15 99.976863 51.500227 0.000000 0.257897 6.102036 7.167521 0.253932 17.673111 0.209308 0.227442 0.339870 0.097691 19.171419 
500.00 1013.15 99.956321 50.937839 0.000000 0.246472 6.096697 7.142271 0.523876 17.719574 0.000000 0.139555 0.362794 0.097691 18.608909 
