Title: Mr1

Phase Masses:
Pressure Temperature mass liquid_0 olivine_0 orthopyroxene_0 clinopyroxene_0 biotite_0 feldspar_0 feldspar_1 spinel_0 rhm-oxide_0 apatite water 
500.00 1523.15 100.098657 99.638743 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.459915 
500.00 1513.15 100.099260 99.643697 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.455563 
500.00 1503.15 100.099901 99.648771 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.451130 
500.00 1493.15 100.100579 99.653967 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.446613 
500.00 1483.15 100.101298 99.659288 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.442009 
500.00 1473.15 100.102057 99.664739 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.437318 
500.00 1463.15 100.102858 99.670322 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.432536 
500.00 1453.15 100.103703 99.676042 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.427661 
500.00 1443.15 100.104592 99.681902 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.422690 
500.00 1433.15 100.105528 99.687906 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.417622 
500.00 1423.15 100.106512 99.694058 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.412454 
500.00 1413.15 100.107546 99.700363 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.407183 
500.00 1403.15 100.108450 99.642221 0.064112 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.402117 
500.00 1393.15 100.109166 96.040893 0.394090 0.000000 3.230325 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.443858 
500.00 1383.15 100.111776 90.944400 0.436483 0.000000 8.221609 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.509284 
500.00 1373.15 100.121507 85.893053 0.467381 0.000000 12.982067 0.000000 0.000000 0.000000 0.206077 0.000000 0.000000 0.572928 
500.00 1363.15 100.134604 77.224760 1.255191 0.000000 16.785282 0.000000 3.516612 0.000000 0.635604 0.000000 0.000000 0.717156 
500.00 1353.15 100.173338 66.742563 2.023768 0.000000 20.301477 0.000000 8.274857 0.000000 1.936966 0.000000 0.000000 0.893706 
500.00 1343.15 100.216528 57.165105 2.464302 0.000000 23.298964 0.000000 12.786354 0.000000 3.442464 0.000000 0.000000 1.059339 
500.00 1333.15 100.246696 49.206212 2.691622 0.000000 25.646001 0.000000 16.897623 0.000000 4.598941 0.000000 0.000000 1.206296 
500.00 1323.15 100.283801 39.520328 0.000000 5.064121 26.687795 0.000000 21.827447 0.000000 5.783854 0.000000 0.000000 1.400257 
500.00 1313.15 100.291743 33.570127 0.000000 6.429032 26.899131 0.000000 25.582032 0.000000 6.286146 0.000000 0.000000 1.525275 
500.00 1303.15 100.293879 28.726018 0.000000 7.564921 26.994685 0.000000 28.764247 0.000000 6.612929 0.000000 0.000000 1.631080 
500.00 1293.15 100.291947 24.763459 0.000000 8.530514 27.022998 0.000000 31.442411 0.000000 6.812287 0.000000 0.000000 1.720278 
500.00 1283.15 100.287179 21.521456 0.000000 9.369082 27.006506 0.000000 33.676772 0.000000 6.918439 0.000000 0.000000 1.794925 
500.00 1273.15 100.280490 18.868718 0.000000 10.112351 26.956466 0.000000 35.528865 0.000000 6.957079 0.000000 0.000000 1.857011 
500.00 1263.15 100.272563 16.693371 0.000000 10.782996 26.880053 0.000000 37.059984 0.000000 6.947650 0.000000 0.000000 1.908508 
500.00 1253.15 100.263892 14.900486 0.000000 11.396956 26.783097 0.000000 38.327483 0.000000 6.904600 0.000000 0.000000 1.951270 
500.00 1243.15 100.254826 13.411768 0.000000 11.965416 26.670779 0.000000 39.381550 0.000000 6.838376 0.000000 0.000000 1.986937 
