Title: Mk

Phase Masses:
Pressure Temperature mass liquid_0 olivine_0 clinopyroxene_0 clinopyroxene_1 feldspar_0 feldspar_1 spinel_0 rhm-oxide_0 whitlockite cordierite 
500.00 1523.15 98.152314 98.152314 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1513.15 98.152945 98.152945 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1503.15 98.153614 98.153614 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1493.15 98.154324 98.154324 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1483.15 98.154212 94.860750 0.000000 0.000000 0.000000 3.293463 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1473.15 98.153910 91.124754 0.000000 0.000000 0.000000 7.029156 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1463.15 98.153578 87.588749 0.000000 0.000000 0.000000 10.564829 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1453.15 98.149446 77.075625 0.238144 4.626642 0.372596 15.836439 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1443.15 98.142974 63.600236 0.000000 7.612626 4.738410 22.191703 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1433.15 98.136834 53.220153 0.000000 9.884862 7.838808 27.193011 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1423.15 98.130952 44.698609 0.000000 11.639093 10.444351 31.348899 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1413.15 98.124916 37.425204 0.000000 13.030740 12.722548 34.946424 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1403.15 98.118104 30.982857 0.000000 14.143718 14.794292 38.197237 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1393.15 98.109817 25.145785 0.000000 15.032566 16.745576 41.185889 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1383.15 98.101574 20.300415 0.000000 15.806033 18.504463 43.490663 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1373.15 98.097025 16.917806 0.000000 16.574593 19.890118 44.714509 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1363.15 98.096120 14.501951 0.000000 17.333933 21.004283 45.255952 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1353.15 98.097624 12.556884 0.000000 18.071677 22.011656 45.457407 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1343.15 98.246406 7.809614 0.000000 22.516271 18.249547 43.910786 0.000000 5.735540 0.000000 0.024648 0.000000 
500.00 1333.15 98.233837 6.712260 0.206156 22.553391 18.539507 44.478294 0.000000 5.680547 0.000000 0.063683 0.000000 
500.00 1323.15 98.220441 5.783032 0.412802 22.536650 18.821047 44.976430 0.000000 5.592606 0.000000 0.097874 0.000000 
500.00 1313.15 98.207732 5.016217 0.570578 22.481537 19.118619 45.399482 0.000000 5.495624 0.000000 0.125675 0.000000 
500.00 1303.15 98.195757 4.371325 0.692678 22.404012 19.420102 45.763628 0.000000 5.395252 0.000000 0.148760 0.000000 
500.00 1293.15 98.184493 3.820099 0.788116 22.313773 19.719049 46.080833 0.000000 5.294364 0.000000 0.168260 0.000000 
500.00 1283.15 98.173895 3.342220 0.863243 22.216880 20.012185 46.360042 0.000000 5.194351 0.000000 0.184975 0.000000 
500.00 1273.15 98.163905 2.922725 0.922648 22.117195 20.298043 46.608018 0.000000 5.095787 0.000000 0.199490 0.000000 
500.00 1263.15 98.150022 2.170484 0.984923 21.974774 20.916152 47.013430 0.000000 4.606376 0.257877 0.226005 0.000000 
500.00 1253.15 98.134780 1.349638 1.034395 21.812835 21.640021 47.458315 0.000000 4.001273 0.584048 0.254255 0.000000 
500.00 1243.15 98.120117 0.614779 1.068571 21.653494 22.314123 47.869303 0.000000 3.454841 0.866047 0.278959 0.000000 
500.00 1233.15 98.107122 0.000000 1.091287 21.511357 22.886349 48.225570 0.000000 2.999323 1.093859 0.299378 0.000000 
500.00 1223.15 98.107019 0.000000 1.104254 21.509091 22.833334 48.243709 0.000000 3.003347 1.113905 0.299378 0.000000 
500.00 1213.15 98.106943 0.000000 1.117283 21.505064 22.781458 48.262390 0.000000 3.007055 1.134314 0.299378 0.000000 
500.00 1203.15 98.106891 0.000000 1.130359 21.499350 22.730655 48.281619 0.000000 3.010499 1.155032 0.299378 0.000000 
500.00 1193.15 98.106864 0.000000 1.143465 21.492018 22.680870 48.301399 0.000000 3.013730 1.176004 0.299378 0.000000 
500.00 1183.15 98.106860 0.000000 1.156583 21.483129 22.632059 48.321734 0.000000 3.016799 1.197178 0.299378 0.000000 
500.00 1173.15 98.106878 0.000000 1.169690 21.472744 22.584186 48.342622 0.000000 3.019759 1.218499 0.299378 0.000000 
500.00 1163.15 98.107330 0.317509 1.147946 21.459774 22.550532 48.363138 0.000000 3.032369 1.236062 0.000000 0.000000 
500.00 1153.15 98.107376 0.316943 1.162135 21.446672 22.503826 48.385222 0.000000 3.034719 1.257858 0.000000 0.000000 
500.00 1143.15 98.107442 0.316411 1.176193 21.432217 22.458018 48.407844 0.000000 3.037128 1.279631 0.000000 0.000000 
500.00 1133.15 98.107528 0.315909 1.190095 21.416455 22.413099 48.430996 0.000000 3.039637 1.301337 0.000000 0.000000 
500.00 1123.15 98.107634 0.315436 1.203810 21.399435 22.369063 48.454669 0.000000 3.042283 1.322938 0.000000 0.000000 
500.00 1113.15 98.107759 0.314991 1.217307 21.381199 22.325908 48.478853 0.000000 3.045102 1.344399 0.000000 0.000000 
500.00 1103.15 98.107900 0.314569 1.230546 21.362035 22.283891 48.480796 0.022415 3.047963 1.365684 0.000000 0.000000 
500.00 1093.15 98.108049 0.314169 1.243478 21.342493 22.243530 48.414037 0.113023 3.050575 1.386744 0.000000 0.000000 
500.00 1083.15 98.108218 0.313793 1.256096 21.321833 22.204023 48.351462 0.199963 3.053480 1.407567 0.000000 0.000000 
500.00 1073.15 98.108407 0.313438 1.268366 21.300095 22.165381 48.292921 0.283374 3.056699 1.428134 0.000000 0.000000 
500.00 1063.15 98.108618 0.313104 1.280250 21.277316 22.127615 48.238267 0.363387 3.060248 1.448430 0.000000 0.000000 
500.00 1053.15 98.108849 0.312791 1.291715 21.253534 22.090736 48.187362 0.440126 3.064144 1.468441 0.000000 0.000000 
500.00 1043.15 98.109104 0.312497 1.302724 21.228785 22.054756 48.140075 0.513710 3.068397 1.488160 0.000000 0.000000 
500.00 1033.15 98.109381 0.312221 1.313243 21.203102 22.019687 48.096282 0.584250 3.073016 1.507580 0.000000 0.000000 
500.00 1023.15 98.122981 0.311738 1.313572 22.914374 20.036106 46.429571 0.658573 3.333756 1.460938 0.000000 1.664352 
