Title: Mk

Phase Masses:
Pressure Temperature mass liquid_0 olivine_0 orthopyroxene_0 clinopyroxene_0 biotite_0 feldspar_0 feldspar_1 spinel_0 rhm-oxide_0 apatite water 
500.00 1523.15 98.169879 98.169879 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1513.15 98.170501 98.170501 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1503.15 98.171162 98.171162 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1493.15 98.171862 98.171862 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1483.15 98.172603 98.172603 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1473.15 98.173386 98.173386 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1463.15 98.174213 98.174213 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1453.15 98.175084 98.175084 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1443.15 98.176001 98.176001 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1433.15 98.176966 98.176966 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1423.15 98.177980 98.177980 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1413.15 98.179093 92.953668 0.000000 0.000000 3.548112 0.000000 1.677314 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1403.15 98.177295 85.533977 0.833390 0.000000 7.002127 0.000000 4.807802 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1393.15 98.181009 78.753184 1.619543 0.000000 10.087947 0.000000 7.534101 0.000000 0.186234 0.000000 0.000000 0.000000 
500.00 1383.15 98.187239 72.644045 2.334035 0.000000 12.832680 0.000000 9.944552 0.000000 0.431927 0.000000 0.000000 0.000000 
500.00 1373.15 98.209091 66.396003 2.886218 0.000000 15.652602 0.000000 12.120790 0.000000 1.153478 0.000000 0.000000 0.000000 
500.00 1363.15 98.251737 59.762164 3.171265 0.000000 18.599843 0.000000 14.187487 0.000000 2.530978 0.000000 0.000000 0.000000 
500.00 1353.15 98.290310 53.992281 3.330024 0.000000 21.015375 0.000000 16.138533 0.000000 3.814096 0.000000 0.000000 0.000000 
500.00 1343.15 98.318646 49.265570 3.448721 0.000000 22.858361 0.000000 17.943137 0.000000 4.802857 0.000000 0.000000 0.000000 
500.00 1333.15 98.339942 45.270620 3.406431 0.243607 24.238484 0.000000 19.608697 0.000000 5.572103 0.000000 0.000000 0.000000 
500.00 1323.15 98.377213 36.311297 0.206738 6.055528 24.985441 0.000000 23.956816 0.000000 6.701575 0.000000 0.000000 0.159818 
500.00 1313.15 98.384621 30.343674 0.000000 7.660764 25.204125 0.000000 27.703663 0.000000 7.186064 0.000000 0.000000 0.286332 
500.00 1303.15 98.385009 25.648274 0.000000 8.760860 25.298756 0.000000 30.816022 0.000000 7.471262 0.000000 0.000000 0.389834 
