Title: Mk

Phase Volumes:
Pressure Temperature mass V liquid_0 olivine_0 orthopyroxene_0 clinopyroxene_0 biotite_0 feldspar_0 feldspar_1 spinel_0 rhm-oxide_0 apatite water 
500.00 1173.15 98.257358 41.659487 2.309556 0.169645 4.704671 7.215994 0.000000 16.892560 0.000000 1.353546 0.000000 0.059032 8.954482 
500.00 1163.15 98.245569 41.631822 2.087803 0.189742 4.814576 7.168631 0.000000 17.010507 0.000000 1.315124 0.000000 0.063738 8.981701 
500.00 1153.15 98.232182 41.617442 1.815964 0.209649 4.946639 7.121909 0.000000 17.154022 0.000000 1.239556 0.027645 0.069441 9.032616 
500.00 1143.15 98.217240 41.609694 1.507297 0.228200 5.096580 7.075307 0.000000 17.316781 0.000000 1.136167 0.075710 0.075769 9.097882 
500.00 1133.15 98.202495 41.585641 1.222641 0.242905 5.243246 7.030104 0.000000 17.464490 0.000000 1.039232 0.118864 0.081438 9.142721 
500.00 1123.15 98.188010 41.547383 0.958281 0.254492 5.385780 6.986382 0.000000 17.600137 0.000000 0.948480 0.157595 0.086568 9.169668 
500.00 1113.15 98.173828 41.496743 0.710910 0.263546 5.523622 6.944180 0.000000 17.726312 0.000000 0.863609 0.192344 0.091266 9.180954 
500.00 1103.15 98.159971 41.435314 0.477511 0.270537 5.656497 6.903502 0.000000 17.845287 0.000000 0.784259 0.223522 0.095627 9.178571 
500.00 1093.15 98.146440 41.364499 0.255269 0.275847 5.784407 6.864326 0.000000 17.959073 0.000000 0.709997 0.251518 0.099741 9.164322 
500.00 1083.15 98.130559 41.297231 0.000000 0.280438 5.929223 6.824235 0.000000 18.012655 0.079338 0.627006 0.280727 0.104462 9.159147 
500.00 1073.15 98.130657 41.158526 0.000000 0.280260 5.943298 6.803539 0.000000 17.974176 0.112271 0.625448 0.283826 0.104462 9.031245 
500.00 1063.15 98.130751 41.018526 0.000000 0.279963 5.956482 6.784038 0.000000 17.936873 0.143852 0.623963 0.286815 0.104462 8.902076 
500.00 1053.15 98.130839 40.877155 0.000000 0.279546 5.968879 6.765658 0.000000 17.900672 0.174129 0.622547 0.289689 0.104462 8.771573 
500.00 1043.15 98.113159 40.510609 0.000000 0.270892 5.968948 6.746075 0.230287 17.928844 0.000000 0.538424 0.315284 0.104462 8.407394 
500.00 1033.15 98.105675 40.279446 0.000000 0.267369 5.975590 6.729251 0.327009 17.863177 0.000000 0.502937 0.326496 0.104462 8.183155 
500.00 1023.15 98.098935 40.060148 0.000000 0.264372 5.982181 6.713319 0.412355 17.804028 0.000000 0.472031 0.336005 0.104462 7.971395 
