Title: Hr

Phase Volumes:
Pressure Temperature mass V liquid_0 olivine_0 orthopyroxene_0 clinopyroxene_0 feldspar_0 spinel_0 water 
500.00 1523.15 98.092789 37.534660 37.534660 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1513.15 98.093444 37.497893 37.497893 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1503.15 98.094140 37.461188 37.461188 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1493.15 98.094876 37.424546 37.424546 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1483.15 98.095656 37.387967 37.387967 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1473.15 98.096480 37.351455 37.351455 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1463.15 98.097350 37.315010 37.315010 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1453.15 98.098266 37.278634 37.278634 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1443.15 98.099231 37.242328 37.242328 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1433.15 98.100247 37.206095 37.206095 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1423.15 98.101007 37.167416 37.133537 0.033879 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1413.15 98.098809 37.093054 36.373748 0.348969 0.000000 0.000000 0.370338 0.000000 0.000000 
500.00 1403.15 98.095782 36.833509 33.628407 0.673717 0.000000 0.896468 1.634917 0.000000 0.000000 
500.00 1393.15 98.093212 36.586224 31.156908 0.938793 0.000000 1.799245 2.691278 0.000000 0.000000 
500.00 1383.15 98.090711 36.366501 28.989768 1.183210 0.000000 2.580603 3.612921 0.000000 0.000000 
500.00 1373.15 98.088265 36.168666 27.064042 1.414528 0.000000 3.265070 4.425025 0.000000 0.000000 
500.00 1363.15 98.085848 35.988474 25.331969 1.639391 0.000000 3.870470 5.146644 0.000000 0.000000 
500.00 1353.15 98.083415 35.822727 23.756537 1.863940 0.000000 4.409554 5.792696 0.000000 0.000000 
500.00 1343.15 98.267485 35.580163 20.133726 1.477699 0.000000 6.023299 6.692337 1.253103 0.000000 
500.00 1333.15 98.288542 35.455680 18.738594 1.502473 0.015118 6.451403 7.330056 1.418037 0.000000 
500.00 1323.15 98.325482 36.539369 15.465942 0.595750 1.694083 6.685615 8.821766 1.653179 1.623032 
500.00 1313.15 98.347386 37.896572 12.456068 0.000000 2.922313 6.796885 10.413340 1.811021 3.496945 
500.00 1303.15 98.347687 38.820366 10.509403 0.000000 3.253296 6.817641 11.645415 1.863946 4.730665 
500.00 1293.15 98.344219 39.562743 8.912858 0.000000 3.528398 6.821974 12.674283 1.891300 5.733930 
500.00 1283.15 98.338188 40.146105 7.611213 0.000000 3.762288 6.814604 13.521821 1.900486 6.535694 
