Title: Hr

Phase Masses:
Pressure Temperature mass liquid_0 olivine_0 orthopyroxene_0 clinopyroxene_0 feldspar_0 spinel_0 water 
500.00 1523.15 98.092789 98.092789 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1513.15 98.093444 98.093444 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1503.15 98.094140 98.094140 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1493.15 98.094876 98.094876 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1483.15 98.095656 98.095656 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1473.15 98.096480 98.096480 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1463.15 98.097350 98.097350 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1453.15 98.098266 98.098266 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1443.15 98.099231 98.099231 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1433.15 98.100247 98.100247 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1423.15 98.101007 97.989236 0.111770 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1413.15 98.098809 95.950660 1.154802 0.000000 0.000000 0.993347 0.000000 0.000000 
500.00 1403.15 98.095782 88.554993 2.240591 0.000000 2.916704 4.383495 0.000000 0.000000 
500.00 1393.15 98.093212 81.873179 3.138651 0.000000 5.868581 7.212802 0.000000 0.000000 
500.00 1383.15 98.090711 75.995286 3.977396 0.000000 8.439076 9.678954 0.000000 0.000000 
500.00 1373.15 98.088265 70.749995 4.781871 0.000000 10.706541 11.849858 0.000000 0.000000 
500.00 1363.15 98.085848 66.006355 5.574557 0.000000 12.728035 13.776901 0.000000 0.000000 
500.00 1353.15 98.083415 61.661906 6.376751 0.000000 14.544470 15.500288 0.000000 0.000000 
500.00 1343.15 98.267485 49.833169 5.026877 0.000000 19.749717 17.889985 5.767737 0.000000 
500.00 1333.15 98.288542 45.828836 5.121340 0.049862 21.159623 19.584801 6.544081 0.000000 
500.00 1323.15 98.325482 37.438841 2.036926 5.592817 21.933444 23.535758 7.652847 0.134849 
500.00 1313.15 98.347386 29.938103 0.000000 9.661775 22.308963 27.729162 8.416149 0.293234 
500.00 1303.15 98.347687 25.110325 0.000000 10.778825 22.395002 30.964287 8.698836 0.400412 
500.00 1293.15 98.344219 21.195807 0.000000 11.714328 22.426444 33.658998 8.858692 0.489949 
500.00 1283.15 98.338188 18.034321 0.000000 12.515776 22.418776 35.875577 8.929888 0.563849 
