Title: Hr

Phase Masses:
Pressure Temperature mass liquid_0 olivine_0 orthopyroxene_0 clinopyroxene_0 feldspar_0 spinel_0 rhm-oxide_0 apatite water 
500.00 1523.15 98.125041 98.125041 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1513.15 98.125688 98.125688 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1503.15 98.126376 98.126376 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1493.15 98.127104 98.127104 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1483.15 98.127875 98.127875 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1473.15 98.128690 98.128690 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1463.15 98.129550 98.129550 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1453.15 98.130456 98.130456 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1443.15 98.131410 98.131410 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1433.15 98.132414 98.132414 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1423.15 98.133469 98.133469 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1413.15 98.133904 96.185435 0.307172 0.000000 1.641297 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1403.15 96.185776 89.018414 0.816744 0.000000 3.563893 2.786724 0.000000 0.000000 0.000000 0.000000 
500.00 1393.15 89.026577 82.137688 0.779028 0.000000 3.098979 2.778747 0.232136 0.000000 0.000000 0.000000 
500.00 1383.15 82.144714 76.332626 0.694026 0.000000 2.552952 2.413726 0.151384 0.000000 0.000000 0.000000 
500.00 1373.15 76.360841 70.150788 0.519088 0.000000 2.765993 2.138622 0.786349 0.000000 0.000000 0.000000 
500.00 1363.15 70.220121 62.547819 0.216843 0.000000 3.399848 2.016542 2.039070 0.000000 0.000000 0.000000 
500.00 1353.15 62.598568 56.692289 0.175458 0.000000 2.426860 1.819856 1.484105 0.000000 0.000000 0.000000 
500.00 1343.15 56.729639 52.105570 0.153824 0.000000 1.760125 1.631362 1.078758 0.000000 0.000000 0.000000 
500.00 1333.15 52.134199 48.111072 0.000000 0.479920 1.053395 1.671064 0.818748 0.000000 0.000000 0.000000 
500.00 1323.15 48.133734 44.772664 0.000000 0.467823 0.725201 1.531903 0.636143 0.000000 0.000000 0.000000 
500.00 1313.15 44.791982 41.504423 0.000000 0.513920 0.502026 1.707338 0.541952 0.000000 0.000000 0.022323 
500.00 1303.15 41.544154 37.657855 0.000000 0.695378 0.249320 2.334311 0.508511 0.000000 0.000000 0.098779 
500.00 1293.15 37.770838 34.516956 0.000000 0.547495 0.163130 1.981635 0.398734 0.000000 0.000000 0.162888 
500.00 1283.15 34.691783 31.896539 0.000000 0.437760 0.111517 1.708905 0.319415 0.000000 0.000000 0.217647 
500.00 1273.15 32.124471 29.673835 0.000000 0.353811 0.080631 1.490931 0.260191 0.000000 0.000000 0.265071 
500.00 1263.15 29.947953 27.764073 0.000000 0.288043 0.062471 1.311999 0.214794 0.000000 0.000000 0.306572 
500.00 1253.15 28.078745 26.106254 0.000000 0.235640 0.052130 1.162265 0.179271 0.000000 0.000000 0.343185 
500.00 1243.15 26.456804 24.654980 0.000000 0.193372 0.046555 1.035191 0.151012 0.000000 0.000000 0.375695 
500.00 1233.15 25.037461 23.375490 0.000000 0.158966 0.043827 0.926235 0.128226 0.000000 0.000000 0.404716 
500.00 1223.15 23.786530 22.240539 0.000000 0.130766 0.042742 0.832092 0.109650 0.000000 0.000000 0.430743 
500.00 1213.15 22.677235 21.228369 0.000000 0.107525 0.042546 0.750258 0.094360 0.000000 0.000000 0.454177 
500.00 1203.15 21.688199 20.321335 0.000000 0.088285 0.042775 0.678777 0.081672 0.000000 0.000000 0.475355 
500.00 1193.15 20.802097 19.504952 0.000000 0.072294 0.043153 0.616074 0.071067 0.000000 0.000000 0.494557 
500.00 1183.15 20.004713 18.767206 0.000000 0.058959 0.043518 0.560863 0.062146 0.000000 0.000000 0.512020 
