Title: Mr1

Phase Masses:
Pressure Temperature mass liquid_0 olivine_0 clinopyroxene_0 clinopyroxene_1 feldspar_0 feldspar_1 spinel_0 rhm-oxide_0 whitlockite 
500.00 1523.15 97.788809 97.788809 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1513.15 97.789420 97.789420 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1503.15 97.790069 97.790069 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1493.15 97.790756 97.790756 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1483.15 97.790994 95.568201 0.000000 0.000000 0.000000 2.222793 0.000000 0.000000 0.000000 0.000000 
500.00 1473.15 97.790880 91.933686 0.000000 0.000000 0.000000 5.857194 0.000000 0.000000 0.000000 0.000000 
500.00 1463.15 97.790750 88.506895 0.000000 0.000000 0.000000 9.283854 0.000000 0.000000 0.000000 0.000000 
500.00 1453.15 97.787306 76.616132 0.000000 6.689745 0.000000 14.481429 0.000000 0.000000 0.000000 0.000000 
500.00 1443.15 97.781598 64.347400 0.000000 10.592987 2.654303 20.186908 0.000000 0.000000 0.000000 0.000000 
500.00 1433.15 97.776224 54.239135 0.000000 12.809406 5.757232 24.970451 0.000000 0.000000 0.000000 0.000000 
500.00 1423.15 97.771373 45.989214 0.000000 14.516052 8.395842 28.870266 0.000000 0.000000 0.000000 0.000000 
500.00 1413.15 97.766867 39.030681 0.000000 15.878483 10.720641 32.137061 0.000000 0.000000 0.000000 0.000000 
500.00 1403.15 97.796074 31.223560 0.000000 18.257079 12.575277 34.707919 0.000000 1.032239 0.000000 0.000000 
500.00 1393.15 97.855826 22.749874 0.000000 21.513611 13.636187 36.836609 0.000000 3.119545 0.000000 0.000000 
500.00 1383.15 97.876317 17.714470 0.000000 22.992726 14.473949 38.606579 0.000000 4.088594 0.000000 0.000000 
500.00 1373.15 97.879341 14.575601 0.000000 23.658270 15.204763 39.932803 0.000000 4.507904 0.000000 0.000000 
500.00 1363.15 97.875948 12.402694 0.000000 23.983181 15.839997 40.945446 0.000000 4.704630 0.000000 0.000000 
500.00 1353.15 97.869883 10.800660 0.000000 24.137577 16.396064 41.741379 0.000000 4.794204 0.000000 0.000000 
500.00 1343.15 97.862698 9.566970 0.000000 24.197919 16.887132 42.383732 0.000000 4.826945 0.000000 0.000000 
500.00 1333.15 97.855112 8.585423 0.000000 24.203309 17.324624 42.914054 0.000000 4.827701 0.000000 0.000000 
500.00 1323.15 97.847288 7.760092 0.000000 24.178131 17.723780 43.364780 0.000000 4.808895 0.000000 0.011610 
500.00 1313.15 97.834087 6.875414 0.242720 24.144815 17.961243 43.851614 0.000000 4.713920 0.000000 0.044361 
500.00 1303.15 97.822603 6.164485 0.392169 24.078453 18.241104 44.251337 0.000000 4.625990 0.000000 0.069065 
500.00 1293.15 97.811754 5.557462 0.511607 23.995063 18.523088 44.598517 0.000000 4.536069 0.000000 0.089946 
500.00 1283.15 97.801514 5.032079 0.607999 23.901782 18.802692 44.903171 0.000000 4.445956 0.000000 0.107833 
500.00 1273.15 97.791840 4.571875 0.686397 23.803239 19.077603 45.172893 0.000000 4.356501 0.000000 0.123331 
500.00 1263.15 97.782685 4.164478 0.750547 23.702503 19.346797 45.413454 0.000000 4.268013 0.000000 0.136894 
500.00 1253.15 97.766911 3.306399 0.823673 23.551784 20.059898 45.864333 0.000000 3.669181 0.324719 0.166925 
500.00 1243.15 97.751143 2.510092 0.879424 23.395491 20.762898 46.290864 0.000000 3.092255 0.626087 0.194032 
500.00 1233.15 97.735906 1.793772 0.920934 23.240702 21.420901 46.684866 0.000000 2.569402 0.887415 0.217914 
500.00 1223.15 97.721290 1.146836 0.951449 23.090026 22.029930 47.051539 0.000000 2.099246 1.113026 0.239239 
500.00 1213.15 97.707425 0.563924 0.973047 22.945273 22.585262 47.393355 0.000000 1.682367 1.305787 0.258408 
500.00 1203.15 97.694502 0.044947 0.986936 22.807898 23.080363 47.709880 0.000000 1.321615 1.467274 0.275590 
500.00 1193.15 97.692623 0.000000 1.002759 22.784839 23.081876 47.754238 0.000000 1.307450 1.484372 0.277088 
500.00 1183.15 97.692254 0.294609 0.984988 22.770852 23.051229 47.771173 0.000000 1.334915 1.484489 0.000000 
500.00 1173.15 97.691494 0.294002 1.002387 22.756400 23.006622 47.790420 0.000000 1.352114 1.489550 0.000000 
500.00 1163.15 97.690767 0.293433 1.019609 22.740581 22.962816 47.810258 0.000000 1.369149 1.494920 0.000000 
500.00 1153.15 97.690073 0.292897 1.036641 22.723440 22.919798 47.830683 0.000000 1.386032 1.500581 0.000000 
500.00 1143.15 97.689401 0.292389 1.053426 22.705901 22.878505 47.754741 0.095761 1.402150 1.506529 0.000000 
500.00 1133.15 97.688760 0.291909 1.069987 22.687201 22.838056 47.672314 0.198479 1.418101 1.512713 0.000000 
500.00 1123.15 97.688152 0.291458 1.086312 22.667273 22.798341 47.594693 0.296994 1.433972 1.519108 0.000000 
500.00 1113.15 97.687577 0.291032 1.102381 22.646155 22.759362 47.521697 0.391478 1.449775 1.525697 0.000000 
500.00 1103.15 97.687035 0.290631 1.118174 22.623882 22.721125 47.453155 0.482090 1.465517 1.532461 0.000000 
