Title: Nd2

Phase Masses:
Pressure Temperature mass liquid_0 clinopyroxene_0 clinopyroxene_1 feldspar_0 feldspar_1 quartz spinel_0 rhm-oxide_0 
500.00 1523.15 98.213805 98.213805 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1513.15 98.214359 98.214359 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1503.15 98.214947 98.214947 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1493.15 98.215570 98.215570 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1483.15 98.216230 98.216230 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1473.15 98.216926 98.216926 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1463.15 98.217662 98.217662 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1453.15 98.218026 96.184282 0.000000 0.000000 2.033744 0.000000 0.000000 0.000000 0.000000 
500.00 1443.15 96.182695 86.967425 2.572067 1.691924 4.951279 0.000000 0.000000 0.000000 0.000000 
500.00 1433.15 86.965921 75.790046 2.423972 3.368427 5.383476 0.000000 0.000000 0.000000 0.000000 
500.00 1423.15 75.791386 67.120704 1.821220 2.590733 4.197214 0.000000 0.000000 0.061516 0.000000 
500.00 1413.15 67.124129 60.249378 1.389260 2.044765 3.370994 0.000000 0.000000 0.069733 0.000000 
500.00 1403.15 60.257042 54.415907 1.195047 1.635002 2.832661 0.000000 0.000000 0.178426 0.000000 
500.00 1393.15 54.476311 46.150855 2.346755 0.996888 3.210172 0.000000 0.000000 1.771642 0.000000 
500.00 1383.15 46.194907 40.154026 1.552235 0.584726 2.600853 0.000000 0.000000 1.303066 0.000000 
500.00 1373.15 40.182345 35.961939 0.979631 0.381579 2.033331 0.000000 0.000000 0.825865 0.000000 
500.00 1363.15 35.982191 32.801945 0.693846 0.254903 1.657354 0.000000 0.000000 0.574143 0.000000 
500.00 1353.15 32.817479 30.305339 0.530301 0.170217 1.388870 0.000000 0.000000 0.422752 0.000000 
500.00 1343.15 30.317873 28.267485 0.427695 0.111149 1.187767 0.000000 0.000000 0.323778 0.000000 
500.00 1333.15 28.277999 26.562756 0.358827 0.068742 1.032400 0.000000 0.000000 0.255273 0.000000 
500.00 1323.15 26.571852 25.108145 0.310150 0.037638 0.910068 0.000000 0.000000 0.205852 0.000000 
500.00 1313.15 25.116212 23.845329 0.274377 0.014405 0.813037 0.000000 0.000000 0.169064 0.000000 
500.00 1303.15 23.852615 22.729623 0.244360 0.000000 0.737986 0.000000 0.000000 0.140646 0.000000 
500.00 1293.15 22.735244 21.721941 0.210164 0.000000 0.686048 0.000000 0.000000 0.117092 0.000000 
500.00 1283.15 21.727045 20.785776 0.185216 0.000000 0.657628 0.000000 0.000000 0.098424 0.000000 
500.00 1273.15 20.790364 19.659514 0.184871 0.000000 0.610442 0.254136 0.000000 0.081401 0.000000 
500.00 1263.15 19.664712 18.483796 0.172439 0.000000 0.940969 0.000000 0.000000 0.067508 0.000000 
500.00 1253.15 18.487732 17.484440 0.147366 0.000000 0.799607 0.000000 0.000000 0.056319 0.000000 
500.00 1243.15 17.488177 16.625040 0.127344 0.000000 0.688184 0.000000 0.000000 0.047609 0.000000 
500.00 1233.15 16.628623 15.877717 0.111128 0.000000 0.599137 0.000000 0.000000 0.040641 0.000000 
500.00 1223.15 15.881178 15.221419 0.097802 0.000000 0.527012 0.000000 0.000000 0.034945 0.000000 
500.00 1213.15 15.224291 14.576689 0.096107 0.000000 0.506508 0.000000 0.000000 0.000000 0.044988 
500.00 1203.15 14.579573 14.008321 0.083771 0.000000 0.447883 0.000000 0.000000 0.000000 0.039598 
500.00 1193.15 14.011203 13.503621 0.073788 0.000000 0.399222 0.000000 0.000000 0.000000 0.034572 
500.00 1183.15 13.506501 13.052305 0.065336 0.000000 0.358494 0.000000 0.000000 0.000000 0.030366 
500.00 1173.15 13.055184 12.646216 0.058109 0.000000 0.324049 0.000000 0.000000 0.000000 0.026810 
500.00 1163.15 12.649095 12.278808 0.051874 0.000000 0.294635 0.000000 0.000000 0.000000 0.023778 
500.00 1153.15 12.281529 10.574260 0.115752 0.000000 0.823068 0.000000 0.730554 0.000000 0.037894 
