Title: Nd2

Phase Volumes:
Pressure Temperature mass V liquid_0 clinopyroxene_0 clinopyroxene_1 feldspar_0 feldspar_1 quartz spinel_0 rhm-oxide_0 
500.00 1523.15 98.213805 37.172677 37.172677 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1513.15 98.214359 37.150129 37.150129 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1503.15 98.214947 37.127609 37.127609 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1493.15 98.215570 37.105117 37.105117 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1483.15 98.216230 37.082654 37.082654 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1473.15 98.216926 37.060221 37.060221 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1463.15 98.217662 37.037819 37.037819 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1453.15 98.218026 36.980594 36.215989 0.000000 0.000000 0.764604 0.000000 0.000000 0.000000 0.000000 
500.00 1443.15 96.182695 35.894357 32.716697 0.793631 0.519957 1.864072 0.000000 0.000000 0.000000 0.000000 
500.00 1433.15 86.965921 32.315619 28.509448 0.745428 1.030625 2.030117 0.000000 0.000000 0.000000 0.000000 
500.00 1423.15 75.791386 28.200101 25.253919 0.558162 0.789143 1.585399 0.000000 0.000000 0.013479 0.000000 
500.00 1413.15 67.124129 25.009990 22.675132 0.424293 0.619998 1.275435 0.000000 0.000000 0.015132 0.000000 
500.00 1403.15 60.257042 22.473215 20.504028 0.363690 0.493449 1.073603 0.000000 0.000000 0.038445 0.000000 
500.00 1393.15 54.476311 20.284804 17.672546 0.712797 0.299928 1.219869 0.000000 0.000000 0.379664 0.000000 
500.00 1383.15 46.194907 17.519974 15.604558 0.470905 0.175525 0.990899 0.000000 0.000000 0.278086 0.000000 
500.00 1373.15 40.182345 15.496993 14.133623 0.296891 0.114311 0.776519 0.000000 0.000000 0.175649 0.000000 
500.00 1363.15 35.982191 14.051714 13.009315 0.210093 0.076218 0.634328 0.000000 0.000000 0.121761 0.000000 
500.00 1353.15 32.817479 12.943864 12.110513 0.160444 0.050806 0.532670 0.000000 0.000000 0.089430 0.000000 
500.00 1343.15 30.317873 12.056438 11.369226 0.129307 0.033119 0.456444 0.000000 0.000000 0.068342 0.000000 
500.00 1333.15 28.277999 11.323420 10.743277 0.108415 0.020450 0.397503 0.000000 0.000000 0.053776 0.000000 
500.00 1323.15 26.571852 10.703695 10.204503 0.093651 0.011179 0.351074 0.000000 0.000000 0.043288 0.000000 
500.00 1313.15 25.116212 10.169712 9.732882 0.082802 0.004272 0.314261 0.000000 0.000000 0.035495 0.000000 
500.00 1303.15 23.852615 9.701770 9.312726 0.073705 0.000000 0.285854 0.000000 0.000000 0.029485 0.000000 
500.00 1293.15 22.735244 9.283986 8.929740 0.063358 0.000000 0.266374 0.000000 0.000000 0.024513 0.000000 
500.00 1283.15 21.727045 8.902726 8.570177 0.055808 0.000000 0.256162 0.000000 0.000000 0.020578 0.000000 
500.00 1273.15 20.790364 8.537782 8.123642 0.055661 0.000000 0.242180 0.099301 0.000000 0.016998 0.000000 
500.00 1263.15 19.664712 8.090527 7.650873 0.051863 0.000000 0.373709 0.000000 0.000000 0.014082 0.000000 
500.00 1253.15 18.487732 7.622332 7.248601 0.044270 0.000000 0.317724 0.000000 0.000000 0.011737 0.000000 
500.00 1243.15 17.488177 7.224022 6.902376 0.038206 0.000000 0.273526 0.000000 0.000000 0.009914 0.000000 
500.00 1233.15 16.628623 6.880984 6.601061 0.033294 0.000000 0.238173 0.000000 0.000000 0.008456 0.000000 
500.00 1223.15 15.881178 6.582270 6.336225 0.029255 0.000000 0.209524 0.000000 0.000000 0.007266 0.000000 
500.00 1213.15 15.224291 6.317824 6.078055 0.028693 0.000000 0.201415 0.000000 0.000000 0.000000 0.009661 
500.00 1203.15 14.579573 6.061933 5.850357 0.024961 0.000000 0.178121 0.000000 0.000000 0.000000 0.008494 
500.00 1193.15 14.011203 5.836107 5.647983 0.021940 0.000000 0.158776 0.000000 0.000000 0.000000 0.007408 
500.00 1183.15 13.506501 5.635307 5.466845 0.019384 0.000000 0.142578 0.000000 0.000000 0.000000 0.006501 
500.00 1173.15 13.055184 5.455508 5.303700 0.017198 0.000000 0.128874 0.000000 0.000000 0.000000 0.005735 
500.00 1163.15 12.649095 5.293512 5.155945 0.015314 0.000000 0.117171 0.000000 0.000000 0.000000 0.005082 
500.00 1153.15 12.281529 5.093032 4.435577 0.033946 0.000000 0.327434 0.000000 0.287986 0.000000 0.008090 
