Title: Nd1

Phase Masses:
Pressure Temperature mass liquid_0 olivine_0 orthopyroxene_0 clinopyroxene_0 feldspar_0 feldspar_1 spinel_0 rhm-oxide_0 water 
500.00 1373.15 80.530801 75.631191 0.575402 0.000000 1.857035 2.384946 0.000000 0.082226 0.000000 0.000000 
500.00 1363.15 75.641436 71.106401 0.491116 0.000000 1.648120 2.169775 0.000000 0.226023 0.000000 0.000000 
500.00 1353.15 71.144604 65.782629 0.276289 0.000000 1.859862 2.175390 0.000000 1.050434 0.000000 0.000000 
500.00 1343.15 65.817303 61.179820 0.212835 0.000000 1.468922 1.998206 0.000000 0.957519 0.000000 0.000000 
500.00 1333.15 61.207136 57.358153 0.191155 0.000000 1.103202 1.808540 0.000000 0.746085 0.000000 0.000000 
500.00 1323.15 57.380745 53.934952 0.000000 0.361547 0.733258 1.745046 0.000000 0.605941 0.000000 0.000000 
500.00 1313.15 53.953270 50.892432 0.000000 0.448980 0.430006 1.694253 0.000000 0.487599 0.000000 0.000000 
500.00 1303.15 50.907961 48.249813 0.000000 0.387883 0.325349 1.542278 0.000000 0.402639 0.000000 0.000000 
500.00 1293.15 48.263221 45.924919 0.000000 0.337467 0.249372 1.414314 0.000000 0.337150 0.000000 0.000000 
500.00 1283.15 45.936680 43.857335 0.000000 0.295351 0.193262 1.305187 0.000000 0.285545 0.000000 0.000000 
500.00 1273.15 43.867794 42.001503 0.000000 0.259805 0.151236 1.211126 0.000000 0.244125 0.000000 0.000000 
500.00 1263.15 42.011409 39.586496 0.000000 0.387316 0.000000 1.747443 0.000000 0.245492 0.000000 0.044662 
500.00 1253.15 39.639129 37.222438 0.000000 0.347986 0.000000 1.752856 0.000000 0.216473 0.000000 0.099376 
500.00 1243.15 37.328820 35.122384 0.000000 0.288052 0.000000 1.588168 0.000000 0.181395 0.000000 0.148821 
500.00 1233.15 35.277443 33.242489 0.000000 0.240513 0.000000 1.447728 0.000000 0.152935 0.000000 0.193778 
500.00 1223.15 33.441893 31.548943 0.000000 0.202348 0.000000 1.326167 0.000000 0.129579 0.000000 0.234856 
500.00 1213.15 31.788928 30.014979 0.000000 0.171395 0.000000 1.219783 0.000000 0.110236 0.000000 0.272534 
500.00 1203.15 30.292239 28.618794 0.000000 0.146074 0.000000 1.126064 0.000000 0.094096 0.000000 0.307211 
500.00 1193.15 28.930401 27.341971 0.000000 0.125211 0.000000 1.043440 0.000000 0.080551 0.000000 0.339228 
500.00 1183.15 27.685325 26.168101 0.000000 0.107928 0.000000 0.971263 0.000000 0.069135 0.000000 0.368898 
500.00 1173.15 26.540902 25.081083 0.000000 0.093571 0.000000 0.910219 0.000000 0.059489 0.000000 0.396541 
500.00 1163.15 25.481402 23.936844 0.000000 0.067641 0.027579 0.803957 0.167738 0.052612 0.000000 0.425030 
500.00 1153.15 24.367670 22.128658 0.000000 0.011766 0.123764 0.384225 1.202524 0.050599 0.000000 0.466134 
500.00 1143.15 22.600367 20.646390 0.000000 0.003670 0.111416 0.313229 0.983197 0.039178 0.003625 0.499662 
500.00 1133.15 21.151819 19.351953 0.000000 0.008954 0.097638 0.265308 0.861297 0.000975 0.037362 0.528333 
500.00 1123.15 19.886105 18.266445 0.000000 0.003740 0.087941 0.225815 0.716836 0.002695 0.030328 0.552305 
500.00 1113.15 18.824654 17.340700 0.000000 0.000000 0.079864 0.195634 0.606855 0.003903 0.025011 0.572686 
500.00 1103.15 17.918298 16.539041 0.000000 0.000000 0.069403 0.175394 0.519164 0.003908 0.021103 0.590286 
500.00 1093.15 17.134252 15.837460 0.000000 0.000000 0.061574 0.157961 0.449693 0.003942 0.017983 0.605638 
500.00 1083.15 16.448030 15.217691 0.000000 0.000000 0.055019 0.143388 0.393431 0.003868 0.015483 0.619150 
500.00 1073.15 15.841779 14.665780 0.000000 0.000000 0.049469 0.131010 0.347214 0.003718 0.013452 0.631135 
500.00 1063.15 15.301606 14.162091 0.014286 0.000000 0.035909 0.132832 0.302271 0.000000 0.011932 0.642286 
500.00 1053.15 14.809046 13.705250 0.019370 0.000000 0.028226 0.127470 0.266621 0.000000 0.009627 0.652482 
500.00 1043.15 14.362426 13.292362 0.017525 0.000000 0.025564 0.116375 0.240398 0.000000 0.008542 0.661661 
500.00 1033.15 13.958739 12.917453 0.015856 0.000000 0.023177 0.106640 0.218030 0.000000 0.007624 0.669958 
500.00 1023.15 13.592150 12.575611 0.014354 0.000000 0.021016 0.098047 0.198792 0.000000 0.006841 0.677489 
