Title: Nd1

Phase Masses:
Pressure Temperature mass liquid_0 olivine_0 orthopyroxene_0 clinopyroxene_0 feldspar_0 feldspar_1 spinel_0 rhm-oxide_0 water 
500.00 1523.15 97.260452 97.260452 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1513.15 97.260963 97.260963 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1503.15 97.261504 97.261504 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1493.15 97.262079 97.262079 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1483.15 97.262686 97.262686 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1473.15 97.263328 97.263328 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1463.15 97.264005 97.264005 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1453.15 97.264719 97.264719 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1443.15 97.265470 97.265470 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1433.15 97.265108 96.857571 0.407537 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1423.15 96.857196 96.110841 0.746355 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1413.15 96.111798 93.659882 0.358120 0.000000 2.093795 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1403.15 93.664452 89.698968 0.000000 0.000000 3.925766 0.000000 0.000000 0.039718 0.000000 0.000000 
500.00 1393.15 89.704054 86.074728 0.000000 0.000000 3.522412 0.056166 0.000000 0.050749 0.000000 0.000000 
500.00 1383.15 86.078277 80.525580 0.587074 0.000000 2.282279 2.624290 0.000000 0.059054 0.000000 0.000000 
