Title: Nd1

Phase Volumes:
Pressure Temperature mass V liquid_0 olivine_0 orthopyroxene_0 clinopyroxene_0 feldspar_0 feldspar_1 spinel_0 rhm-oxide_0 water 
500.00 1523.15 97.260452 38.385156 38.385156 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1513.15 97.260963 38.349354 38.349354 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1503.15 97.261504 38.313606 38.313606 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1493.15 97.262079 38.277913 38.277913 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1483.15 97.262686 38.242277 38.242277 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1473.15 97.263328 38.206699 38.206699 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1463.15 97.264005 38.171180 38.171180 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1453.15 97.264719 38.135722 38.135722 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1443.15 97.265470 38.100326 38.100326 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1433.15 97.265108 38.055701 37.931688 0.124013 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1423.15 96.857196 37.879948 37.653422 0.226525 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1413.15 96.111798 37.503873 36.748558 0.108325 0.000000 0.646990 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1403.15 93.664452 36.515290 35.296156 0.000000 0.000000 1.210157 0.000000 0.000000 0.008977 0.000000 0.000000 
500.00 1393.15 89.704054 35.084429 33.968888 0.000000 0.000000 1.083143 0.021000 0.000000 0.011398 0.000000 0.000000 
