Title: Nd1

Phase Volumes:
Pressure Temperature mass V liquid_0 olivine_0 orthopyroxene_0 clinopyroxene_0 feldspar_0 feldspar_1 spinel_0 rhm-oxide_0 water 
500.00 1383.15 86.078277 33.768957 31.898744 0.175076 0.000000 0.700161 0.981884 0.000000 0.013092 0.000000 0.000000 
500.00 1373.15 80.530801 31.726481 30.076547 0.170601 0.000000 0.568321 0.892975 0.000000 0.018038 0.000000 0.000000 
500.00 1363.15 75.641436 29.923037 28.412758 0.144784 0.000000 0.503235 0.813061 0.000000 0.049199 0.000000 0.000000 
500.00 1353.15 71.144604 28.263434 26.570903 0.081201 0.000000 0.567494 0.816069 0.000000 0.227766 0.000000 0.000000 
500.00 1343.15 65.817303 26.445589 24.977619 0.062406 0.000000 0.448064 0.750500 0.000000 0.207000 0.000000 0.000000 
500.00 1333.15 61.207136 24.872764 23.639493 0.055925 0.000000 0.336402 0.680097 0.000000 0.160847 0.000000 0.000000 
500.00 1323.15 57.380745 23.539949 22.419781 0.000000 0.109391 0.223517 0.656988 0.000000 0.130272 0.000000 0.000000 
500.00 1313.15 53.953270 22.331203 21.321406 0.000000 0.135677 0.131023 0.638575 0.000000 0.104523 0.000000 0.000000 
500.00 1303.15 50.907961 21.243130 20.358938 0.000000 0.117073 0.099096 0.581946 0.000000 0.086078 0.000000 0.000000 
500.00 1293.15 48.263221 20.288754 19.504933 0.000000 0.101736 0.075927 0.534261 0.000000 0.071896 0.000000 0.000000 
500.00 1283.15 45.936680 19.441227 18.739127 0.000000 0.088937 0.058824 0.493590 0.000000 0.060749 0.000000 0.000000 
500.00 1273.15 43.867794 18.680696 18.046180 0.000000 0.078145 0.046017 0.458529 0.000000 0.051823 0.000000 0.000000 
500.00 1263.15 42.011409 18.419639 17.080919 0.000000 0.116318 0.000000 0.662803 0.000000 0.051974 0.000000 0.507624 
500.00 1253.15 39.639129 18.051928 16.117412 0.000000 0.104328 0.000000 0.666261 0.000000 0.045710 0.000000 1.118218 
500.00 1243.15 37.328820 17.642359 15.255422 0.000000 0.086214 0.000000 0.604903 0.000000 0.038211 0.000000 1.657609 
500.00 1233.15 35.277443 17.271215 14.478549 0.000000 0.071865 0.000000 0.552512 0.000000 0.032144 0.000000 2.136145 
500.00 1223.15 33.441893 16.930670 13.774141 0.000000 0.060362 0.000000 0.507098 0.000000 0.027180 0.000000 2.561889 
500.00 1213.15 31.788928 16.614889 13.132163 0.000000 0.051045 0.000000 0.467297 0.000000 0.023079 0.000000 2.941304 
500.00 1203.15 30.292239 16.319425 12.544405 0.000000 0.043434 0.000000 0.432190 0.000000 0.019666 0.000000 3.279730 
500.00 1193.15 28.930401 16.040810 12.003875 0.000000 0.037171 0.000000 0.401214 0.000000 0.016809 0.000000 3.581742 
500.00 1183.15 27.685325 15.776273 11.504250 0.000000 0.031990 0.000000 0.374160 0.000000 0.014405 0.000000 3.851467 
500.00 1173.15 26.540902 15.523554 11.039173 0.000000 0.027691 0.000000 0.351341 0.000000 0.012379 0.000000 4.092970 
500.00 1163.15 25.481402 15.299419 10.546206 0.000000 0.019985 0.008354 0.311000 0.066746 0.010935 0.000000 4.336192 
500.00 1153.15 24.367670 15.137356 9.759306 0.000000 0.003469 0.037459 0.148756 0.478451 0.010512 0.000000 4.699403 
500.00 1143.15 22.600367 14.647253 9.114231 0.000000 0.001079 0.033697 0.121357 0.391145 0.008134 0.000784 4.976826 
500.00 1133.15 21.151819 14.235114 8.551435 0.000000 0.002624 0.029495 0.102843 0.342620 0.000202 0.008065 5.197830 
500.00 1123.15 19.886105 13.852469 8.079387 0.000000 0.001092 0.026533 0.087573 0.285131 0.000556 0.006534 5.365662 
500.00 1113.15 18.824654 13.516785 7.676707 0.000000 0.000000 0.024066 0.075899 0.241366 0.000804 0.005380 5.492564 
500.00 1103.15 17.918298 13.216063 7.327831 0.000000 0.000000 0.020885 0.068069 0.206473 0.000803 0.004532 5.587470 
500.00 1093.15 17.134252 12.941974 7.022346 0.000000 0.000000 0.018502 0.061321 0.178832 0.000808 0.003856 5.656310 
500.00 1083.15 16.448030 12.688666 6.752320 0.000000 0.000000 0.016507 0.055676 0.156447 0.000791 0.003316 5.703609 
500.00 1073.15 15.841779 12.451910 6.511696 0.000000 0.000000 0.014817 0.050879 0.138059 0.000759 0.002877 5.732823 
500.00 1063.15 15.301606 12.231847 6.292526 0.003592 0.000000 0.010738 0.051590 0.120181 0.000000 0.002550 5.750671 
500.00 1053.15 14.809046 12.021184 6.094025 0.004847 0.000000 0.008430 0.049508 0.105999 0.000000 0.002056 5.756319 
500.00 1043.15 14.362426 11.818529 5.914443 0.004366 0.000000 0.007626 0.045198 0.095566 0.000000 0.001823 5.749507 
500.00 1033.15 13.958739 11.623465 5.751197 0.003935 0.000000 0.006905 0.041415 0.086667 0.000000 0.001626 5.731720 
500.00 1023.15 13.592150 11.434681 5.602162 0.003549 0.000000 0.006252 0.038075 0.079013 0.000000 0.001458 5.704171 
