Title: Hr

Phase Masses:
Pressure Temperature mass liquid_0 olivine_0 orthopyroxene_0 clinopyroxene_0 feldspar_0 spinel_0 apatite water 
500.00 1523.15 98.208887 98.208887 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1513.15 98.209519 98.209519 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1503.15 98.210189 98.210189 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1493.15 98.210900 98.210900 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1483.15 98.211653 98.211653 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1473.15 98.212447 98.212447 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1463.15 98.213286 98.213286 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1453.15 98.214170 98.214170 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1443.15 98.215101 98.215101 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1433.15 98.216081 98.216081 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1423.15 98.217110 98.217110 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1413.15 98.218119 95.235234 0.130949 0.000000 2.851937 0.000000 0.000000 0.000000 0.000000 
500.00 1403.15 95.235728 88.301673 0.753418 0.000000 3.571204 2.609433 0.000000 0.000000 0.000000 
500.00 1393.15 88.302610 81.865183 0.801081 0.000000 2.836372 2.799975 0.000000 0.000000 0.000000 
500.00 1383.15 81.866288 76.348737 0.705533 0.000000 2.394828 2.417190 0.000000 0.000000 0.000000 
500.00 1373.15 76.349991 71.564016 0.631507 0.000000 2.041818 2.112649 0.000000 0.000000 0.000000 
500.00 1363.15 71.565401 67.369635 0.574229 0.000000 1.754863 1.866674 0.000000 0.000000 0.000000 
500.00 1353.15 67.371134 63.657084 0.530454 0.000000 1.518358 1.665238 0.000000 0.000000 0.000000 
500.00 1343.15 63.817129 52.231725 0.000000 0.000000 4.195863 2.472056 4.917485 0.000000 0.000000 
500.00 1333.15 52.260708 48.519735 0.000000 0.075397 1.437290 1.386860 0.841427 0.000000 0.000000 
500.00 1323.15 48.542517 45.161199 0.000000 0.464763 0.739515 1.534749 0.642291 0.000000 0.000000 
500.00 1313.15 45.180265 42.099545 0.000000 0.456323 0.535061 1.547292 0.530557 0.000000 0.011488 
500.00 1303.15 42.128551 38.223543 0.000000 0.698986 0.262459 2.340708 0.514580 0.000000 0.088274 
500.00 1293.15 38.326097 35.060604 0.000000 0.550182 0.173546 1.985784 0.403373 0.000000 0.152608 
500.00 1283.15 35.225204 32.422980 0.000000 0.439926 0.119853 1.711827 0.323090 0.000000 0.207527 
500.00 1273.15 32.640830 30.186254 0.000000 0.355685 0.087331 1.493294 0.263193 0.000000 0.255071 
500.00 1263.15 30.450400 28.264577 0.000000 0.289751 0.067867 1.314225 0.217308 0.000000 0.296673 
500.00 1253.15 28.569371 26.596248 0.000000 0.237246 0.056480 1.164602 0.181418 0.000000 0.333376 
500.00 1243.15 26.937005 25.135418 0.000000 0.194903 0.050067 1.037770 0.152874 0.000000 0.365974 
500.00 1233.15 25.508190 23.847036 0.000000 0.160432 0.046671 0.929106 0.129859 0.000000 0.395086 
500.00 1223.15 24.248455 22.703678 0.000000 0.132166 0.045054 0.835258 0.111093 0.000000 0.421206 
500.00 1213.15 23.130843 21.683472 0.000000 0.108856 0.044437 0.753696 0.095644 0.000000 0.444739 
500.00 1203.15 22.133868 20.768705 0.000000 0.089542 0.044334 0.682449 0.082818 0.000000 0.466020 
500.00 1193.15 21.240133 19.944848 0.000000 0.073474 0.044450 0.619938 0.072094 0.000000 0.485329 
500.00 1183.15 20.435382 19.199865 0.000000 0.060060 0.044609 0.564878 0.063068 0.000000 0.502903 
500.00 1173.15 19.707804 18.523692 0.000000 0.048825 0.044713 0.516204 0.055426 0.000000 0.518945 
500.00 1163.15 19.047524 17.902127 0.000000 0.040342 0.043869 0.473819 0.048956 0.004730 0.533681 
