Title: Nd3

Phase Volumes:
Pressure Temperature mass V liquid_0 olivine_0 orthopyroxene_0 clinopyroxene_0 clinopyroxene_1 biotite_0 feldspar_0 feldspar_1 quartz spinel_0 rhm-oxide_0 apatite water 
500.00 1523.15 97.842955 38.013963 38.013963 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1513.15 97.843526 37.978013 37.978013 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1503.15 97.844133 37.942119 37.942119 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1493.15 97.844776 37.906284 37.906284 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1483.15 97.845456 37.870508 37.870508 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1473.15 97.846175 37.834794 37.834794 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1463.15 97.846934 37.799142 37.799142 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1453.15 97.847733 37.763555 37.763555 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1443.15 97.848575 37.728033 37.728033 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1433.15 97.849461 37.692579 37.692579 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1423.15 97.850391 37.657193 37.657193 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1413.15 97.852110 37.397759 35.663555 0.000000 0.000000 1.233017 0.000000 0.000000 0.501187 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1403.15 97.854514 37.115136 33.183428 0.000000 0.000000 2.513861 0.000000 0.000000 1.409017 0.000000 0.000000 0.008831 0.000000 0.000000 0.000000 
500.00 1393.15 97.857893 36.864274 30.954940 0.023812 0.000000 3.618784 0.000000 0.000000 2.239358 0.000000 0.000000 0.027379 0.000000 0.000000 0.000000 
500.00 1383.15 97.861694 36.650859 28.799182 0.226863 0.000000 4.402286 0.000000 0.000000 3.161833 0.000000 0.000000 0.060694 0.000000 0.000000 0.000000 
500.00 1373.15 97.873863 36.453926 26.773137 0.395099 0.000000 5.141826 0.000000 0.000000 3.996283 0.000000 0.000000 0.147581 0.000000 0.000000 0.000000 
