Title: Nd3

Phase Volumes:
Pressure Temperature mass V liquid_0 olivine_0 orthopyroxene_0 clinopyroxene_0 clinopyroxene_1 biotite_0 feldspar_0 feldspar_1 quartz spinel_0 rhm-oxide_0 apatite water 
500.00 1363.15 97.904639 36.265937 24.718671 0.496525 0.000000 5.905057 0.000000 0.000000 4.788705 0.000000 0.000000 0.356978 0.000000 0.000000 0.000000 
500.00 1353.15 97.939928 36.099667 22.826419 0.547679 0.000000 6.579196 0.000000 0.000000 5.545637 0.000000 0.000000 0.600736 0.000000 0.000000 0.000000 
500.00 1343.15 97.967718 35.959163 21.221256 0.582779 0.000000 7.105227 0.000000 0.000000 6.250030 0.000000 0.000000 0.799871 0.000000 0.000000 0.000000 
500.00 1333.15 97.988342 35.838841 19.859166 0.611554 0.000000 7.512735 0.000000 0.000000 6.900666 0.000000 0.000000 0.954719 0.000000 0.000000 0.000000 
500.00 1323.15 98.007908 35.702567 18.541978 0.434238 0.366197 7.761332 0.000000 0.000000 7.508887 0.000000 0.000000 1.089935 0.000000 0.000000 0.000000 
500.00 1313.15 98.029050 36.511120 16.209600 0.000000 1.315072 7.852258 0.000000 0.000000 8.722463 0.000000 0.000000 1.234868 0.000000 0.000000 1.176859 
500.00 1303.15 98.034270 37.485176 14.188931 0.000000 1.660593 7.863758 0.000000 0.000000 9.994839 0.000000 0.000000 1.310286 0.000000 0.000000 2.466770 
500.00 1293.15 98.035341 38.297626 12.486521 0.000000 1.949805 7.857808 0.000000 0.000000 11.093112 0.000000 0.000000 1.359038 0.000000 0.000000 3.551342 
500.00 1283.15 98.033411 38.967496 11.051869 0.000000 2.196169 7.841947 0.000000 0.000000 12.033708 0.000000 0.000000 1.388044 0.000000 0.000000 4.455760 
500.00 1273.15 98.029329 39.511763 9.845565 0.000000 2.409975 7.819387 0.000000 0.000000 12.832669 0.000000 0.000000 1.402407 0.000000 0.000000 5.201760 
500.00 1263.15 98.023742 39.947176 8.833081 0.000000 2.598980 7.791563 0.000000 0.000000 13.507077 0.000000 0.000000 1.406028 0.000000 0.000000 5.810446 
500.00 1253.15 98.017142 40.290261 7.982906 0.000000 2.768906 7.759358 0.000000 0.000000 14.074660 0.000000 0.000000 1.401893 0.000000 0.000000 6.302538 
500.00 1243.15 98.009896 40.556481 7.266822 0.000000 2.923896 7.723568 0.000000 0.000000 14.552534 0.000000 0.000000 1.392249 0.000000 0.000000 6.697412 
500.00 1233.15 98.002267 40.759519 6.660428 0.000000 3.066933 7.684996 0.000000 0.000000 14.956167 0.000000 0.000000 1.378741 0.000000 0.000000 7.012255 
500.00 1223.15 97.994363 40.911841 6.139001 0.000000 3.201091 7.644093 0.000000 0.000000 15.300219 0.000000 0.000000 1.362361 0.000000 0.001936 7.263140 
500.00 1213.15 97.986084 41.024745 5.675277 0.000000 3.330402 7.600574 0.000000 0.000000 15.598807 0.000000 0.000000 1.343363 0.000000 0.010981 7.465342 
500.00 1203.15 97.977850 41.102031 5.274706 0.000000 3.452130 7.556506 0.000000 0.000000 15.854903 0.000000 0.000000 1.323107 0.000000 0.018632 7.622047 
500.00 1193.15 97.969708 41.150260 4.925386 0.000000 3.567400 7.512415 0.000000 0.000000 16.076272 0.000000 0.000000 1.301982 0.000000 0.025159 7.741647 
500.00 1183.15 97.961683 41.174602 4.617899 0.000000 3.677125 7.468727 0.000000 0.000000 16.269075 0.000000 0.000000 1.280234 0.000000 0.030764 7.830778 
500.00 1173.15 97.951984 41.193172 4.327147 0.021374 3.770634 7.422509 0.000000 0.000000 16.450977 0.000000 0.000000 1.252265 0.000000 0.036583 7.911683 
500.00 1163.15 97.941406 41.202043 4.054605 0.051506 3.858274 7.375368 0.000000 0.000000 16.618954 0.000000 0.000000 1.220570 0.000000 0.042302 7.980463 
500.00 1153.15 97.931053 41.194941 3.806468 0.077226 3.947696 7.329564 0.000000 0.000000 16.768120 0.000000 0.000000 1.188660 0.000000 0.047419 8.029788 
500.00 1143.15 97.920908 41.173999 3.578926 0.099226 4.038491 7.285328 0.000000 0.000000 16.901172 0.000000 0.000000 1.156482 0.000000 0.052014 8.062359 
500.00 1133.15 97.910951 41.140988 3.368736 0.118085 4.130451 7.242857 0.000000 0.000000 17.020320 0.000000 0.000000 1.123928 0.000000 0.056157 8.080455 
500.00 1123.15 97.901149 41.097379 3.173107 0.134289 4.223542 7.202320 0.000000 0.000000 17.127368 0.000000 0.000000 1.090838 0.000000 0.059911 8.086005 
500.00 1113.15 97.889280 41.066632 2.923885 0.150179 4.337145 7.160050 0.000000 0.000000 17.266200 0.000000 0.000000 1.024634 0.025263 0.064729 8.114546 
500.00 1103.15 97.863586 41.124940 2.336985 0.169126 4.566955 7.092477 0.000000 0.000000 17.358382 0.277142 0.000000 0.877729 0.084751 0.075810 8.285584 
500.00 1093.15 97.836088 41.162443 1.782442 0.185437 4.807087 7.029454 0.000000 0.000000 17.435046 0.533533 0.000000 0.728618 0.140511 0.086139 8.434177 
500.00 1083.15 97.807653 41.177036 1.271664 0.199206 5.049958 6.971857 0.000000 0.000000 17.501156 0.758588 0.000000 0.581579 0.191554 0.095566 8.555909 
500.00 1073.15 97.778898 41.169842 0.805043 0.210436 5.290655 6.919167 0.000000 0.000000 17.557666 0.954768 0.000000 0.439418 0.237616 0.104147 8.650926 
500.00 1063.15 97.751307 41.139277 0.394674 0.218621 5.517879 6.870906 0.000000 0.000000 17.604394 1.120493 0.000000 0.309118 0.277372 0.111718 8.714102 
500.00 1053.15 97.727567 41.081167 0.066304 0.222735 5.711538 6.826564 0.000000 0.000000 17.640081 1.250224 0.000000 0.203084 0.308324 0.117846 8.734468 
500.00 1043.15 97.722055 40.954563 0.000000 0.223660 5.761591 6.801805 0.000000 0.000000 17.625257 1.293239 0.000000 0.183195 0.314041 0.119099 8.632676 
500.00 1033.15 97.721376 40.810045 0.000000 0.224385 5.773409 6.783766 0.000000 0.000000 17.596834 1.314651 0.000000 0.184987 0.313533 0.119099 8.499382 
500.00 1023.15 97.720709 40.663905 0.000000 0.224980 5.784556 6.766715 0.000000 0.000000 17.569236 1.335030 0.000000 0.186754 0.313022 0.119099 8.364513 
500.00 1013.15 97.709167 40.387929 0.000000 0.219236 5.785976 6.745700 0.000000 0.139678 17.584534 1.232933 0.000000 0.142559 0.324571 0.119099 8.093643 
500.00 1003.15 97.694058 40.071371 0.000000 0.208137 5.780722 6.716962 0.000000 0.329392 17.624315 1.087725 0.000000 0.087460 0.339411 0.119099 7.778147 
500.00 993.15 97.684307 39.847141 0.121913 0.190139 5.752356 6.714764 0.000000 0.477829 17.655564 0.978740 0.000000 0.057306 0.347966 0.000000 7.550562 
500.00 983.15 97.685050 38.747550 0.121668 0.194354 4.954479 6.706381 0.000000 1.680516 17.810257 0.000000 0.549905 0.064656 0.347805 0.000000 6.317529 
500.00 973.15 97.683603 38.556863 0.121529 0.195020 4.917149 6.690496 0.000000 1.760495 17.749651 0.000000 0.582433 0.064088 0.347379 0.000000 6.128623 
500.00 963.15 97.676699 38.242541 0.121345 0.254810 5.227495 5.571883 1.608603 1.824787 16.762230 0.000000 0.844314 0.072500 0.000000 0.000000 5.954573 
500.00 953.15 97.674211 38.067187 0.121217 0.254438 5.207615 5.553573 1.621343 1.882494 16.709657 0.000000 0.862720 0.067871 0.000000 0.000000 5.786259 
500.00 943.15 97.671886 37.898179 0.121098 0.253955 5.192136 5.536441 1.632435 1.931548 16.663574 0.000000 0.877850 0.063953 0.000000 0.000000 5.625188 
500.00 933.15 97.669713 37.734023 0.120985 0.253374 5.180290 5.520332 1.642121 1.973357 16.622996 0.000000 0.890289 0.060647 0.000000 0.000000 5.469632 
500.00 923.15 97.667683 37.573478 0.120878 0.252707 5.171469 5.505123 1.650599 2.009051 16.587125 0.000000 0.900504 0.057865 0.000000 0.000000 5.318157 
500.00 913.15 97.665787 37.415453 0.120777 0.251965 5.165180 5.490719 1.658032 2.039553 16.555274 0.000000 0.908876 0.055534 0.000000 0.000000 5.169544 
500.00 903.15 97.664017 37.258966 0.120682 0.251159 5.161016 5.477046 1.664555 2.065623 16.526843 0.000000 0.915718 0.053593 0.000000 0.000000 5.022731 
