Title: Nd3

Phase Masses:
Pressure Temperature mass liquid_0 olivine_0 orthopyroxene_0 clinopyroxene_0 clinopyroxene_1 biotite_0 feldspar_0 feldspar_1 quartz spinel_0 rhm-oxide_0 apatite water 
500.00 1523.15 97.842955 97.842955 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1513.15 97.843526 97.843526 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1503.15 97.844133 97.844133 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1493.15 97.844776 97.844776 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1483.15 97.845456 97.845456 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1473.15 97.846175 97.846175 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1463.15 97.846934 97.846934 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1453.15 97.847733 97.847733 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1443.15 97.848575 97.848575 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1433.15 97.849461 97.849461 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1423.15 97.850391 97.850391 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1413.15 97.852110 92.508284 0.000000 0.000000 3.999271 0.000000 0.000000 1.344554 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
500.00 1403.15 97.854514 85.868193 0.000000 0.000000 8.169061 0.000000 0.000000 3.778272 0.000000 0.000000 0.038988 0.000000 0.000000 0.000000 
500.00 1393.15 97.857893 79.871114 0.079547 0.000000 11.782970 0.000000 0.000000 6.002068 0.000000 0.000000 0.122194 0.000000 0.000000 0.000000 
500.00 1383.15 97.861694 73.987546 0.761946 0.000000 14.367099 0.000000 0.000000 8.470902 0.000000 0.000000 0.274201 0.000000 0.000000 0.000000 
500.00 1373.15 97.873863 68.350531 1.333781 0.000000 16.815316 0.000000 0.000000 10.701539 0.000000 0.000000 0.672696 0.000000 0.000000 0.000000 
500.00 1363.15 97.904639 62.433126 1.682768 0.000000 19.335908 0.000000 0.000000 12.816535 0.000000 0.000000 1.636302 0.000000 0.000000 0.000000 
500.00 1353.15 97.939928 56.924289 1.861351 0.000000 21.556844 0.000000 0.000000 14.833527 0.000000 0.000000 2.763917 0.000000 0.000000 0.000000 
500.00 1343.15 97.967718 52.292698 1.985326 0.000000 23.290549 0.000000 0.000000 16.707762 0.000000 0.000000 3.691384 0.000000 0.000000 0.000000 
500.00 1333.15 97.988342 48.410443 2.087822 0.000000 24.635507 0.000000 0.000000 18.436574 0.000000 0.000000 4.417997 0.000000 0.000000 0.000000 
500.00 1323.15 98.007908 44.748115 1.485202 1.209600 25.457244 0.000000 0.000000 20.052251 0.000000 0.000000 5.055497 0.000000 0.000000 0.000000 
500.00 1313.15 98.029050 38.802585 0.000000 4.349690 25.767228 0.000000 0.000000 23.263198 0.000000 0.000000 5.747663 0.000000 0.000000 0.098685 
500.00 1303.15 98.034270 33.752442 0.000000 5.504340 25.826470 0.000000 0.000000 26.616924 0.000000 0.000000 6.125303 0.000000 0.000000 0.208792 
500.00 1293.15 98.035341 29.547681 0.000000 6.476532 25.827329 0.000000 0.000000 29.503154 0.000000 0.000000 6.377193 0.000000 0.000000 0.303453 
500.00 1283.15 98.033411 26.039955 0.000000 7.309810 25.794737 0.000000 0.000000 31.969662 0.000000 0.000000 6.534839 0.000000 0.000000 0.384408 
500.00 1273.15 98.029329 23.115687 0.000000 8.037541 25.739323 0.000000 0.000000 34.061863 0.000000 0.000000 6.621753 0.000000 0.000000 0.453162 
500.00 1263.15 98.023742 20.678886 0.000000 8.684900 25.665817 0.000000 0.000000 35.826800 0.000000 0.000000 6.656119 0.000000 0.000000 0.511219 
500.00 1253.15 98.017142 18.645110 0.000000 9.270469 25.577111 0.000000 0.000000 37.312311 0.000000 0.000000 6.652033 0.000000 0.000000 0.560107 
500.00 1243.15 98.009896 16.940928 0.000000 9.807700 25.475814 0.000000 0.000000 38.563955 0.000000 0.000000 6.620204 0.000000 0.000000 0.601295 
500.00 1233.15 98.002267 15.504197 0.000000 10.306276 25.364585 0.000000 0.000000 39.622530 0.000000 0.000000 6.568569 0.000000 0.000000 0.636110 
500.00 1223.15 97.994363 14.272731 0.000000 10.776379 25.245037 0.000000 0.000000 40.526454 0.000000 0.000000 6.501999 0.000000 0.005930 0.665832 
500.00 1213.15 97.986084 13.178101 0.000000 11.231675 25.116559 0.000000 0.000000 41.312561 0.000000 0.000000 6.421838 0.000000 0.033629 0.691720 
500.00 1203.15 97.977850 12.235554 0.000000 11.662487 24.985594 0.000000 0.000000 41.988563 0.000000 0.000000 6.334637 0.000000 0.057061 0.713954 
500.00 1193.15 97.969708 11.415993 0.000000 12.072497 24.853965 0.000000 0.000000 42.574613 0.000000 0.000000 6.242380 0.000000 0.077047 0.733214 
500.00 1183.15 97.961683 10.696526 0.000000 12.464715 24.723164 0.000000 0.000000 43.086680 0.000000 0.000000 6.146344 0.000000 0.094215 0.750040 
500.00 1173.15 97.951984 10.013082 0.079942 12.804227 24.585161 0.000000 0.000000 43.571421 0.000000 0.000000 6.019607 0.000000 0.112033 0.766511 
500.00 1163.15 97.941406 9.371310 0.193513 13.125471 24.444702 0.000000 0.000000 44.020517 0.000000 0.000000 5.874106 0.000000 0.129549 0.782238 
500.00 1153.15 97.931053 8.788372 0.291400 13.453624 24.308423 0.000000 0.000000 44.420701 0.000000 0.000000 5.726840 0.000000 0.145219 0.796474 
500.00 1143.15 97.920908 8.255055 0.375956 13.787382 24.177225 0.000000 0.000000 44.778922 0.000000 0.000000 5.577636 0.000000 0.159290 0.809443 
500.00 1133.15 97.910951 7.763530 0.449178 14.126122 24.051897 0.000000 0.000000 45.100865 0.000000 0.000000 5.426043 0.000000 0.171979 0.821337 
500.00 1123.15 97.901149 7.307081 0.512756 14.469825 23.933165 0.000000 0.000000 45.391170 0.000000 0.000000 5.271359 0.000000 0.183474 0.832319 
500.00 1113.15 97.889280 6.727597 0.575811 14.891518 23.806850 0.000000 0.000000 45.766060 0.000000 0.000000 4.959793 0.117352 0.198231 0.846068 
500.00 1103.15 97.863586 5.370636 0.652870 15.740561 23.608231 0.000000 0.000000 46.033604 0.696719 0.000000 4.259210 0.394265 0.232165 0.875327 
500.00 1093.15 97.836088 4.091287 0.720421 16.632104 23.425537 0.000000 0.000000 46.259941 1.341518 0.000000 3.543890 0.654521 0.263797 0.903073 
500.00 1083.15 97.807653 2.915483 0.778454 17.538357 23.260545 0.000000 0.000000 46.457380 1.907761 0.000000 2.834895 0.893332 0.292666 0.928779 
500.00 1073.15 97.778898 1.843632 0.826728 18.440860 23.110651 0.000000 0.000000 46.628454 2.401597 0.000000 2.146343 1.109292 0.318947 0.952394 
500.00 1063.15 97.751307 0.902898 0.862948 19.297109 22.972476 0.000000 0.000000 46.772573 2.819021 0.000000 1.512843 1.296038 0.342133 0.973269 
500.00 1053.15 97.727567 0.151538 0.882699 20.031351 22.841352 0.000000 0.000000 46.886171 3.146046 0.000000 0.995769 1.441684 0.360899 0.990057 
500.00 1043.15 97.722055 0.000000 0.887925 20.232253 22.758660 0.000000 0.000000 46.861578 3.254955 0.000000 0.899458 1.469029 0.364738 0.993460 
500.00 1033.15 97.721376 0.000000 0.891872 20.291190 22.694392 0.000000 0.000000 46.799682 3.309537 0.000000 0.909326 1.467178 0.364738 0.993460 
500.00 1023.15 97.720709 0.000000 0.895323 20.348010 22.633349 0.000000 0.000000 46.739873 3.361559 0.000000 0.919080 1.465317 0.364738 0.993460 
500.00 1013.15 97.709167 0.000000 0.874942 20.395068 22.570575 0.000000 0.405462 46.793112 3.105158 0.000000 0.702701 1.520172 0.364738 0.977240 
500.00 1003.15 97.694058 0.000000 0.833481 20.425751 22.483507 0.000000 0.957237 46.911683 2.740061 0.000000 0.431942 1.590453 0.364738 0.955204 
500.00 993.15 97.684307 0.352148 0.763605 20.366129 22.479897 0.000000 1.389844 47.008267 2.466084 0.000000 0.283562 1.631164 0.000000 0.943608 
500.00 983.15 97.685050 0.351415 0.783342 17.598753 22.480043 0.000000 4.895915 47.424652 0.000000 1.394982 0.320364 1.631691 0.000000 0.803894 
500.00 973.15 97.683603 0.351024 0.787228 17.486719 22.426016 0.000000 5.130312 47.282012 0.000000 1.477499 0.317914 1.630332 0.000000 0.794546 
500.00 963.15 97.676699 0.350475 1.031031 18.627863 18.685593 5.766552 5.322370 44.603869 0.000000 2.141831 0.360072 0.000000 0.000000 0.787043 
500.00 953.15 97.674211 0.350116 1.031136 18.579008 18.619139 5.815850 5.492346 44.480243 0.000000 2.188521 0.337577 0.000000 0.000000 0.780275 
500.00 943.15 97.671886 0.349781 1.030764 18.545191 18.556384 5.859249 5.637102 44.373465 0.000000 2.226902 0.318540 0.000000 0.000000 0.774508 
500.00 933.15 97.669713 0.349466 1.029973 18.523768 18.496856 5.897613 5.760733 44.280789 0.000000 2.258457 0.302478 0.000000 0.000000 0.769580 
500.00 923.15 97.667683 0.349172 1.028813 18.512645 18.440192 5.931652 5.866534 44.199971 0.000000 2.284372 0.288973 0.000000 0.000000 0.765360 
500.00 913.15 97.665787 0.348895 1.027331 18.510121 18.386113 5.961952 5.957194 44.129159 0.000000 2.305609 0.277674 0.000000 0.000000 0.761740 
500.00 903.15 97.664017 0.348636 1.025569 18.514788 18.334405 5.988997 6.034932 44.066804 0.000000 2.322965 0.268285 0.000000 0.000000 0.758634 
