Reference,Location,Site,Section,Img. Ref. No.,Mineral,Enclosing Phase,Na2O_pct,MgO_pct,Al2O3_pct,SiO2_pct,K2O_pct,CaO_pct,TiO2_pct,V2O5_pct,Cr2O3_pct,MnO_pct,FeO_pct,NiO_pct,Total_pct,Si_wt%,Fe_wt%,Fe57_CPS,Si_CPS,Al27_CPS,Si29_CPS,Data Reduction,Internal Standard,IntStdWv,Li_ppm_7,Be_ppm_9,B_ppm_11,Na_ppm_23,Mg_ppm_25,Al_ppm_27,Si_ppm_29,P_ppm_31,K_ppm_39,Ca_ppm_43,Sc_ppm_45,Ti_ppm_49,V_ppm_51,Cr_ppm_53,Mn_ppm_55,Fe_ppm_57,Co_ppm_59,Ni_ppm_60,Ni_ppm_61,Cu_ppm_63,Zn_ppm_66,Ga_ppm_71,Ge_ppm_72,As_ppm_75,Rb_ppm_85,Sr_ppm_88,Y_ppm_89,Zr_ppm_90,Nb_ppm_93,Mo_ppm_95,Ru_ppm_99,Rh_ppm_103,Pd_ppm_105,Ag_ppm_107,Cd_ppm_111,Sn_ppm_118,Cs_ppm_133,Ba_ppm_137,La_ppm_139,Ce_ppm_140,Pr_ppm_141,Nd_ppm_146,Sm_ppm_147,Eu_ppm_153,Gd_ppm_157,Tb_ppm_159,Dy_ppm_163,Ho_ppm_165,Er_ppm_166,Er_ppm_167,Tm_ppm_169,Yb_ppm_173,Lu_ppm_175,Hf_ppm_178,Os_ppm_192,Pt_ppm_194,Au_ppm_197,Pb_ppm_208,Th_ppm_232,U_ppm_238,Primary RM,Spot Size (µm),Rep Rate (Hz),Method
This Study,Norilsk,Chernogorsk,UK35 89.2,26_7,pyroxene,,0.235024,17.334841,2.069649,52.176689,bdl,19.533296,0.626128,bdl,0.432988,0.24,6.761845,,99.410459,24.39074841,5.256000777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This Study,Norilsk,Chernogorsk,UK35 89.2,26_8_rim,pyroxene,,0.296334,16.36007,2.187354,51.163549,bdl,20.46151,1.252256,bdl,0.298968,bdl,6.593587,,98.613629,23.91714145,5.12521337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This Study,Norilsk,Chernogorsk,UK35 89.2,1,spinel,olivine,bdl,5.748133,8.435535,bdl,bdl,bdl,4.013378,0.52,34.82463,0.33,45.187632,,99.059308,#VALUE!,35.12447105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This Study,Norilsk,Chernogorsk,UK35 89.2,3,spinel,olivine,bdl,1.226,bdl,bdl,bdl,bdl,45.214657,0.81,0.762884,0.41,51.139738,,99.563279,#VALUE!,39.75105946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This Study,Norilsk,Chernogorsk,UK35 89.2,11,spinel,olivine,bdl,4.773362,bdl,bdl,bdl,bdl,47.144363,1.04,1.381439,0.43,43.915186,,98.684349,#VALUE!,34.13539526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This Study,Norilsk,Chernogorsk,UK35 89.2,12,spinel,,bdl,3.436821,0.372733,0.57749,bdl,0.346805,45.974222,1,0.381442,0.26,46.607304,,98.956816,0.269956058,36.22798601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This Study,Norilsk,Chernogorsk,UK35 89.2,14,spinel,olivine,bdl,1.889246,bdl,bdl,bdl,bdl,45.512324,1.16,0.319587,0.22,49.614906,,98.716063,#VALUE!,38.56580334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This Study,Norilsk,Chernogorsk,UK35 89.2,17,spinel,,bdl,2.080181,5.07113,0.324205,bdl,bdl,5.337485,0.58,23.587553,0.46,59.60519,,97.045743,0.151554319,46.33127866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This Study,Norilsk,Chernogorsk,UK35 89.2,19,spinel,olivine,bdl,6.40133,11.672426,bdl,bdl,bdl,1.590981,0.46,37.762765,0.31,40.108362,,98.305863,#VALUE!,31.17634046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This Study,Norilsk,Chernogorsk,UK35 89.2,22,spinel,olivine,bdl,6.210395,9.043678,bdl,bdl,bdl,2.843237,0.76,33.577212,0.47,45.660856,,98.565378,#VALUE!,35.49230937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
